Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Piutang Nasabah,Piutang Pihak Berelasi,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Tanah Untuk Dikembangkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Bank Jangka Pendek,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain-Lain,Utang Pembiayaan Konsumen,Utang Pihak Berelasi,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,146320941271.000000,156131977116.000000,36530180068.000000,17938105570.000000,,3128262568.000000,50789749074.000000,523343934027.000000,934183149694.000000,,,,22558728495.000000,,11199561498.000000,39001132661.000000,27202667984.000000,560668366790.000000,660630457428.000000,1594813607122.000000,,,73831246555.000000,,8688005501.000000,8688005501.000000,,,34819902869.000000,34819902869.000000,2222778494.000000,2292773667.000000,,,,,,25807786024.000000,73831246555.000000,190702017793.000000,104446450869.000000,,26590020.000000,,,86228976904.000000,190702017793.000000,264533264348.000000,,1347480000000.000000,-38703454315.000000,-1250381460.000000,31248539185.000000,-8494360636.000000,1330280342774.000000,1594813607122.000000,13474800000.000000
12M 2009,,,6296577593.000000,197858163591.000000,36186861281.000000,911926949.000000,,2935300653.000000,51905195496.000000,542536994477.000000,838631020040.000000,,,,63400445976.000000,,13404448467.000000,36343981917.000000,27202667984.000000,515433944088.000000,655785488432.000000,1494416508472.000000,,,57547391789.000000,,6859658772.000000,6859658772.000000,,,22365957203.000000,22365957203.000000,3765690603.000000,8201245230.000000,,,,,,16354839981.000000,57547391789.000000,122008903484.000000,36538865725.000000,,37800352.000000,,,85432237407.000000,122008903484.000000,179556295273.000000,,1347480000000.000000,-38703454315.000000,-855006510.000000,15336350875.000000,-8397676851.000000,1314860213199.000000,1494416508472.000000,13474800000.000000
12M 2010,,,24205730.000000,,35076201145.000000,,,,36335907413.000000,38935000.000000,71475249288.000000,,,,111343102.000000,,65261465.000000,65878481.000000,,1245392455866.000000,1245634938914.000000,1317110188202.000000,,,974458312.000000,,,,,,,,716635132.000000,257823180.000000,,,,,,,974458312.000000,10155863515.000000,,,,,9894897657.000000,260965858.000000,10155863515.000000,11130321827.000000,,1347480000000.000000,-38703454315.000000,-2796679310.000000,,,1305979866375.000000,1317110188202.000000,13474800000.000000
12M 2011,,,177987694466.000000,47600000000.000000,116630174912.000000,,,153920301066.000000,889433941345.000000,2813985735.000000,1388386097524.000000,,,,69172765.000000,3996893958.000000,,2607257931.000000,,836670061429.000000,843343386083.000000,2231729483607.000000,,,254192513556.000000,94729819763.000000,,94729819763.000000,,120274229269.000000,,120274229269.000000,34402507287.000000,4785957237.000000,,,,,,,254192513556.000000,559344042199.000000,147893031037.000000,,,,141967532664.000000,269483478498.000000,559344042199.000000,813536555755.000000,,1347480058100.000000,-38703454315.000000,9434975549.000000,99981348518.000000,,1418192927852.000000,2231729483607.000000,13474800581.000000
12M 2012,,,469580957361.000000,,132947006064.000000,,,95601155053.000000,831537200787.000000,130913417044.000000,1660579736309.000000,,,,,157786024756.000000,,6619683058.000000,,617069561511.000000,781475269325.000000,2442055005634.000000,,,240026641413.000000,23702179487.000000,,23702179487.000000,,178635845981.000000,,178635845981.000000,32355202487.000000,5333413458.000000,,,,,,,240026641413.000000,831825261917.000000,82500000000.000000,,,,97306584062.000000,652018677855.000000,831825261917.000000,1071851903330.000000,,1347574408100.000000,-38703454315.000000,80014497014.000000,53608669493.000000,-72291017988.000000,1370203102304.000000,2442055005634.000000,13475744081.000000
12M 2013,,,654889128963.000000,,69768726086.000000,,,343075000.000000,156438380983.000000,190449142291.000000,1071888453323.000000,,92407406348.000000,759261209959.000000,,231151640709.000000,3033933833.000000,6558748771.000000,,586555337828.000000,1678968277448.000000,2750856730771.000000,,,571953449895.000000,21710654684.000000,,21710654684.000000,,37683864104.000000,,37683864104.000000,37602956877.000000,1837797269.000000,,,,27500000000.000000,27500000000.000000,445618176961.000000,571953449895.000000,457786683660.000000,90000000000.000000,89084327748.000000,,,73102834624.000000,205599521288.000000,457786683660.000000,1029740133555.000000,,1359212820900.000000,-110994472303.000000,365994682487.000000,106903566132.000000,,1721116597216.000000,2750856730771.000000,13592128209.000000
12M 2014,,,475765509091.000000,,37018417695.000000,,,86302296786.000000,532739501615.000000,233092997068.000000,1364918722255.000000,,63828196806.000000,625007681883.000000,,236439954365.000000,11918307042.000000,6899639496.000000,,758676073493.000000,1702769853085.000000,3067688575340.000000,,,738782916369.000000,7458444775.000000,,7458444775.000000,,14178510728.000000,,14178510728.000000,8745724163.000000,1465321196.000000,,,,45000000000.000000,45000000000.000000,661934915507.000000,738782916369.000000,224644513871.000000,45000000000.000000,89968475748.000000,,,74936670850.000000,14739367273.000000,224644513871.000000,963427430240.000000,,1359212820900.000000,-110994472303.000000,792067314737.000000,63975481766.000000,,2104261145100.000000,3067688575340.000000,13592128209.000000
12M 2015,,,179678279358.000000,,264357168978.000000,,,3385115028.000000,647463517445.000000,312941566091.000000,1407825646900.000000,,8374546445.000000,793188482038.000000,,137898640916.000000,24722583233.000000,13089122978.000000,,847143622221.000000,1824416997831.000000,3232242644731.000000,,,434968959492.000000,16492373770.000000,,16492373770.000000,,32160620616.000000,,32160620616.000000,4355073500.000000,1634824079.000000,,,,48126720282.000000,48126720282.000000,332199347245.000000,434968959492.000000,289298930226.000000,167497272755.000000,94414915748.000000,,,,27386741723.000000,289298930226.000000,724267889718.000000,,1359212820900.000000,-110994472303.000000,1038787319659.000000,220969086757.000000,,2507974755013.000000,3232242644731.000000,13592128209.000000
12M 2016,,,113646323557.000000,,122179352242.000000,,,1694493960.000000,733852700515.000000,427472572719.000000,1398845442993.000000,,8374546445.000000,989455589429.000000,,82081044950.000000,21602825955.000000,11146445301.000000,,917237782676.000000,2029898234756.000000,3428743677749.000000,,,355904207128.000000,48975623980.000000,,48975623980.000000,,26226380863.000000,,26226380863.000000,6320078426.000000,2242565172.000000,,,,195271185631.000000,195271185631.000000,76868373056.000000,355904207128.000000,306552757748.000000,203970463920.000000,,,,,102582293828.000000,306552757748.000000,662456964876.000000,,1359212820900.000000,60526582912.000000,1039088820090.000000,308073526542.000000,-615037571.000000,2766286712873.000000,3428743677749.000000,13592128209.000000
12M 2017,,,104574111369.000000,,26928731390.000000,,,819502514.000000,1526613497815.000000,574687911473.000000,2233623754561.000000,,,,30980000000.000000,80634808556.000000,37989991252.000000,10981238972.000000,437949594375.000000,716408165749.000000,1314943798904.000000,3548567553465.000000,,,386940489024.000000,,14326160410.000000,14326160410.000000,65637332028.000000,44618735744.000000,,44618735744.000000,3382707594.000000,2579895207.000000,,545894622.000000,214965902471.000000,,215511797093.000000,40883860948.000000,386940489024.000000,426319040290.000000,288604928478.000000,,849944738.000000,2505355369.000000,,134358811705.000000,426319040290.000000,813259529314.000000,,1359212820900.000000,-110994472303.000000,1059877259732.000000,324437368625.000000,102775047197.000000,2735308024151.000000,3548567553465.000000,13592128209.000000
