Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.68,96.40,0.68,96.40,,104 B,104 B,(42 B),860 B
12M 2009,0.56,96.44,0.56,96.44,,37 B,37 B,30 B,781 B
12M 2010,0.52,96.92,0.52,96.92,,10 B,10 B,10 B,71 B
12M 2011,2.30,97.83,2.30,97.83,,290 B,290 B,112 B,"1,134 B"
12M 2012,3.58,97.70,3.58,97.70,,180 B,180 B,(290 B),"1,421 B"
12M 2013,3.79,118.76,3.79,118.76,28 B,163 B,191 B,(464 B),500 B
12M 2014,3.08,150.11,3.08,150.11,45 B,120 B,165 B,(311 B),626 B
12M 2015,3.54,168.26,3.54,168.26,48 B,167 B,216 B,36 B,973 B
12M 2016,2.16,180.86,2.16,180.86,195 B,204 B,399 B,286 B,"1,043 B"
12M 2017,0.96,177.37,0.96,177.37,281 B,289 B,571 B,466 B,"1,847 B"
12M 2018,2.24,177.32,2.24,177.32,264 B,400 B,664 B,601 B,"1,409 B"
12M 2019,0.30,165.99,0.30,165.99,307 B,412 B,719 B,661 B,"1,256 B"
12M 2020,0.34,152.22,0.34,152.22,474 B,229 B,703 B,655 B,941 B
12M 2021,0.57,153.06,0.57,153.06,194 B,415 B,608 B,543 B,"1,135 B"
12M 2022,0.38,150.44,0.38,150.44,241 B,334 B,575 B,529 B,"1,041 B"
12M 2023,0.34,147.71,0.34,147.71,159 B,382 B,541 B,494 B,"1,160 B"
12M 2024,0.27,143.04,0.27,143.04,169 B,373 B,542 B,495 B,"1,117 B"
