Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,370599431277.000000,191674523713.000000,17847345541.000000,173827178172.000000,191674523713.000000,222871868745.000000,4487409345.000000,218384459400.000000,222871868745.000000,172025176121.000000,34958481668.000000,992129481524.000000,,16768551744.000000,508699938.000000,8903231864.000000,17273620149.000000,88215915545.000000,131670019240.000000,1123799500764.000000,,,570124072186.000000,365457653107.000000,,69069629825.000000,74825860783.000000,143895490608.000000,,7497094408.000000,24274922699.000000,31772017107.000000,19223339637.000000,2937512261.000000,,,6335923070.000000,6335923070.000000,502136396.000000,570124072186.000000,10433040984.000000,,,5906880484.000000,5906880484.000000,4526160500.000000,10433040984.000000,580557113170.000000,,100000000000.000000,,152493312533.000000,,,152493312533.000000,920945.000000,290748154116.000000,543242387594.000000,1123799500764.000000,100000.000000
12M 2021,,,105771244.000000,107030884582.000000,16223126578.000000,90807758004.000000,107030884582.000000,203156711822.000000,3618952656.000000,199537759166.000000,203156711822.000000,328300910087.000000,69238306561.000000,707832584296.000000,,7515144424.000000,37838005303.000000,9963541173.000000,45704586757.000000,84708948645.000000,185730226302.000000,893562810598.000000,,,129866730032.000000,3296990366.000000,,52510486566.000000,16918060461.000000,69428547027.000000,,15334704326.000000,6848975227.000000,22183679553.000000,18974661146.000000,1456707889.000000,,491067472.000000,13472220975.000000,13963288447.000000,562855604.000000,129866730032.000000,33270377910.000000,,859368077.000000,21622548333.000000,22481916410.000000,10788461500.000000,33270377910.000000,163137107942.000000,,415000000000.000000,-19359473715.000000,333743533933.000000,,,333743533933.000000,2301242.000000,1039341196.000000,730425702656.000000,893562810598.000000,415000.000000
12M 2022,,,186715449294.000000,141295431865.000000,19006501058.000000,122288930807.000000,141295431865.000000,34619547988.000000,16823926092.000000,17795621896.000000,34619547988.000000,574846001228.000000,146932938580.000000,1084409368955.000000,,23964967777.000000,38181443484.000000,11117295580.000000,93999294064.000000,130806017381.000000,298069018286.000000,1382478387241.000000,,,393509762772.000000,,,187146459717.000000,36148314723.000000,223294774440.000000,,25295419248.000000,53160973172.000000,78456392420.000000,37544466055.000000,22767330589.000000,,3543589501.000000,27451473025.000000,30995062526.000000,451736742.000000,393509762772.000000,73205421470.000000,,5710214154.000000,55932844816.000000,61643058970.000000,11562362500.000000,73205421470.000000,466715184242.000000,,415000000000.000000,-19359473715.000000,518174170489.000000,,,518174170489.000000,582539231.000000,1365966994.000000,915763202999.000000,1382478387241.000000,415000.000000
12M 2023,,,493231719919.000000,291155964685.000000,23632892563.000000,267523072122.000000,291155964685.000000,34401010589.000000,10198877977.000000,24202132612.000000,34401010589.000000,612124224691.000000,93864339533.000000,1524777259417.000000,,54158613456.000000,38921749996.000000,14837906327.000000,172538831376.000000,194567143831.000000,475024244986.000000,1999801504403.000000,,,447858200536.000000,,,161610926490.000000,154516127554.000000,316127054044.000000,,37779062165.000000,43317125327.000000,81096187492.000000,2186858539.000000,9728981321.000000,,,37116296555.000000,37116296555.000000,1602822585.000000,447858200536.000000,86104095523.000000,,,70754866523.000000,70754866523.000000,15349229000.000000,86104095523.000000,533962296059.000000,,518750000000.000000,265220544638.000000,679198960825.000000,500000000.000000,678698960825.000000,679198960825.000000,788681078.000000,1881021803.000000,1465839208344.000000,1999801504403.000000,5187500000.000000
12M 2024,,,540338327383.000000,384829350695.000000,29337241560.000000,355492109135.000000,384829350695.000000,72590568064.000000,9180074137.000000,63410493927.000000,72590568064.000000,750830482205.000000,155040559748.000000,1903629288095.000000,,139079043522.000000,51651058432.000000,28361711050.000000,79199020801.000000,362662316227.000000,660953150032.000000,2564582438127.000000,,,777822962035.000000,,,312360772363.000000,235939549569.000000,548300321932.000000,,87786399788.000000,21759566109.000000,109545965897.000000,13741283053.000000,18362580679.000000,,,83346769506.000000,83346769506.000000,4526040968.000000,777822962035.000000,153614847128.000000,,,127745175128.000000,127745175128.000000,25869672000.000000,153614847128.000000,931437809163.000000,,518750000000.000000,265220544638.000000,828774079638.000000,1000000000.000000,827774079638.000000,828774079638.000000,17838757050.000000,2561247638.000000,1633144628964.000000,2564582438127.000000,5187500000.000000
