Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,706721.68,0.00,0.00,148.77 B,6.29%,13.01%,39.77%,5.42
12M 2021,0.00 B,436747.52,0.00,0.00,225.94 B,20.28%,24.81%,31.98%,37.52
12M 2022,0.00 B,444411.17,0.00,0.00,268.86 B,13.34%,20.15%,27.85%,27.54
12M 2023,5.19 B,40.68,7.87,0.44,298.72 B,10.55%,14.40%,19.82%,35.87
12M 2024,5.19 B,38.83,8.50,0.35,306.67 B,7.86%,12.47%,13.79%,23.63
