Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pendapatan Keuangan,Biaya Keuangan,Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Modal Pada Entitas Asosiasi Dan Ventura Bersama,Pembelian Aset Tetap Dan Uang Muka Pembelian Aset Tetap,Uang Muka Pembelian Saham,Pengembalian (Penambahan) Uang Jaminan,Penambahan Aset Hak-Guna,Pembelian Aset Takberwujud Dan Uang Muka Pembelian Aset Takberwujud,Akuisisi Entitas Anak,Penerimaan Dari Penjualan Aset Tetap,Penerimaan Dividen Dari Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari :,Pinjaman Dari Pihak Berelasi,Utang Bank Jangka Panjang,Setoran Modal Ke Entitas Anak Dari Kepentingan Nonpengendali,Penerbitan Modal Saham,Penerbitan Saham Biasa,Total Penerimaan Dari :,Pembayaran Untuk :,Dividen,Liabilitas Sewa,Biaya Transaksi Untuk Memperoleh Utang Bank Jangka Pendek,Biaya Transaksi Untuk Memperoleh Utang Bank Jangka Panjang,Piutang Dari Pihak Berelasi,Pinjaman Kepada Pihak Berelasi,Pinjaman Lainya,Dividen Dari Aktivitas Pendanaan,Utang Bank Jangka Panjang,Utang Bank Jangka Pendek,Total Pembayaran Untuk :,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,701096720140.000000,1899921197188.000000,-1152414942585.000000,-42426593878.000000,5197756777.000000,-18514067336.000000,9333369974.000000,701096720140.000000,-8368864713.000000,,-869398540.000000,,-530414001.000000,-6957152172.000000,-11900000.000000,,,,-8368864713.000000,-319294160785.000000,,,,,,,,,,-20722500115.000000,-499375000.000000,,,-168072285670.000000,,,,-130000000000.000000,-319294160785.000000,-319294160785.000000,373433694642.000000,-368291916472.000000,5141778170.000000
12M 2021,92878873543.000000,2279200679591.000000,-2130839787482.000000,-54616494112.000000,22327546776.000000,-4191467540.000000,-19001603690.000000,92878873543.000000,-371384913816.000000,-41901000000.000000,-10988787655.000000,,1318384383.000000,-581149120.000000,-37842454545.000000,-314999000000.000000,15578253121.000000,18030840000.000000,-371384913816.000000,270173042981.000000,,,1350435549.000000,,315000000000.000000,,316350435549.000000,,,-17134785537.000000,-1110902778.000000,-3989923.000000,-27927714330.000000,,,,,,-46177392568.000000,270173042981.000000,-8332997292.000000,5141778170.000000,-3191219122.000000
12M 2022,101190338009.000000,3003140989391.000000,-2804430376272.000000,-77446144862.000000,9801724810.000000,-7450369546.000000,-22425485512.000000,101190338009.000000,-74660532838.000000,-49000000000.000000,-20510749503.000000,,-3927909218.000000,-1013266667.000000,-208607450.000000,,,,-74660532838.000000,163376863245.000000,,196000000000.000000,7903368106.000000,1001000000.000000,,,204904368106.000000,,,-40390288012.000000,-1112415108.000000,-24801741.000000,,,,,,,-41527504861.000000,163376863245.000000,189906668416.000000,-3191219122.000000,186715449294.000000
12M 2023,149108949590.000000,3579809590788.000000,-3225621968334.000000,-118279977395.000000,8735277231.000000,-920245148.000000,-94613727552.000000,149108949590.000000,-121282051327.000000,-62720000000.000000,-50919827014.000000,,-6656805638.000000,,-999120400.000000,,13701725.000000,,-121282051327.000000,278689372362.000000,,,,1150000.000000,,388330018353.000000,388331168353.000000,,,-50387992336.000000,,,,,-9253803655.000000,-50000000000.000000,,,-109641795991.000000,278689372362.000000,306516270625.000000,186715449294.000000,493231719919.000000
12M 2024,326266933403.000000,4752666573710.000000,-4213110827548.000000,-150383780032.000000,19740202823.000000,-597519187.000000,-82047716363.000000,326266933403.000000,-144762136830.000000,-15729000000.000000,-37816381251.000000,,-4781206563.000000,-8869294842.000000,-786711329.000000,-76779542845.000000,,,-144762136830.000000,-134398189109.000000,,,,,,,,,,-53123189109.000000,,,,-29400000000.000000,,-51875000000.000000,,,-134398189109.000000,-134398189109.000000,47106607464.000000,493231719919.000000,540338327383.000000
