Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,1971792990143.000000,-1726872248783.000000,244920741360.000000,-134823345539.000000,-82375396894.000000,-70766412980.000000,18318464335.000000,-134823345539.000000,110097395821.000000,-12053220061.000000,6224976635.000000,-20305513280.000000,2027316584.000000,-12053220061.000000,98044175760.000000,-24891725201.000000,,,-24891725201.000000,73152450559.000000,,73152450559.000000,1077141673.000000,74229592232.000000,70672167743.000000,70672167743.000000,,70672167743.000000,71178185416.000000,71178185416.000000,,71178185416.000000
12M 2021,2194381934184.000000,-1880192335067.000000,314189599117.000000,-103536403310.000000,-64500383151.000000,-71522396340.000000,32486376181.000000,-103536403310.000000,210653195807.000000,24967484538.000000,21793309562.000000,-5614702663.000000,8788877639.000000,24967484538.000000,235620680345.000000,-48826158611.000000,,,-48826158611.000000,186794521734.000000,,186794521734.000000,387793327.000000,187182315061.000000,181250335349.000000,181250221400.000000,113949.000000,181250335349.000000,181638128676.000000,181638013169.000000,115507.000000,181638128676.000000
12M 2022,3037345793667.000000,-2623954586808.000000,413391206859.000000,-169364818664.000000,-107068458612.000000,-94573340445.000000,32276980393.000000,-169364818664.000000,244026388195.000000,143912429.000000,9308742166.000000,-8860318609.000000,-304511128.000000,143912429.000000,244170300624.000000,-60160424653.000000,,,-60160424653.000000,184009875971.000000,,184009875971.000000,326624374.000000,184336500345.000000,184009875971.000000,184430636556.000000,-420760585.000000,184009875971.000000,184336500345.000000,184757262355.000000,-420762010.000000,184336500345.000000
12M 2023,3730376124969.000000,-3219208418504.000000,511167706465.000000,-259340058860.000000,-165134992053.000000,-152752671147.000000,58547604340.000000,-259340058860.000000,251827647605.000000,17911208987.000000,9016750108.000000,-7020640921.000000,15915099800.000000,17911208987.000000,269738856592.000000,-58972251353.000000,,,-58972251353.000000,210766605239.000000,,210766605239.000000,978231753.000000,211744836992.000000,210766605239.000000,211024790336.000000,-258185097.000000,210766605239.000000,211744836992.000000,212003040642.000000,-258203650.000000,211744836992.000000
12M 2024,4842575703665.000000,-4185323491777.000000,657252211888.000000,-426998427001.000000,-251403317441.000000,-210741849086.000000,35146739526.000000,-426998427001.000000,230253784887.000000,26615718673.000000,19740202823.000000,-9742583955.000000,16618099805.000000,26615718673.000000,256869503560.000000,-55525664960.000000,,,-55525664960.000000,201343838600.000000,,201343838600.000000,681582020.000000,202025420620.000000,201343838600.000000,201450118813.000000,-106280213.000000,201343838600.000000,202025420620.000000,202130349416.000000,-104928796.000000,202025420620.000000
