Period,Arus Kas Dari Aktivitas Operasi,Penjualan,Penerimaan Dari Pelanggan,Penerimaan Pendapatan Sewa,Pembayaran Sewa,Pembayaran Kepada Pemasok,Beban Penjualan Lainnya,Pembayaran Kepada Karyawan Dan Iain-Iain,Penerimaan Penghasilan Bunga,Pembayaran Beban Bunga Dan Biaya Bank,Pendapatan Lainnya,Beban Lainnya,Pembayaran Pajak,Pengembalian Pajak Penghasilan Badan,Pembelian Kendaraan,Penambahan Piutang,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Uang Muka Sewa,Hasil Dari Penjualan Aset Tetap,Hasil Penjualan Investasi Pada Perusahaan,Hasil Penjualan Investasi Jangka Panjang,Hasil Penjualan Investasi Jangka Pendek,Penempatan Deposito Berjangka,Pembelian Saham Di Pt Bank Nationalnobu Tbk (Nobu Bank),Pembelian Saham Di Pt Global Ecommerce Indonesia (Gei),Pembelian Saham Perusahaan Dari Pemegang Saham Sebelumnya Oleh Pt Meadow Indonesia,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Bank,Pembayaran Beban Bunga Dan Biaya Bank,Pembayaran Pinjaman Pihak Ketiga,Pembayaran Dividen,Pembayaran Pokok Liabilitas Sewa,Penerimaan Pinjaman Bank,Pemberian Pinjaman Ke Pihak Yang Mempunyai Hubungan Istimewa,Penerimaan Pinjaman Pihak Ketiga,Pembelian Saham Treasuri,Penerimaan Dari Pemegang Saham Pt.meadow Indonesia,Pembayaran Dari Pemegang Saham Pt.maedow Indonesia,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Akhir Periode
12M 2008,7058000000.000000,12741000000.000000,,,,,,-2755000000.000000,,,1055000000.000000,-3983000000.000000,,,,,7058000000.000000,-236000000.000000,-236000000.000000,,,,,,,,,,,-236000000.000000,-6706000000.000000,-4800000000.000000,-1906000000.000000,,,,,,,,,,-6706000000.000000,116000000.000000,706000000.000000,,822000000.000000
12M 2009,481500000000.000000,1184477000000.000000,,892000000.000000,-86978000000.000000,,-43603000000.000000,-59216000000.000000,,,10710000000.000000,-23747000000.000000,,,-500271000000.000000,-764000000.000000,481500000000.000000,-404613000000.000000,-436787000000.000000,-16034000000.000000,-3500000000.000000,-1273000000.000000,791000000.000000,52001000000.000000,100000000.000000,,,,89000000.000000,-404613000000.000000,407110000000.000000,-12650000000.000000,-1485000000.000000,,852000000.000000,,,,,,420393000000.000000,,407110000000.000000,483997000000.000000,822000000.000000,,484819000000.000000
12M 2010,707459000000.000000,,8528714000000.000000,,,-5968930000000.000000,,-1488996000000.000000,61234000000.000000,-311970000000.000000,,,-112593000000.000000,,,,707459000000.000000,-169191000000.000000,-95389000000.000000,-53525000000.000000,-20931000000.000000,654000000.000000,,,,,,,,-169191000000.000000,93765000000.000000,-162500000000.000000,,,,,3108893000000.000000,-2852628000000.000000,,,,,93765000000.000000,632033000000.000000,360159000000.000000,-36087000000.000000,956105000000.000000
12M 2011,1223674000000.000000,,10025226000000.000000,,,-6511193000000.000000,,-1985384000000.000000,32455000000.000000,,,,-337430000000.000000,,,,1223674000000.000000,-260512000000.000000,-139926000000.000000,-95741000000.000000,-25355000000.000000,510000000.000000,,,,,,,,-260512000000.000000,-1042385000000.000000,-626315000000.000000,-413574000000.000000,,-2496000000.000000,,,,,,,,-1042385000000.000000,-79223000000.000000,1035327000000.000000,-37130000000.000000,918974000000.000000
12M 2012,1599781000000.000000,,11975982000000.000000,,,-7831342000000.000000,,-2255168000000.000000,26151000000.000000,,,,-315842000000.000000,,,,1599781000000.000000,-512806000000.000000,-161808000000.000000,-79295000000.000000,-272761000000.000000,1058000000.000000,,,,,,,,-512806000000.000000,-1004020000000.000000,-616931000000.000000,-325445000000.000000,-1237817000000.000000,,,1176173000000.000000,,,,,,-1004020000000.000000,82955000000.000000,956104000000.000000,-39187000000.000000,999872000000.000000
12M 2013,1670935000000.000000,,13937039000000.000000,,,-9244711000000.000000,,-2568884000000.000000,17928000000.000000,,,,-470437000000.000000,,,,1670935000000.000000,-237917000000.000000,-162307000000.000000,-76965000000.000000,,1355000000.000000,,,,,,,,-237917000000.000000,-1674281000000.000000,-1650000000000.000000,-274281000000.000000,,,,250000000000.000000,,,,,,-1674281000000.000000,-241263000000.000000,1039059000000.000000,-25579000000.000000,772217000000.000000
12M 2014,1874402000000.000000,,15927265000000.000000,,,-10477757000000.000000,,-3219894000000.000000,22583000000.000000,,,,-377795000000.000000,,,,1874402000000.000000,-268997000000.000000,-171197000000.000000,-99523000000.000000,,1723000000.000000,,,,,,,,-268997000000.000000,-1617306000000.000000,-2647253000000.000000,-169097000000.000000,,-460156000000.000000,,1659200000000.000000,,,,,,-1617306000000.000000,-11901000000.000000,797796000000.000000,,785895000000.000000
12M 2015,2249020000000.000000,,17667069000000.000000,,,-11418081000000.000000,,-3542080000000.000000,30833000000.000000,,,,-488721000000.000000,,,,2249020000000.000000,-463107000000.000000,-334288000000.000000,-44235000000.000000,,309000000.000000,,,,,,-84893000000.000000,,-463107000000.000000,-1625150000000.000000,-700000000000.000000,-73702000000.000000,,-851448000000.000000,,,,,,,,-1625150000000.000000,160763000000.000000,785895000000.000000,,946658000000.000000
12M 2016,2531383000000.000000,,19054364000000.000000,,,-12176537000000.000000,,-3775510000000.000000,30536000000.000000,,,,-601470000000.000000,,,,2531383000000.000000,-506621000000.000000,-332152000000.000000,-80220000000.000000,,631000000.000000,,,,,,-94880000000.000000,,-506621000000.000000,-1258576000000.000000,-11750000000.000000,,,-1246826000000.000000,,,,,,,,-1258576000000.000000,766186000000.000000,946658000000.000000,,1712844000000.000000
12M 2017,2213567000000.000000,,19228772000000.000000,,,-12470819000000.000000,,-4140774000000.000000,37910000000.000000,,,,-441522000000.000000,,,,2213567000000.000000,-914097000000.000000,-294993000000.000000,-29653000000.000000,,549000000.000000,,,,,,-590000000000.000000,,-914097000000.000000,-1429497000000.000000,-15474000000.000000,,,-1414023000000.000000,,,,,,,,-1429497000000.000000,-130027000000.000000,1712844000000.000000,,1582817000000.000000
