Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Properti Investasi,Aset Tetap,Others,Total Aset Tetap,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Beban Akrual,Utang Dari Pihak Ketiga,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,822000000.000000,33000000.000000,,,,197000000.000000,,,197000000.000000,,1159000000.000000,2211000000.000000,,276000000.000000,,276000000.000000,276000000.000000,562000000.000000,55440000000.000000,100000000.000000,,459000000.000000,459000000.000000,459000000.000000,,,,,312000000.000000,57149000000.000000,59360000000.000000,,,5688000000.000000,,,,,,430000000.000000,,430000000.000000,260000000.000000,,,260000000.000000,,4800000000.000000,4800000000.000000,198000000.000000,5688000000.000000,10071000000.000000,,7850000000.000000,7850000000.000000,,,2221000000.000000,10071000000.000000,15759000000.000000,,121529000000.000000,36033000000.000000,,,,,-113961000000.000000,43601000000.000000,59360000000.000000,1326326400.000000
12M 2009,,,360159000000.000000,,11931000000.000000,11931000000.000000,11931000000.000000,4201000000.000000,,,4201000000.000000,364063000000.000000,72124000000.000000,812478000000.000000,,24769000000.000000,,24769000000.000000,24769000000.000000,26177000000.000000,,,,529865000000.000000,529865000000.000000,529865000000.000000,,,,,130500000000.000000,711311000000.000000,1523789000000.000000,,,1174536000000.000000,,,871316000000.000000,,871316000000.000000,31804000000.000000,,31804000000.000000,220003000000.000000,,,220003000000.000000,,,,51413000000.000000,1174536000000.000000,110376000000.000000,,,,,,110376000000.000000,110376000000.000000,1284912000000.000000,,386794000000.000000,195192000000.000000,,,,,-343109000000.000000,238877000000.000000,1523789000000.000000,265265280.000000
12M 2010,,,956105000000.000000,,14078000000.000000,14078000000.000000,14078000000.000000,410429000000.000000,9645000000.000000,400784000000.000000,410429000000.000000,20806000000.000000,69910000000.000000,1471328000000.000000,,3221680000000.000000,,3221680000000.000000,3221680000000.000000,15990000000.000000,,,,572099000000.000000,,572099000000.000000,,,,,132773000000.000000,3942542000000.000000,5413870000000.000000,,,1464894000000.000000,,,718478000000.000000,,718478000000.000000,,155610000000.000000,155610000000.000000,206029000000.000000,,,206029000000.000000,,233255000000.000000,233255000000.000000,151522000000.000000,1464894000000.000000,2874728000000.000000,,2733774000000.000000,2733774000000.000000,,,140954000000.000000,2874728000000.000000,4339622000000.000000,,386794000000.000000,195192000000.000000,492262000000.000000,,,492262000000.000000,,1074248000000.000000,5413870000000.000000,2917918080.000000
12M 2011,,,918974000000.000000,,46274000000.000000,46274000000.000000,46274000000.000000,19999000000.000000,19999000000.000000,,19999000000.000000,462013000000.000000,120075000000.000000,1567335000000.000000,,,,,,58619000000.000000,,,,622891000000.000000,,622891000000.000000,,,,,173627000000.000000,855137000000.000000,2422472000000.000000,,,1708305000000.000000,,,284947000000.000000,,284947000000.000000,,171404000000.000000,171404000000.000000,14011000000.000000,,,14011000000.000000,,93388000000.000000,93388000000.000000,1144555000000.000000,1708305000000.000000,3416580000000.000000,,2082511000000.000000,2082511000000.000000,91478000000.000000,1069746000000.000000,172845000000.000000,3416580000000.000000,5124885000000.000000,,386794000000.000000,195192000000.000000,482727000000.000000,6250000000.000000,476477000000.000000,482727000000.000000,-3767126000000.000000,-2702413000000.000000,2422472000000.000000,2917918080.000000
12M 2012,,,999872000000.000000,,57654000000.000000,57654000000.000000,57654000000.000000,15920000000.000000,15920000000.000000,,15920000000.000000,519601000000.000000,151173000000.000000,1744220000000.000000,,,,,,53851000000.000000,,,,694005000000.000000,,694005000000.000000,2413000000.000000,,2413000000.000000,2413000000.000000,435263000000.000000,1185532000000.000000,2929752000000.000000,,,2170205000000.000000,,,1054745000000.000000,,1054745000000.000000,,191015000000.000000,191015000000.000000,270766000000.000000,,,270766000000.000000,,483935000000.000000,483935000000.000000,169744000000.000000,2170205000000.000000,2691079000000.000000,,2475161000000.000000,2475161000000.000000,,,215918000000.000000,2691079000000.000000,4861284000000.000000,,386794000000.000000,195192000000.000000,1253608000000.000000,10950000000.000000,1242658000000.000000,1253608000000.000000,-3767126000000.000000,-1931532000000.000000,2929752000000.000000,2917918080.000000
12M 2013,,,772217000000.000000,,32786000000.000000,32786000000.000000,32786000000.000000,30146000000.000000,15094000000.000000,15052000000.000000,30146000000.000000,723809000000.000000,144109000000.000000,1703067000000.000000,,,,,,43005000000.000000,,,,727186000000.000000,,727186000000.000000,,,,,463624000000.000000,1233815000000.000000,2936882000000.000000,,,1890181000000.000000,,,1265953000000.000000,,1265953000000.000000,,87065000000.000000,87065000000.000000,,272571000000.000000,31034000000.000000,303605000000.000000,,29149000000.000000,29149000000.000000,204409000000.000000,1890181000000.000000,1828073000000.000000,,1566531000000.000000,1566531000000.000000,,,261542000000.000000,1828073000000.000000,3718254000000.000000,,386794000000.000000,-3571934000000.000000,2403768000000.000000,116397000000.000000,2287371000000.000000,2403768000000.000000,,-781372000000.000000,2936882000000.000000,2917918080.000000
12M 2014,,,785895000000.000000,,45063000000.000000,45063000000.000000,45063000000.000000,64318000000.000000,17784000000.000000,46534000000.000000,64318000000.000000,955231000000.000000,267000000000.000000,2117507000000.000000,,,,,,44668000000.000000,,,,725954000000.000000,,725954000000.000000,,,,,520243000000.000000,1290865000000.000000,3408372000000.000000,,,2518521000000.000000,,,1410802000000.000000,,1410802000000.000000,,143539000000.000000,143539000000.000000,,211756000000.000000,45122000000.000000,256878000000.000000,,278978000000.000000,278978000000.000000,428324000000.000000,2518521000000.000000,712261000000.000000,,410191000000.000000,410191000000.000000,,,302070000000.000000,712261000000.000000,3230782000000.000000,,386794000000.000000,-3571934000000.000000,3362730000000.000000,116397000000.000000,3246333000000.000000,3362730000000.000000,,177590000000.000000,3408372000000.000000,2917918080.000000
12M 2015,,,946658000000.000000,,39312000000.000000,39312000000.000000,39312000000.000000,36714000000.000000,30848000000.000000,5866000000.000000,36714000000.000000,1007811000000.000000,242446000000.000000,2272941000000.000000,,,,,,38416000000.000000,,,,876566000000.000000,,876566000000.000000,,,,,701368000000.000000,1616350000000.000000,3889291000000.000000,,,2439014000000.000000,,,1551619000000.000000,,1551619000000.000000,,110357000000.000000,110357000000.000000,,280046000000.000000,51134000000.000000,331180000000.000000,,,,445858000000.000000,2439014000000.000000,344110000000.000000,,,,,,344110000000.000000,344110000000.000000,2783124000000.000000,,386794000000.000000,-3571934000000.000000,4291307000000.000000,116397000000.000000,4174910000000.000000,4291307000000.000000,,1106167000000.000000,3889291000000.000000,2917918080.000000
12M 2016,,,1712844000000.000000,,73137000000.000000,73137000000.000000,73137000000.000000,21429000000.000000,16558000000.000000,4871000000.000000,21429000000.000000,995276000000.000000,171366000000.000000,2974052000000.000000,,,,,,40219000000.000000,,,,979858000000.000000,,979858000000.000000,,,,,864749000000.000000,1884826000000.000000,4858878000000.000000,,,2588354000000.000000,,,1662533000000.000000,,1662533000000.000000,,34944000000.000000,34944000000.000000,,405378000000.000000,45329000000.000000,450707000000.000000,,,,440170000000.000000,2588354000000.000000,415281000000.000000,,,,,,415281000000.000000,415281000000.000000,3003635000000.000000,,386794000000.000000,-3571934000000.000000,5040383000000.000000,116397000000.000000,4923986000000.000000,5040383000000.000000,,1855243000000.000000,4858878000000.000000,2917918080.000000
12M 2017,,,1582817000000.000000,,134276000000.000000,134276000000.000000,134276000000.000000,17673000000.000000,14023000000.000000,3650000000.000000,17673000000.000000,1005484000000.000000,233499000000.000000,2973749000000.000000,,,,,,35245000000.000000,,,,973698000000.000000,,973698000000.000000,,,,,1444734000000.000000,2453677000000.000000,5427426000000.000000,,,2610824000000.000000,,,1644581000000.000000,,1644581000000.000000,,67099000000.000000,67099000000.000000,,489959000000.000000,20382000000.000000,510341000000.000000,,,,388803000000.000000,2610824000000.000000,488617000000.000000,,,,,,488617000000.000000,488617000000.000000,3099441000000.000000,,386794000000.000000,-3571934000000.000000,5513125000000.000000,116397000000.000000,5396728000000.000000,5513125000000.000000,,2327985000000.000000,5427426000000.000000,2917918080.000000
12M 2018,,,1184080000000.000000,,129487000000.000000,129487000000.000000,129487000000.000000,25019000000.000000,21123000000.000000,3896000000.000000,25019000000.000000,1290570000000.000000,385252000000.000000,3014408000000.000000,,,,,,32351000000.000000,,,,1249153000000.000000,,1249153000000.000000,,,,,740484000000.000000,2021988000000.000000,5036396000000.000000,,,2739811000000.000000,,,1698142000000.000000,,1698142000000.000000,,71205000000.000000,71205000000.000000,,581199000000.000000,18002000000.000000,599201000000.000000,,,,371263000000.000000,2739811000000.000000,480757000000.000000,,,,,,480757000000.000000,480757000000.000000,3220568000000.000000,,386794000000.000000,-3571934000000.000000,5324476000000.000000,116397000000.000000,5208079000000.000000,5324476000000.000000,-323508000000.000000,1815828000000.000000,5036396000000.000000,2917918080.000000
12M 2019,,,1172506000000.000000,,85572000000.000000,85572000000.000000,85572000000.000000,27288000000.000000,20745000000.000000,6543000000.000000,27288000000.000000,1098516000000.000000,364899000000.000000,2748781000000.000000,,,,,,27088000000.000000,,,,1433305000000.000000,,1433305000000.000000,,,,,623736000000.000000,2084129000000.000000,4832910000000.000000,,,2597839000000.000000,,,1470488000000.000000,,1470488000000.000000,,39597000000.000000,39597000000.000000,,674869000000.000000,9877000000.000000,684746000000.000000,,,,403008000000.000000,2597839000000.000000,488444000000.000000,,,,,,488444000000.000000,488444000000.000000,3086283000000.000000,,325040000000.000000,-3591683000000.000000,5371581000000.000000,116397000000.000000,5255184000000.000000,5371581000000.000000,-358311000000.000000,1746627000000.000000,4832910000000.000000,2804883280.000000
12M 2020,,,523954000000.000000,,60657000000.000000,60657000000.000000,60657000000.000000,20158000000.000000,14888000000.000000,5270000000.000000,20158000000.000000,889484000000.000000,115960000000.000000,1610213000000.000000,,,,,,103718000000.000000,,,191500000000.000000,862026000000.000000,,862026000000.000000,,,,,3551617000000.000000,4708861000000.000000,6319074000000.000000,,,2856300000000.000000,1011000000000.000000,,348369000000.000000,,348369000000.000000,,48105000000.000000,48105000000.000000,,569274000000.000000,15272000000.000000,584546000000.000000,,,,864280000000.000000,2856300000000.000000,2881656000000.000000,,,,,,2881656000000.000000,2881656000000.000000,5737956000000.000000,,280461000000.000000,-3607955000000.000000,3857652000000.000000,116397000000.000000,3741255000000.000000,3857652000000.000000,50960000000.000000,581118000000.000000,6319074000000.000000,2626148780.000000
12M 2021,,,661391000000.000000,,25816000000.000000,25816000000.000000,25816000000.000000,15590000000.000000,12110000000.000000,3480000000.000000,15590000000.000000,746771000000.000000,63915000000.000000,1513483000000.000000,,,,,,99455000000.000000,,,191500000000.000000,647318000000.000000,,647318000000.000000,,,,,3399473000000.000000,4337746000000.000000,5851229000000.000000,,,2070044000000.000000,,,730365000000.000000,,730365000000.000000,,97753000000.000000,97753000000.000000,,390126000000.000000,7456000000.000000,397582000000.000000,,,,844344000000.000000,2070044000000.000000,2775213000000.000000,,,,,,2775213000000.000000,2775213000000.000000,4845257000000.000000,,280461000000.000000,-3607955000000.000000,4566340000000.000000,116397000000.000000,4449943000000.000000,4566340000000.000000,-232874000000.000000,1005972000000.000000,5851229000000.000000,2626148780.000000
