Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,11400000000.000000,11400000000.000000,11400000000.000000,,11400000000.000000,-5421000000.000000,,,-5421000000.000000,-5421000000.000000,,-5421000000.000000,5979000000.000000,-9678000000.000000,,-1895000000.000000,,,-7750000000.000000,-33000000.000000,-9678000000.000000,-3699000000.000000,,,,,-3699000000.000000,,,,-3699000000.000000,-3699000000.000000,-3699000000.000000,,-3699000000.000000,-3699000000.000000,-3699000000.000000,,-3699000000.000000
12M 2009,617423000000.000000,617423000000.000000,617423000000.000000,-236315000000.000000,381108000000.000000,-401805000000.000000,,-131116000000.000000,-270689000000.000000,-401805000000.000000,,-401805000000.000000,-20697000000.000000,2684000000.000000,,-608000000.000000,,,1948000000.000000,1344000000.000000,2684000000.000000,-18013000000.000000,-301000000.000000,-25916000000.000000,25615000000.000000,-301000000.000000,-18314000000.000000,,,,-18314000000.000000,-18314000000.000000,-18314000000.000000,,-18314000000.000000,-18314000000.000000,-18314000000.000000,,-18314000000.000000
12M 2010,4091903000000.000000,4091903000000.000000,4091903000000.000000,-1458713000000.000000,2633190000000.000000,-1539854000000.000000,,-833768000000.000000,-706086000000.000000,-1539854000000.000000,,-1539854000000.000000,1093336000000.000000,-23908000000.000000,306878000000.000000,-314959000000.000000,275000000.000000,-41000000.000000,,-16061000000.000000,-23908000000.000000,1069428000000.000000,-234057000000.000000,,,-234057000000.000000,835371000000.000000,-210834000000.000000,-210834000000.000000,-210834000000.000000,624537000000.000000,835371000000.000000,835371000000.000000,,835371000000.000000,624537000000.000000,624537000000.000000,,624537000000.000000
12M 2011,4700712000000.000000,4700712000000.000000,4700712000000.000000,-1595216000000.000000,3105496000000.000000,-1864195000000.000000,,-912909000000.000000,-937439000000.000000,-1850348000000.000000,-13847000000.000000,-1864195000000.000000,1241301000000.000000,-505707000000.000000,31066000000.000000,-536773000000.000000,,,,,-505707000000.000000,735594000000.000000,-269946000000.000000,,,-269946000000.000000,465648000000.000000,,,,465648000000.000000,465648000000.000000,465648000000.000000,,465648000000.000000,465648000000.000000,465648000000.000000,,465648000000.000000
12M 2012,5616932000000.000000,5616932000000.000000,5616932000000.000000,-1910789000000.000000,3706143000000.000000,-2121792000000.000000,,-1049593000000.000000,-1082623000000.000000,-2132216000000.000000,10424000000.000000,-2121792000000.000000,1584351000000.000000,-425356000000.000000,26151000000.000000,-451507000000.000000,,,,,-425356000000.000000,1158995000000.000000,-388114000000.000000,,,-388114000000.000000,770881000000.000000,,,,770881000000.000000,770881000000.000000,770881000000.000000,,770881000000.000000,770881000000.000000,770881000000.000000,,770881000000.000000
12M 2013,6754326000000.000000,6754326000000.000000,6754326000000.000000,-2391274000000.000000,4363052000000.000000,-2548184000000.000000,-2581920000000.000000,,,-2581920000000.000000,33736000000.000000,-2548184000000.000000,1814868000000.000000,-291246000000.000000,17928000000.000000,-309174000000.000000,,,,,-291246000000.000000,1523622000000.000000,-373462000000.000000,,,-373462000000.000000,1150160000000.000000,,,,1150160000000.000000,1150160000000.000000,1150160000000.000000,,1150160000000.000000,1150160000000.000000,1150160000000.000000,,1150160000000.000000
12M 2014,7925547000000.000000,7925547000000.000000,7925547000000.000000,-2877507000000.000000,5048040000000.000000,-2964128000000.000000,-2937013000000.000000,,,-2937013000000.000000,-27115000000.000000,-2964128000000.000000,2083912000000.000000,-233368000000.000000,22583000000.000000,-255951000000.000000,,,,,-233368000000.000000,1850544000000.000000,-431426000000.000000,,,-431426000000.000000,1419118000000.000000,,,,1419118000000.000000,1419118000000.000000,1419118000000.000000,,1419118000000.000000,1419118000000.000000,1419118000000.000000,,1419118000000.000000
12M 2015,9006893000000.000000,9006893000000.000000,9006893000000.000000,-3335638000000.000000,5671255000000.000000,-3333607000000.000000,-3341741000000.000000,,,-3341741000000.000000,8134000000.000000,-3333607000000.000000,2337648000000.000000,-92827000000.000000,30833000000.000000,-123660000000.000000,,,,,-92827000000.000000,2244821000000.000000,-463973000000.000000,,,-463973000000.000000,1780848000000.000000,,,,1780848000000.000000,1780848000000.000000,1780848000000.000000,,1780848000000.000000,1780848000000.000000,1780848000000.000000,,1780848000000.000000
12M 2016,9897046000000.000000,9897046000000.000000,9897046000000.000000,-3685279000000.000000,6211767000000.000000,-3677856000000.000000,-3683671000000.000000,,,-3683671000000.000000,5815000000.000000,-3677856000000.000000,2533911000000.000000,-1245000000.000000,30536000000.000000,-31781000000.000000,,,,,-1245000000.000000,2532666000000.000000,-512961000000.000000,,,-512961000000.000000,2019705000000.000000,-23803000000.000000,,-23803000000.000000,1995902000000.000000,2019705000000.000000,2019705000000.000000,,2019705000000.000000,1995902000000.000000,1995902000000.000000,,1995902000000.000000
12M 2017,10023961000000.000000,10023961000000.000000,10023961000000.000000,-3762021000000.000000,6261940000000.000000,-3885277000000.000000,-3852799000000.000000,,,-3852799000000.000000,-32478000000.000000,-3885277000000.000000,2376663000000.000000,19637000000.000000,37910000000.000000,-18273000000.000000,,,,,19637000000.000000,2396300000000.000000,-489223000000.000000,,,-489223000000.000000,1907077000000.000000,-20312000000.000000,,-20312000000.000000,1886765000000.000000,1907077000000.000000,1907077000000.000000,,1907077000000.000000,1886765000000.000000,1886765000000.000000,,1886765000000.000000
