Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Bunga,Klaim Asuransi,Pembayaran Beban Keuangan,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Bunga,Hasil Penjualan Aset Tetap,Pencairan Obligasi Kinerja,Akuisisi Entitas Anak,Penambahan Investasi Perusahaan Anak,Pembayaran Kepada Kepentingan Nonpengendali,Pembayaran Beban Tangguhan,Obligasi Pemerintah Indonesia,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Hasil Penjualan Saham Perdana,Penerimaan Dari Hasil Penjualan Saham,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Pendek,Pembayaran Biaya Yang Ditangguhkan,Penerimaan Utang Bank,Penerimaan Utang Bank Jangka Pendek,Penerimaan Tambahan Setoran Modal Non-Pengendali,Penerimaan Dari Obligasi Wajib Konversi,Penerimaan Pinjaman Dari Institusi Keuangan Dan Utang Bank,Pembayaran Utang Institusi Keuangan Dan Utang Bank,Pembayaran Beban Keuangan,Penerimaan Pinjaman Lembaga Keuangan,Pembayaran Pinjaman Lembaga Keuangan,Penerimaan Penambahan Saham Di Entitas Anak Dari Kepentingan Non Pengendali,Penerimaan Penambahan Saham Dengan Hak Memesan Terlebih Dahulu,Penerimaan Utang Ifc,Penerimaan (Pembayaran) Swap Interest,Pembayaran Biaya Transaksi Tidak Diamortisasi,Pembayaran Biaya Keuangan Lain,Penerimaan Kontribusi Modal,Penerimaan Utang Leasing - Kantor,Pembayaran Utang Leasing - Kantor,Pembayaran Dividen,Pembayaran Dividen Kepada Kepentingan Nonpengendali,Pembayaran Utang Pihak Berelasi,Pembayaran Liabilitas Sewa,Penerimaan (Pembayaran) Transaksi Keuangan Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2010,85864780405.000000,262280412445.000000,-130684965919.000000,,,-130684965919.000000,,,-17745154352.000000,,-27985511769.000000,85864780405.000000,-6356721609.000000,,362048424.000000,,,,,,,,-6718770033.000000,-6356721609.000000,-27289515270.000000,,,-27289515270.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-27289515270.000000,52218543526.000000,59908306398.000000,112126849924.000000
12M 2011,151707812028.000000,417037084067.000000,-219107903736.000000,,,-219107903736.000000,,,-11255075437.000000,,-34966292866.000000,151707812028.000000,-277371953826.000000,,410974054.000000,,,-267130066453.000000,,,,,-10652861427.000000,-277371953826.000000,201801639780.000000,,,-20654420000.000000,,,341006000000.000000,,,97087375000.000000,,,,,,,,,,,,,,,-155902000000.000000,,-59735315220.000000,,,,201801639780.000000,76137497982.000000,112126849924.000000,188264347906.000000
12M 2012,7017836.000000,37126411.000000,-24208848.000000,,,-24208848.000000,,,-1194268.000000,,-4705459.000000,7017836.000000,-6461896.000000,-2651419.000000,486715.000000,13604.000000,,,,,,,-4310796.000000,-6461896.000000,-218666.000000,15081334.000000,,-15300000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-218666.000000,337274.000000,20761396.000000,21098670.000000
12M 2013,14034725.000000,41742799.000000,-22223701.000000,,,-22223701.000000,,,-1064609.000000,,-4419764.000000,14034725.000000,-18644374.000000,-6114449.000000,300601.000000,5626.000000,,,,,,,-12836152.000000,-18644374.000000,19406595.000000,,25628200.000000,-6221605.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,19406595.000000,14796946.000000,21098670.000000,35895616.000000
12M 2014,7898020.000000,36454536.000000,-22001117.000000,,,-22001117.000000,,,-1684728.000000,,-4870671.000000,7898020.000000,-35747525.000000,-12290137.000000,291775.000000,39899.000000,,,,,,,-23789062.000000,-35747525.000000,3190933.000000,,,-16809067.000000,,,20000000.000000,,,,,,,,,,,,,,,,,,,,,,,,3190933.000000,-24658572.000000,35895616.000000,11237044.000000
12M 2015,-6494914.000000,41333387.000000,-43057778.000000,,,-43057778.000000,,,-1949145.000000,,-2821378.000000,-6494914.000000,-86139577.000000,-64495773.000000,38648.000000,17160.000000,,,,,,,-21699612.000000,-86139577.000000,92677366.000000,,,-6900805.000000,,,30000000.000000,,,,,,,,,54038171.000000,,,,,,15540000.000000,,,,,,,,,92677366.000000,42875.000000,11237044.000000,11279919.000000
12M 2016,-11626698.000000,29137316.000000,-34086734.000000,,,-34086734.000000,,,-6551308.000000,1172778.000000,-1298750.000000,-11626698.000000,-287889570.000000,-266599001.000000,185755.000000,,,,,,,,-21476324.000000,-287889570.000000,379104666.000000,,,-1713991.000000,,-10274068.000000,27311926.000000,,,,,,,345254000.000000,,18526799.000000,,,,,,,,,,,,,,,379104666.000000,79588398.000000,11279919.000000,90868317.000000
12M 2017,-777927.000000,30775169.000000,-26024017.000000,,,-26024017.000000,,,-4474164.000000,,-1054915.000000,-777927.000000,-154619824.000000,-113758277.000000,448501.000000,9889.000000,,,,,,,-41319937.000000,-154619824.000000,104344700.000000,,,-1387343.000000,,-1895183.000000,13005070.000000,,,92222000.000000,,,,2400156.000000,,,,,,,,,,,,,,,,,104344700.000000,-51053051.000000,90868317.000000,39815266.000000
12M 2018,27177186.000000,137946878.000000,-108337231.000000,,,-108337231.000000,,,,,-2432461.000000,27177186.000000,-36888854.000000,-16021330.000000,958890.000000,20201.000000,,,,,,,-21846615.000000,-36888854.000000,75276965.000000,35070294.000000,,-16970767.000000,,-1072321.000000,10000000.000000,,,86432297.000000,,,,23647431.000000,-28115799.000000,,,,,,,-33714170.000000,,,,,,,,,75276965.000000,65565297.000000,39815266.000000,105380563.000000
12M 2019,87685719.000000,229705730.000000,-167928390.000000,,,-167928390.000000,2884417.000000,,,26436550.000000,-3412588.000000,87685719.000000,51092672.000000,,,9290.000000,56000000.000000,,,,,,-4916618.000000,51092672.000000,-96870310.000000,,,,,,,,,,3240423.000000,-68554395.000000,,,,,,,,,,-31556338.000000,,,,,,,,,-96870310.000000,41908081.000000,105380563.000000,147288644.000000
