Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,310021605121.000000,-131152033205.000000,178869571916.000000,-52289845805.000000,-20778003706.000000,-31511842099.000000,-52289845805.000000,126579726111.000000,-12073841463.000000,362048424.000000,-12441973518.000000,6083631.000000,-12073841463.000000,114505884648.000000,-28852565190.000000,85653319458.000000,,,,85653319458.000000,85653319458.000000,85653319458.000000,,,85653319458.000000,85653319458.000000,85653319458.000000,,,85653319458.000000
12M 2011,371904850005.000000,-114248450888.000000,257656399117.000000,-92560471577.000000,-2873754901.000000,-89686716676.000000,-92560471577.000000,165095927540.000000,-31760477143.000000,410974054.000000,-11249172539.000000,-20922278658.000000,-31760477143.000000,133335450397.000000,-34622044614.000000,98713405783.000000,,,,98713405783.000000,98713405783.000000,99350431247.000000,-637025464.000000,,98713405783.000000,98713405783.000000,99350431247.000000,-637025464.000000,,98713405783.000000
12M 2012,39505149.000000,-14496420.000000,25008729.000000,-16503054.000000,-826783.000000,-15676271.000000,-16503054.000000,8505675.000000,-1317265.000000,486715.000000,-1194268.000000,-609712.000000,-1317265.000000,7188410.000000,-1976573.000000,5211837.000000,-747796.000000,-747796.000000,-747796.000000,4464041.000000,5211837.000000,7476748.000000,-2264911.000000,,5211837.000000,4464041.000000,6729326.000000,-2265285.000000,,4464041.000000
12M 2013,42243986.000000,-15099133.000000,27144853.000000,-8707764.000000,-277663.000000,-8430101.000000,-8707764.000000,18437089.000000,-398443.000000,300601.000000,-1256652.000000,557608.000000,-398443.000000,18038646.000000,-5465596.000000,12573050.000000,,,,12573050.000000,12573050.000000,13254373.000000,-681323.000000,,12573050.000000,12573050.000000,13254373.000000,-681323.000000,,12573050.000000
12M 2014,39933037.000000,-14630624.000000,25302413.000000,-9873083.000000,-331511.000000,-9541572.000000,-9873083.000000,15429330.000000,-1919137.000000,291775.000000,-1684728.000000,-526184.000000,-1919137.000000,13510193.000000,-3191910.000000,10318283.000000,,,,10318283.000000,10318283.000000,10789194.000000,-470911.000000,,10318283.000000,10318283.000000,10789194.000000,-470911.000000,,10318283.000000
12M 2015,40500314.000000,-23419135.000000,17081179.000000,-8344085.000000,-224129.000000,-8119956.000000,-8344085.000000,8737094.000000,-1918504.000000,38648.000000,-2302911.000000,345759.000000,-1918504.000000,6818590.000000,-1947846.000000,4870744.000000,8420037.000000,8420037.000000,8420037.000000,13290781.000000,4870744.000000,5243442.000000,-372698.000000,,4870744.000000,13290781.000000,13663479.000000,-372698.000000,,13290781.000000
12M 2016,29081280.000000,-19220634.000000,9860646.000000,-6443741.000000,-59438.000000,-6384303.000000,-6443741.000000,3416905.000000,-3172020.000000,185755.000000,-3904583.000000,546808.000000,-3172020.000000,244885.000000,-90391.000000,154494.000000,8496455.000000,8496455.000000,8496455.000000,8650949.000000,154494.000000,276139.000000,-121645.000000,,154494.000000,8650949.000000,5373872.000000,3277077.000000,,8650949.000000
12M 2017,33704104.000000,-17506812.000000,16197292.000000,-7577933.000000,-45032.000000,-7532901.000000,-7577933.000000,8619359.000000,-4366887.000000,448501.000000,-4696174.000000,-119214.000000,-4366887.000000,4252472.000000,-2061215.000000,2191257.000000,-1034096.000000,-1034096.000000,-1034096.000000,1157161.000000,2191257.000000,2557643.000000,-366386.000000,,2191257.000000,1157162.000000,1897715.000000,-740553.000000,,1157162.000000
12M 2018,148041610.000000,-84946798.000000,63094812.000000,-14006072.000000,-100281.000000,-13905791.000000,-14006072.000000,49088740.000000,-24665389.000000,958890.000000,-23208241.000000,-2416038.000000,-24665389.000000,24423351.000000,27689771.000000,52113122.000000,1196248.000000,1196248.000000,1196248.000000,53309370.000000,52113122.000000,41412428.000000,10700694.000000,,52113122.000000,53309370.000000,42262443.000000,11046927.000000,,53309370.000000
12M 2019,221911797.000000,-181712044.000000,40199753.000000,-17196640.000000,-257152.000000,-16939488.000000,-17196640.000000,23003113.000000,-34535329.000000,3306975.000000,-38955504.000000,1113200.000000,-34535329.000000,-11532216.000000,12122159.000000,589943.000000,-5737830.000000,-5737830.000000,-5737830.000000,-5147887.000000,589943.000000,2637947.000000,-2048004.000000,,589943.000000,-5147887.000000,-897090.000000,-4250797.000000,,-5147887.000000
12M 2020,175514454.000000,-166137330.000000,9377124.000000,-16543675.000000,-2234089.000000,-14309586.000000,-16543675.000000,-7166551.000000,-32253874.000000,1102285.000000,-35477170.000000,2121011.000000,-32253874.000000,-39420425.000000,5851732.000000,-33568693.000000,13616908.000000,13616908.000000,13616908.000000,-19951785.000000,-33568693.000000,-19126416.000000,-14442277.000000,,-33568693.000000,-19951785.000000,-4048496.000000,-15903289.000000,,-19951785.000000
