Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,1895335.22,0.00,1895335.22,63 B,2 B,65 B,(47 B),68 B
12M 2011,0.00,238.65,-0.00,-125.70,173 B,270 B,443 B,255 B,12 B
12M 2012,6.45,472.15,12.53,243.10,58 B,163 B,221 B,17 B,149 B
12M 2013,2.41,972.61,3.30,709.95,78 B,177 B,255 B,(183 B),376 B
12M 2014,2.64,1114.02,3.48,846.12,106 B,293 B,398 B,259 B,123 B
12M 2015,1.01,1602.55,1.24,1305.49,23 B,730 B,754 B,598 B,346 B
12M 2016,1.10,1440.13,1.38,1150.80,57 B,"5,375 B","5,432 B","4,211 B","1,038 B"
12M 2017,1.48,145.98,1.85,116.71,398 B,"6,487 B","6,885 B","6,346 B",(566 B)
12M 2018,1.62,198.34,1.85,174.27,"1,095 B","7,011 B","8,107 B","6,581 B",798 B
12M 2019,1.47,182.22,1.68,159.19,953 B,"5,979 B","6,932 B","4,884 B","1,507 B"
12M 2020,1.19,176.87,1.35,155.54,"1,120 B","5,276 B","6,396 B","5,356 B",120 B
12M 2021,2.72,194.61,3.06,173.02,983 B,"5,768 B","6,751 B","5,597 B",860 B
12M 2022,2.61,350.84,2.80,327.25,"1,442 B","2,764 B","4,206 B","1,906 B","2,350 B"
12M 2023,1.56,339.90,1.66,318.67,"1,635 B",848 B,"2,483 B",967 B,837 B
12M 2024,2.07,390.72,2.20,368.51,"1,231 B",259 B,"1,490 B","(1,054 B)","2,034 B"
