Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Utang Bank Jangka Pendek,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Lembaga Keuangan Lain,Obligasi Konversi,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Lembaga Keuangan Lain,Obligasi Konversi,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,112126849924.000000,64478530589.000000,,,64478530589.000000,2680800987.000000,,,2680800987.000000,8646236369.000000,897829071.000000,188830246940.000000,,121419071400.000000,614060110.000000,,166360000.000000,122199491510.000000,311029738450.000000,,,120968498874.000000,,6067023440.000000,,6067023440.000000,1285044062.000000,,,1285044062.000000,11116153060.000000,,39859702182.000000,,,,,,,,62640576130.000000,,120968498874.000000,2423053166.000000,,,,,2423053166.000000,,2423053166.000000,,,2423053166.000000,123391552040.000000,,9900000000.000000,,177738186410.000000,,,177738186410.000000,,,187638186410.000000,311029738450.000000,99000.000000
12M 2011,,,188264347906.000000,19346296527.000000,,,19346296527.000000,1507801433.000000,,,1507801433.000000,11491661962.000000,1986834410.000000,222596942238.000000,,218864028093.000000,1183275246.000000,200393028542.000000,12927625847.000000,433367957728.000000,655964899966.000000,,,210655700604.000000,,4016003050.000000,,4016003050.000000,6989006679.000000,,,6989006679.000000,16801019225.000000,,10207484150.000000,,72544000000.000000,,100098187500.000000,,,172642187500.000000,,,210655700604.000000,270152254706.000000,,265973480000.000000,,,4178774706.000000,,270152254706.000000,,,270152254706.000000,480807955310.000000,,55000000000.000000,,76255617657.000000,,,76255617657.000000,43901326999.000000,,175156944656.000000,655964899966.000000,550000000.000000
12M 2012,,,21098670.000000,4512207.000000,,,4512207.000000,293142.000000,,,293142.000000,895427.000000,881433.000000,27680879.000000,,24625114.000000,2162520.000000,23687119.000000,2793462.000000,53268215.000000,80949094.000000,,,12317533.000000,,2853967.000000,,2853967.000000,102617.000000,,,102617.000000,673075.000000,,2727874.000000,,5960000.000000,,,,,5960000.000000,,,12317533.000000,16872557.000000,,16110000.000000,,,762557.000000,,16872557.000000,,,16872557.000000,29190090.000000,,11167691.000000,21460807.000000,17710453.000000,,,17710453.000000,2932410.000000,-1512357.000000,51759004.000000,80949094.000000,1000000000.000000
12M 2013,,,35895616.000000,5013394.000000,,,5013394.000000,606814.000000,,,606814.000000,910047.000000,2206585.000000,44632456.000000,,41584429.000000,2083424.000000,23687119.000000,6290297.000000,73645269.000000,118277725.000000,,,13778474.000000,,1645102.000000,,1645102.000000,728967.000000,,,728967.000000,1702455.000000,,3333280.000000,,6368670.000000,,,,,6368670.000000,,,13778474.000000,14538997.000000,,13644043.000000,,,894954.000000,,14538997.000000,,,14538997.000000,28317471.000000,,12022392.000000,46234306.000000,30964826.000000,,,30964826.000000,2251087.000000,-1512357.000000,89960254.000000,118277725.000000,1100000000.000000
12M 2014,,,11237044.000000,8491895.000000,,,8491895.000000,604400.000000,,,604400.000000,977343.000000,4591162.000000,25901844.000000,,63213811.000000,2448157.000000,23687119.000000,24577732.000000,113926819.000000,139828663.000000,,,16015933.000000,,1222188.000000,390660.000000,1612848.000000,,,,,455173.000000,,5457594.000000,,8490318.000000,,,,,8490318.000000,,,16015933.000000,23534193.000000,,22428483.000000,,,1105710.000000,,23534193.000000,,,23534193.000000,39550126.000000,,12022392.000000,46234306.000000,41754020.000000,,,41754020.000000,1780176.000000,-1512357.000000,100278537.000000,139828663.000000,1100000000.000000
12M 2015,,,11279919.000000,7714397.000000,,,7714397.000000,168533.000000,,,168533.000000,1015961.000000,46739263.000000,66918073.000000,,86662441.000000,2717448.000000,23687119.000000,97860851.000000,210927859.000000,277845932.000000,,,41826727.000000,,1087594.000000,16549286.000000,17636880.000000,,,,,786180.000000,,21702684.000000,,1700983.000000,,,,,1700983.000000,,,41826727.000000,52929012.000000,,51861775.000000,,,1067237.000000,,52929012.000000,,,52929012.000000,94755739.000000,,12022392.000000,46234306.000000,46821485.000000,,,46821485.000000,55304310.000000,22707700.000000,183090193.000000,277845932.000000,1100000000.000000
12M 2016,,,90868317.000000,7658361.000000,,,7658361.000000,155072.000000,,,155072.000000,1011964.000000,35082504.000000,134776218.000000,,110515090.000000,2878492.000000,23687119.000000,397360589.000000,534441290.000000,669217508.000000,,,57525282.000000,,2061856.000000,660360.000000,2722216.000000,,,,,934314.000000,,5002284.000000,,4270741.000000,,,,,4270741.000000,,44595727.000000,57525282.000000,401424285.000000,,74946400.000000,325061168.000000,,,,400007568.000000,,1416717.000000,401424285.000000,458949567.000000,,12022392.000000,46234306.000000,47097624.000000,,,47097624.000000,92365378.000000,12548241.000000,210267941.000000,669217508.000000,1100000000.000000
12M 2017,,,39815266.000000,10587296.000000,,,10587296.000000,119762.000000,,,119762.000000,2744419.000000,33527354.000000,86794097.000000,,159483466.000000,1465115.000000,23766689.000000,549284942.000000,734000212.000000,820794309.000000,,,128552668.000000,,,3597825.000000,3597825.000000,8620360.000000,,,8620360.000000,994131.000000,,9527287.000000,,5867676.000000,23498806.000000,,,,29366482.000000,,76446583.000000,128552668.000000,480543559.000000,,84956667.000000,393874023.000000,,,,478830690.000000,,1712869.000000,480543559.000000,609096227.000000,,12022392.000000,46234306.000000,50534177.000000,,,50534177.000000,93174059.000000,9733148.000000,211698082.000000,820794309.000000,11000000000.000000
12M 2018,,,105380563.000000,20682028.000000,,,20682028.000000,62597.000000,,62597.000000,62597.000000,8080808.000000,35960781.000000,170166777.000000,,687631038.000000,34464074.000000,23766689.000000,8495187.000000,754356988.000000,924523765.000000,,,115050558.000000,,,11282180.000000,11282180.000000,,,,,2588742.000000,10000000.000000,1928576.000000,,23808777.000000,41837019.000000,,,,65645796.000000,,23605264.000000,115050558.000000,485748030.000000,,50322447.000000,433839918.000000,,,,484162365.000000,,1585665.000000,485748030.000000,600798588.000000,,14440441.000000,78886551.000000,92386060.000000,,,92386060.000000,127868417.000000,10143708.000000,323725177.000000,924523765.000000,14300000000.000000
12M 2019,,,147288644.000000,12885592.000000,,,12885592.000000,90570.000000,,90570.000000,90570.000000,15138916.000000,15060510.000000,190464232.000000,,642912419.000000,37600179.000000,23687119.000000,648475.000000,704848192.000000,895312424.000000,,,82084677.000000,,260225.000000,11576810.000000,11837035.000000,114968.000000,,,114968.000000,360126.000000,5663506.000000,1211777.000000,,10000000.000000,52897265.000000,,,,62897265.000000,,,82084677.000000,504791130.000000,,38755044.000000,391330759.000000,,,,430085803.000000,,74705327.000000,504791130.000000,586875807.000000,,14440441.000000,78886551.000000,90220931.000000,,,90220931.000000,120985292.000000,3903402.000000,308436617.000000,895312424.000000,14300000000.000000
