Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,5384640000000.000000,5384640000000.000000,5384640000000.000000,-2846923000000.000000,2537717000000.000000,-1964977000000.000000,-1403817000000.000000,-561160000000.000000,-1964977000000.000000,572740000000.000000,-268169000000.000000,-292407000000.000000,90361000000.000000,-559601000000.000000,-540000000.000000,494018000000.000000,-268169000000.000000,304571000000.000000,40312000000.000000,344883000000.000000,80866000000.000000,425749000000.000000,,,,,425749000000.000000,344883000000.000000,80866000000.000000,,425749000000.000000,,,,,
12M 2009,5034905000000.000000,5034905000000.000000,5034905000000.000000,-2612963000000.000000,2421942000000.000000,-1712037000000.000000,-1291835000000.000000,-420202000000.000000,-1712037000000.000000,709905000000.000000,-119021000000.000000,374447000000.000000,36834000000.000000,-341843000000.000000,428000000.000000,-188887000000.000000,-119021000000.000000,590884000000.000000,-259422000000.000000,331462000000.000000,-174254000000.000000,157208000000.000000,,,,,157208000000.000000,331462000000.000000,-174254000000.000000,,157208000000.000000,,,,,
12M 2010,6326514000000.000000,6326514000000.000000,6326514000000.000000,-3161505000000.000000,3165009000000.000000,-1685126000000.000000,-1179245000000.000000,-505881000000.000000,-1685126000000.000000,1479883000000.000000,-284284000000.000000,90812000000.000000,36270000000.000000,-332388000000.000000,-93000000.000000,-78885000000.000000,-284284000000.000000,1195599000000.000000,-345087000000.000000,850512000000.000000,-271647000000.000000,578865000000.000000,,,,,578865000000.000000,850512000000.000000,-271647000000.000000,,578865000000.000000,,,,,
12M 2011,7162935000000.000000,7162935000000.000000,7162935000000.000000,-3919690000000.000000,3243245000000.000000,-1313179000000.000000,-1313179000000.000000,,-1313179000000.000000,1930066000000.000000,-333531000000.000000,,44931000000.000000,-372916000000.000000,,-5546000000.000000,-333531000000.000000,1596535000000.000000,-432765000000.000000,1163770000000.000000,,1163770000000.000000,26723000000.000000,26723000000.000000,26723000000.000000,1190493000000.000000,1163770000000.000000,779363000000.000000,384407000000.000000,,1163770000000.000000,1190493000000.000000,796711000000.000000,393782000000.000000,,1190493000000.000000
12M 2012,8925419000000.000000,8925419000000.000000,8925419000000.000000,-4753060000000.000000,4172359000000.000000,-1527054000000.000000,-1527054000000.000000,,-1527054000000.000000,2645305000000.000000,-83914000000.000000,,36172000000.000000,-326137000000.000000,,206051000000.000000,-83914000000.000000,2561391000000.000000,-567902000000.000000,1993489000000.000000,,1993489000000.000000,74730000000.000000,74730000000.000000,74730000000.000000,2068219000000.000000,1993489000000.000000,1299085000000.000000,694404000000.000000,,1993489000000.000000,2068219000000.000000,1369492000000.000000,698727000000.000000,,2068219000000.000000
12M 2013,10019977000000.000000,10019977000000.000000,10019977000000.000000,-5486919000000.000000,4533058000000.000000,-1675758000000.000000,-1675758000000.000000,,-1675758000000.000000,2857300000000.000000,-1345837000000.000000,-760164000000.000000,41895000000.000000,-571644000000.000000,,-55924000000.000000,-1345837000000.000000,1511463000000.000000,-481817000000.000000,1029646000000.000000,,1029646000000.000000,71973000000.000000,71973000000.000000,71973000000.000000,1101619000000.000000,1029646000000.000000,620395000000.000000,409251000000.000000,,1029646000000.000000,1101619000000.000000,692368000000.000000,409251000000.000000,,1101619000000.000000
12M 2014,10657152000000.000000,10657152000000.000000,10657152000000.000000,-6131982000000.000000,4525170000000.000000,-1848082000000.000000,-1848082000000.000000,,-1848082000000.000000,2677088000000.000000,-759541000000.000000,-246392000000.000000,103872000000.000000,-376638000000.000000,,-240383000000.000000,-759541000000.000000,1917547000000.000000,-627539000000.000000,1290008000000.000000,,1290008000000.000000,-95802000000.000000,-95802000000.000000,-95802000000.000000,1194206000000.000000,1290008000000.000000,704981000000.000000,585027000000.000000,,1290008000000.000000,1194206000000.000000,609179000000.000000,585027000000.000000,,1194206000000.000000
12M 2015,10572834000000.000000,10572834000000.000000,10572834000000.000000,-6551292000000.000000,4021542000000.000000,-1971136000000.000000,-1971136000000.000000,,-1971136000000.000000,2050406000000.000000,-1435788000000.000000,-861575000000.000000,76303000000.000000,-559781000000.000000,,-90735000000.000000,-1435788000000.000000,614618000000.000000,-331179000000.000000,283439000000.000000,,283439000000.000000,-31483000000.000000,-31483000000.000000,-31483000000.000000,251956000000.000000,283439000000.000000,52178000000.000000,231261000000.000000,,283439000000.000000,251956000000.000000,7522000000.000000,244434000000.000000,,251956000000.000000
12M 2016,10459641000000.000000,10459641000000.000000,10459641000000.000000,-6239894000000.000000,4219747000000.000000,-2174514000000.000000,-2174514000000.000000,,-2174514000000.000000,2045233000000.000000,-633058000000.000000,220588000000.000000,44190000000.000000,-580847000000.000000,,-316989000000.000000,-633058000000.000000,1412175000000.000000,-625635000000.000000,786540000000.000000,,786540000000.000000,64450000000.000000,64450000000.000000,64450000000.000000,850990000000.000000,786540000000.000000,203902000000.000000,582638000000.000000,,786540000000.000000,850990000000.000000,267383000000.000000,583607000000.000000,,850990000000.000000
12M 2017,10829450000000.000000,10829450000000.000000,10829450000000.000000,-5546706000000.000000,5282744000000.000000,-2435217000000.000000,-2435217000000.000000,,-2435217000000.000000,2847527000000.000000,-821458000000.000000,-120789000000.000000,38076000000.000000,-761905000000.000000,,23160000000.000000,-821458000000.000000,2026069000000.000000,-971944000000.000000,1054125000000.000000,,1054125000000.000000,-119355000000.000000,-119355000000.000000,-119355000000.000000,934770000000.000000,1054125000000.000000,493835000000.000000,560290000000.000000,,1054125000000.000000,934770000000.000000,376199000000.000000,558571000000.000000,,934770000000.000000
12M 2018,11695216000000.000000,11695216000000.000000,11695216000000.000000,-6047931000000.000000,5647285000000.000000,-2416363000000.000000,-2416363000000.000000,,-2416363000000.000000,3230922000000.000000,-1448178000000.000000,-554974000000.000000,37660000000.000000,-924571000000.000000,,-6293000000.000000,-1448178000000.000000,1782744000000.000000,-431264000000.000000,1351480000000.000000,,1351480000000.000000,3519000000.000000,3519000000.000000,3519000000.000000,1354999000000.000000,1351480000000.000000,826633000000.000000,524847000000.000000,,1351480000000.000000,1354999000000.000000,833249000000.000000,521750000000.000000,,1354999000000.000000
12M 2019,12936503000000.000000,12936503000000.000000,12936503000000.000000,-6618844000000.000000,6317659000000.000000,-2611199000000.000000,-2611199000000.000000,,-2611199000000.000000,3706460000000.000000,-798828000000.000000,211138000000.000000,42185000000.000000,-1029232000000.000000,,-22919000000.000000,-798828000000.000000,2907632000000.000000,-590195000000.000000,2317437000000.000000,,2317437000000.000000,7193000000.000000,7193000000.000000,7193000000.000000,2324630000000.000000,2317437000000.000000,1403735000000.000000,913702000000.000000,,2317437000000.000000,2324630000000.000000,1412424000000.000000,912206000000.000000,,2324630000000.000000
12M 2020,12064088000000.000000,,12064088000000.000000,-6185336000000.000000,5878752000000.000000,-2609824000000.000000,-2609824000000.000000,,-2609824000000.000000,3268928000000.000000,-1044643000000.000000,-144787000000.000000,32418000000.000000,-930957000000.000000,,-1317000000.000000,-1044643000000.000000,2224285000000.000000,-423256000000.000000,1801029000000.000000,,1801029000000.000000,33830000000.000000,33830000000.000000,33830000000.000000,1834859000000.000000,1801029000000.000000,912737000000.000000,888292000000.000000,,1801029000000.000000,1834859000000.000000,945038000000.000000,889821000000.000000,,1834859000000.000000
12M 2021,13976648000000.000000,,13976648000000.000000,-7393357000000.000000,6583291000000.000000,-2697474000000.000000,-2697474000000.000000,,-2697474000000.000000,3885817000000.000000,-828971000000.000000,-43774000000.000000,43070000000.000000,-826765000000.000000,,-1502000000.000000,-828971000000.000000,3056846000000.000000,-605707000000.000000,2451139000000.000000,,2451139000000.000000,-51311000000.000000,,-51311000000.000000,2399828000000.000000,2451139000000.000000,1389130000000.000000,1062009000000.000000,,2451139000000.000000,2399828000000.000000,1349391000000.000000,1050437000000.000000,,2399828000000.000000
12M 2022,12233495000000.000000,,12233495000000.000000,-6414757000000.000000,5818738000000.000000,-2534460000000.000000,-2534460000000.000000,,-2534460000000.000000,3284278000000.000000,-725254000000.000000,-192567000000.000000,54974000000.000000,-586225000000.000000,,-1436000000.000000,-725254000000.000000,2559024000000.000000,-498168000000.000000,2060856000000.000000,,2060856000000.000000,-2314000000.000000,,-2314000000.000000,2058542000000.000000,2060856000000.000000,1177370000000.000000,883486000000.000000,,2060856000000.000000,2058542000000.000000,1181185000000.000000,877357000000.000000,,2058542000000.000000
12M 2023,10163157000000.000000,,10163157000000.000000,-6175305000000.000000,3987852000000.000000,-2425012000000.000000,-2425012000000.000000,,-2425012000000.000000,1562840000000.000000,-476160000000.000000,1371000000.000000,54748000000.000000,-767430000000.000000,,235151000000.000000,-476160000000.000000,1086680000000.000000,-18938000000.000000,1067742000000.000000,,1067742000000.000000,-12626000000.000000,,-12626000000.000000,1055116000000.000000,1067742000000.000000,677552000000.000000,390190000000.000000,,1067742000000.000000,1055116000000.000000,664926000000.000000,390190000000.000000,,1055116000000.000000
12M 2024,10059317000000.000000,,10059317000000.000000,-6019583000000.000000,4039734000000.000000,-2299985000000.000000,-2299985000000.000000,,-2299985000000.000000,1739749000000.000000,-699147000000.000000,-16948000000.000000,52479000000.000000,-799686000000.000000,,65008000000.000000,-699147000000.000000,1040602000000.000000,-123382000000.000000,917220000000.000000,,917220000000.000000,1262000000.000000,,1262000000.000000,918482000000.000000,917220000000.000000,537399000000.000000,379821000000.000000,,917220000000.000000,918482000000.000000,538661000000.000000,379821000000.000000,,918482000000.000000
