Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Goodwill,Aset Tak Berwujud,Tanah Untuk Dikembangkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Surat Berharga Jangka Menengah,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Sukuk Ijarah,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Utang Sukuk,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1390696000000.000000,,,1390696000000.000000,1327253000000.000000,1695592000000.000000,108595000000.000000,1586997000000.000000,1695592000000.000000,321696000000.000000,,,321696000000.000000,1064289000000.000000,312483000000.000000,6112009000000.000000,,7459000000.000000,,,7459000000.000000,148039000000.000000,5701000000.000000,130588000000.000000,1658073000000.000000,1902604000000.000000,,,3755893000000.000000,7608357000000.000000,13720366000000.000000,,,1858419000000.000000,279013000000.000000,,,65603000000.000000,654589000000.000000,720192000000.000000,77355000000.000000,,,77355000000.000000,225031000000.000000,352746000000.000000,,59575000000.000000,7481000000.000000,,,67056000000.000000,137026000000.000000,1858419000000.000000,2607134000000.000000,31491000000.000000,671000000.000000,,941375000000.000000,9982000000.000000,1511551000000.000000,,2462908000000.000000,,,,,112064000000.000000,,2607134000000.000000,4465553000000.000000,,1375710000000.000000,866722000000.000000,3293185000000.000000,1000000000.000000,3292185000000.000000,3293185000000.000000,2217149000000.000000,1502047000000.000000,9254813000000.000000,13720366000000.000000,13757104550.000000
12M 2009,,,1276332000000.000000,,,1276332000000.000000,1025429000000.000000,1758318000000.000000,63408000000.000000,1694910000000.000000,1758318000000.000000,317952000000.000000,,,317952000000.000000,1131998000000.000000,475497000000.000000,5985526000000.000000,,4767000000.000000,,,4767000000.000000,115732000000.000000,6129000000.000000,186672000000.000000,1769444000000.000000,1708168000000.000000,,,3704751000000.000000,7495663000000.000000,13481189000000.000000,,,1952037000000.000000,344631000000.000000,,,14130000000.000000,679002000000.000000,693132000000.000000,89186000000.000000,,,89186000000.000000,303893000000.000000,332892000000.000000,,61287000000.000000,6491000000.000000,,,67778000000.000000,120525000000.000000,1952037000000.000000,2293188000000.000000,76801000000.000000,1633000000.000000,,763189000000.000000,5732000000.000000,1311368000000.000000,,2080289000000.000000,,,,,134465000000.000000,,2293188000000.000000,4245225000000.000000,,1376290000000.000000,869549000000.000000,3402240000000.000000,1000000000.000000,3401240000000.000000,3402240000000.000000,2185341000000.000000,1402544000000.000000,9235964000000.000000,13481189000000.000000,13762899550.000000
12M 2010,,,1141628000000.000000,,,1141628000000.000000,802250000000.000000,2141436000000.000000,25955000000.000000,2115481000000.000000,2141436000000.000000,312468000000.000000,,,312468000000.000000,1106101000000.000000,433394000000.000000,5937277000000.000000,,67274000000.000000,,,67274000000.000000,92357000000.000000,4993000000.000000,154909000000.000000,2793271000000.000000,1687001000000.000000,,,2222860000000.000000,7022665000000.000000,12959942000000.000000,,,3197581000000.000000,347639000000.000000,,,8706000000.000000,568008000000.000000,576714000000.000000,194089000000.000000,,,194089000000.000000,350824000000.000000,275580000000.000000,,8140000000.000000,1271552000000.000000,,,1279692000000.000000,173043000000.000000,3197581000000.000000,1547624000000.000000,120123000000.000000,956000000.000000,,22910000000.000000,11298000000.000000,1245604000000.000000,,1279812000000.000000,,,,,146733000000.000000,,1547624000000.000000,4745205000000.000000,,1377021000000.000000,870646000000.000000,3912989000000.000000,2000000000.000000,3910989000000.000000,3912989000000.000000,832998000000.000000,1221083000000.000000,8214737000000.000000,12959942000000.000000,13770214550.000000
12M 2011,,,896428000000.000000,,,896428000000.000000,,2537144000000.000000,35551000000.000000,2501593000000.000000,2537144000000.000000,306423000000.000000,,,306423000000.000000,1041615000000.000000,1803329000000.000000,6584939000000.000000,,82969000000.000000,,,82969000000.000000,86385000000.000000,4329000000.000000,131521000000.000000,2905092000000.000000,3098925000000.000000,,,2217443000000.000000,8526664000000.000000,15111603000000.000000,,,1984770000000.000000,212917000000.000000,,,7641000000.000000,845307000000.000000,852948000000.000000,75396000000.000000,,,75396000000.000000,333220000000.000000,309906000000.000000,,103103000000.000000,12100000000.000000,,,115203000000.000000,85180000000.000000,1984770000000.000000,2311045000000.000000,125843000000.000000,46000000.000000,,588609000000.000000,14381000000.000000,1447957000000.000000,,2050947000000.000000,,,,,134209000000.000000,,2311045000000.000000,4295815000000.000000,,1384628000000.000000,907629000000.000000,4556723000000.000000,3000000000.000000,4553723000000.000000,4556723000000.000000,2791879000000.000000,1174929000000.000000,10815788000000.000000,15111603000000.000000,13846275550.000000
12M 2012,,,952529000000.000000,,,952529000000.000000,,2894074000000.000000,45959000000.000000,2848115000000.000000,2894074000000.000000,219883000000.000000,,,219883000000.000000,1636122000000.000000,5078475000000.000000,10781083000000.000000,,96010000000.000000,,,96010000000.000000,68126000000.000000,2908000000.000000,16178000000.000000,3734879000000.000000,3005937000000.000000,,,2290405000000.000000,9214443000000.000000,19995526000000.000000,,,2481608000000.000000,138213000000.000000,,,26812000000.000000,1144999000000.000000,1171811000000.000000,85237000000.000000,,,85237000000.000000,263433000000.000000,351552000000.000000,,392614000000.000000,13670000000.000000,,,406284000000.000000,65078000000.000000,2481608000000.000000,3218162000000.000000,128860000000.000000,2000000000.000000,,264905000000.000000,19684000000.000000,2631645000000.000000,,2916234000000.000000,,,,,171068000000.000000,,3218162000000.000000,5699770000000.000000,,1396796000000.000000,1303350000000.000000,5670496000000.000000,4000000000.000000,5666496000000.000000,5670496000000.000000,3784628000000.000000,2140486000000.000000,14295756000000.000000,19995526000000.000000,13967961050.000000
12M 2013,,,1529588000000.000000,,,1529588000000.000000,,3138685000000.000000,178940000000.000000,2959745000000.000000,3138685000000.000000,437518000000.000000,,,437518000000.000000,1803445000000.000000,2839711000000.000000,9748947000000.000000,,54338000000.000000,,,54338000000.000000,101199000000.000000,48976000000.000000,14641000000.000000,4906183000000.000000,2932836000000.000000,,,3262351000000.000000,11320524000000.000000,21069471000000.000000,,,3681058000000.000000,167753000000.000000,,,20724000000.000000,1536473000000.000000,1557197000000.000000,871399000000.000000,,,871399000000.000000,305060000000.000000,289721000000.000000,,339990000000.000000,15931000000.000000,,,355921000000.000000,134007000000.000000,3681058000000.000000,4035376000000.000000,13814000000.000000,3895000000.000000,,2939242000000.000000,15811000000.000000,855671000000.000000,,3810724000000.000000,,,,,206943000000.000000,,4035376000000.000000,7716434000000.000000,,1405270000000.000000,1642484000000.000000,5956634000000.000000,5000000000.000000,5951634000000.000000,5956634000000.000000,4073564000000.000000,275085000000.000000,13353037000000.000000,21069471000000.000000,14052702050.000000
12M 2014,,,1485421000000.000000,,,1485421000000.000000,,3349655000000.000000,152226000000.000000,3197429000000.000000,3349655000000.000000,267649000000.000000,,,267649000000.000000,2038756000000.000000,3557620000000.000000,10699101000000.000000,,38505000000.000000,31305000000.000000,7200000000.000000,38505000000.000000,157238000000.000000,104000000.000000,13822000000.000000,6299156000000.000000,2851507000000.000000,,,5305778000000.000000,14666110000000.000000,25365211000000.000000,,,2563631000000.000000,229142000000.000000,,,46678000000.000000,1127200000000.000000,1173878000000.000000,132132000000.000000,,,132132000000.000000,278882000000.000000,301229000000.000000,,21260000000.000000,13313000000.000000,249379000000.000000,,283952000000.000000,164416000000.000000,2563631000000.000000,6927055000000.000000,24143000000.000000,7956000000.000000,,6078115000000.000000,11804000000.000000,569094000000.000000,,6659013000000.000000,,,,,235943000000.000000,,6927055000000.000000,9490686000000.000000,,1419861000000.000000,1924884000000.000000,6313752000000.000000,6000000000.000000,6307752000000.000000,6313752000000.000000,4602811000000.000000,1613217000000.000000,15874525000000.000000,25365211000000.000000,14198613922.000000
12M 2015,,,631409000000.000000,326448000000.000000,304961000000.000000,631409000000.000000,,3455383000000.000000,139536000000.000000,3315847000000.000000,3455383000000.000000,457159000000.000000,,,457159000000.000000,1911910000000.000000,3444151000000.000000,9900012000000.000000,,33029000000.000000,2545000000.000000,30484000000.000000,33029000000.000000,460953000000.000000,70809000000.000000,10008000000.000000,7949132000000.000000,2995191000000.000000,976903000000.000000,,4096142000000.000000,16592167000000.000000,26492179000000.000000,,,6467083000000.000000,272056000000.000000,,,86214000000.000000,1522910000000.000000,1609124000000.000000,,8358000000.000000,499576000000.000000,507934000000.000000,223565000000.000000,267137000000.000000,,3379121000000.000000,20476000000.000000,,,3399597000000.000000,187670000000.000000,6467083000000.000000,4730484000000.000000,27158000000.000000,1961000000.000000,,3654073000000.000000,68103000000.000000,751775000000.000000,,4473951000000.000000,,,,,914000000.000000,226500000000.000000,4730484000000.000000,11197567000000.000000,,1419861000000.000000,1924884000000.000000,6039306000000.000000,7000000000.000000,6032306000000.000000,6039306000000.000000,4643279000000.000000,1267282000000.000000,15294612000000.000000,26492179000000.000000,14198613922.000000
12M 2016,,,816140000000.000000,483523000000.000000,332617000000.000000,816140000000.000000,,3114346000000.000000,54773000000.000000,3059573000000.000000,3114346000000.000000,158392000000.000000,,,158392000000.000000,2180567000000.000000,2418423000000.000000,8687868000000.000000,,91159000000.000000,145000000.000000,91014000000.000000,91159000000.000000,531096000000.000000,65889000000.000000,15731000000.000000,8551320000000.000000,2962532000000.000000,846357000000.000000,,2872479000000.000000,15936563000000.000000,24624431000000.000000,,,7338634000000.000000,629580000000.000000,,,88624000000.000000,1061684000000.000000,1150308000000.000000,,42173000000.000000,379779000000.000000,421952000000.000000,212054000000.000000,238626000000.000000,,3507368000000.000000,39416000000.000000,999577000000.000000,,4546361000000.000000,139753000000.000000,7338634000000.000000,3373813000000.000000,23123000000.000000,,,2946445000000.000000,117790000000.000000,,,3064235000000.000000,,,,,1487000000.000000,284968000000.000000,3373813000000.000000,10712447000000.000000,,1419862000000.000000,1325523000000.000000,6171880000000.000000,8000000000.000000,6163880000000.000000,6171880000000.000000,4677585000000.000000,317134000000.000000,13911984000000.000000,24624431000000.000000,14198621422.000000
12M 2017,,,767389000000.000000,414042000000.000000,353347000000.000000,767389000000.000000,,3250118000000.000000,84609000000.000000,3165509000000.000000,3250118000000.000000,131126000000.000000,,,131126000000.000000,2925139000000.000000,2312051000000.000000,9385823000000.000000,,81827000000.000000,,81827000000.000000,81827000000.000000,226215000000.000000,70680000000.000000,15017000000.000000,11386096000000.000000,3465467000000.000000,788187000000.000000,,2275422000000.000000,18308911000000.000000,27694734000000.000000,,,4294191000000.000000,1001334000000.000000,,,43044000000.000000,1247057000000.000000,1290101000000.000000,,67037000000.000000,529802000000.000000,596839000000.000000,167470000000.000000,369100000000.000000,,746025000000.000000,25986000000.000000,,,772011000000.000000,97336000000.000000,4294191000000.000000,9274184000000.000000,27871000000.000000,,,7257141000000.000000,143897000000.000000,1084037000000.000000,397264000000.000000,8882339000000.000000,,292000000.000000,1863000000.000000,2155000000.000000,1442000000.000000,360377000000.000000,9274184000000.000000,13568375000000.000000,,1419862000000.000000,1331507000000.000000,6588210000000.000000,9000000000.000000,6579210000000.000000,6588210000000.000000,4880100000000.000000,-93320000000.000000,14126359000000.000000,27694734000000.000000,14198621422.000000
12M 2018,,,1023031000000.000000,712824000000.000000,310207000000.000000,1023031000000.000000,,3101565000000.000000,45274000000.000000,3056291000000.000000,3101565000000.000000,105995000000.000000,,,105995000000.000000,3249041000000.000000,1901145000000.000000,9380777000000.000000,,67063000000.000000,,67063000000.000000,67063000000.000000,420164000000.000000,72820000000.000000,11203000000.000000,12733856000000.000000,3470423000000.000000,701477000000.000000,,2110379000000.000000,19587385000000.000000,28968162000000.000000,,,6955570000000.000000,1144373000000.000000,450000000000.000000,,75511000000.000000,988235000000.000000,1063746000000.000000,,94742000000.000000,527397000000.000000,622139000000.000000,181243000000.000000,340385000000.000000,,3008810000000.000000,73658000000.000000,,,3082468000000.000000,71216000000.000000,6955570000000.000000,7710130000000.000000,57632000000.000000,,,5163429000000.000000,98742000000.000000,1636264000000.000000,397852000000.000000,7296287000000.000000,,1067000000.000000,,1067000000.000000,1432000000.000000,353712000000.000000,7710130000000.000000,14665700000000.000000,,1419862000000.000000,1331507000000.000000,7355631000000.000000,10000000000.000000,7345631000000.000000,7355631000000.000000,4804677000000.000000,-609215000000.000000,14302462000000.000000,28968162000000.000000,14198621422.000000
12M 2019,,,825755000000.000000,566781000000.000000,258974000000.000000,825755000000.000000,,3206249000000.000000,50613000000.000000,3155636000000.000000,3206249000000.000000,163861000000.000000,,,163861000000.000000,3212295000000.000000,1413975000000.000000,8822135000000.000000,,,,,,535006000000.000000,255695000000.000000,10488000000.000000,13556208000000.000000,3795284000000.000000,600987000000.000000,,2578990000000.000000,21332658000000.000000,30154793000000.000000,,,6436195000000.000000,1373947000000.000000,,,73919000000.000000,1148043000000.000000,1221962000000.000000,,24980000000.000000,504025000000.000000,529005000000.000000,168759000000.000000,325035000000.000000,,1784419000000.000000,59964000000.000000,774435000000.000000,149687000000.000000,2768505000000.000000,48982000000.000000,6436195000000.000000,6347192000000.000000,101324000000.000000,,,4754180000000.000000,25937000000.000000,845514000000.000000,248900000000.000000,5874531000000.000000,,,,,,371337000000.000000,6347192000000.000000,12783387000000.000000,,1533451000000.000000,1631383000000.000000,8756473000000.000000,11000000000.000000,8745473000000.000000,8756473000000.000000,6303255000000.000000,-853156000000.000000,17371406000000.000000,30154793000000.000000,15334511286.000000
12M 2020,,,904936000000.000000,708899000000.000000,196037000000.000000,904936000000.000000,,3379816000000.000000,39676000000.000000,3340140000000.000000,3379816000000.000000,287756000000.000000,138812000000.000000,148944000000.000000,287756000000.000000,3576769000000.000000,1709920000000.000000,9859197000000.000000,,,,,,648079000000.000000,186000000000.000000,9774000000.000000,14108866000000.000000,3802818000000.000000,1200628000000.000000,,2446198000000.000000,22402363000000.000000,32261560000000.000000,,,5275862000000.000000,1086663000000.000000,,,17326000000.000000,802041000000.000000,819367000000.000000,,16482000000.000000,491674000000.000000,508156000000.000000,121814000000.000000,145726000000.000000,,1887299000000.000000,46511000000.000000,327681000000.000000,294060000000.000000,2555551000000.000000,38585000000.000000,5275862000000.000000,6201377000000.000000,181465000000.000000,,,4231580000000.000000,28200000000.000000,1214590000000.000000,253141000000.000000,5727511000000.000000,,,,,,292401000000.000000,6201377000000.000000,11477239000000.000000,,1658400000000.000000,1801390000000.000000,9679598000000.000000,12000000000.000000,9667598000000.000000,9679598000000.000000,8548649000000.000000,-903716000000.000000,20784321000000.000000,32261560000000.000000,16583997586.000000
12M 2021,,,1365040000000.000000,792090000000.000000,572950000000.000000,1365040000000.000000,,3359182000000.000000,21488000000.000000,3337694000000.000000,3359182000000.000000,605237000000.000000,118762000000.000000,486475000000.000000,605237000000.000000,3771658000000.000000,1479128000000.000000,10580245000000.000000,,,,,,634098000000.000000,762023000000.000000,9059000000.000000,14113058000000.000000,3803237000000.000000,1612784000000.000000,92743000000.000000,2500908000000.000000,23527910000000.000000,34108155000000.000000,,,7524494000000.000000,901418000000.000000,,,16555000000.000000,839736000000.000000,856291000000.000000,,25543000000.000000,421610000000.000000,447153000000.000000,91817000000.000000,80623000000.000000,,3100205000000.000000,27978000000.000000,1468149000000.000000,505745000000.000000,5102077000000.000000,45115000000.000000,7524494000000.000000,2705555000000.000000,179894000000.000000,,,1775756000000.000000,26458000000.000000,441278000000.000000,44858000000.000000,2288350000000.000000,,,,,,237311000000.000000,2705555000000.000000,10230049000000.000000,,1658400000000.000000,1801390000000.000000,11055535000000.000000,13000000000.000000,11042535000000.000000,11055535000000.000000,10433533000000.000000,-1070752000000.000000,23878106000000.000000,34108155000000.000000,16583997586.000000
