Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.35,511.57,0.48,373.27,346 B,"2,576 B","2,922 B","1,531 B","4,254 B"
12M 2009,0.41,512.29,0.54,388.18,412 B,"2,216 B","2,629 B","1,352 B","4,033 B"
12M 2010,1.21,536.07,1.57,413.55,"1,627 B","1,428 B","3,055 B","1,913 B","2,740 B"
12M 2011,1.71,579.50,2.78,355.69,328 B,"2,185 B","2,513 B","1,617 B","4,600 B"
12M 2012,3.19,752.52,4.47,537.31,544 B,"3,089 B","3,634 B","2,681 B","8,299 B"
12M 2013,2.88,660.33,4.21,451.63,524 B,"4,022 B","4,545 B","3,016 B","6,068 B"
12M 2014,1.80,793.86,2.40,593.03,513 B,"6,903 B","7,416 B","5,931 B","8,135 B"
12M 2015,1.47,750.17,2.34,470.41,"3,672 B","4,477 B","8,148 B","7,516 B","3,433 B"
12M 2016,0.95,650.37,1.61,382.12,"5,176 B","3,066 B","8,242 B","7,426 B","1,349 B"
12M 2017,0.91,651.21,1.68,351.63,"1,773 B","8,884 B","10,657 B","9,890 B","5,092 B"
12M 2018,0.36,668.92,0.65,375.10,"4,677 B","7,298 B","11,975 B","10,952 B","2,425 B"
12M 2019,0.48,721.78,0.80,435.09,"4,142 B","5,875 B","10,017 B","9,191 B","2,386 B"
12M 2020,0.39,737.80,0.66,436.10,"3,642 B","5,728 B","9,370 B","8,465 B","4,583 B"
12M 2021,0.32,810.70,0.54,484.11,"6,003 B","2,288 B","8,292 B","6,927 B","3,056 B"
12M 2022,0.31,900.61,0.51,549.42,"3,806 B","3,895 B","7,701 B","6,324 B","5,961 B"
12M 2023,0.29,939.53,0.46,584.35,"3,730 B","2,872 B","6,602 B","4,605 B","7,496 B"
12M 2024,0.19,984.65,0.29,622.04,"3,552 B","2,564 B","6,115 B","4,702 B","9,440 B"
