Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.50 B,9.39,0.00,0.00,13.21 B,4.90%,13.98%,72.61%,2.15
12M 2020,0.83 B,-1.30,-113.08,1.45,24.03 B,-0.82%,-1.57%,8.21%,0.73
12M 2021,0.83 B,1.92,49.48,0.71,6.70 B,1.24%,2.26%,6.09%,1.14
12M 2022,0.83 B,2.44,24.18,0.43,7.44 B,1.62%,2.80%,6.35%,1.52
12M 2023,0.83 B,1.12,44.64,0.29,9.47 B,0.66%,1.27%,8.38%,1.56
12M 2024,0.83 B,0.52,46.15,0.17,5.57 B,0.31%,0.58%,3.29%,0.63
