Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Operasi,Pembayaran Atas Beban Keuangan,Pembayaran Pajak Penghasilan Badan,Penerimaan (Pembayaran) Dari Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Aset Tidak Lancar Lainya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Saham Baru Dari Penawaran Umum Perdana,Biaya Emisi Saham,Penerimaan (Pembayaran) Pinjaman Bank,Penerimaan (Pembayaran) Piutang Kemitraan,Tambahan Setoran Modal,Penerimaan (Pembayaran) Utang Pihak Berelasi,Penambahan (Pembayaran) Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,1289423927.000000,112941052443.000000,-96317228946.000000,-7290336189.000000,-5874039979.000000,-2016738807.000000,-153284595.000000,1289423927.000000,-4388671839.000000,-679551660.000000,290000000.000000,-3999120179.000000,-4388671839.000000,3960485118.000000,,,2608120884.000000,1803125000.000000,6000000000.000000,-6145900000.000000,-304860766.000000,3960485118.000000,861237206.000000,-13210142056.000000,-12348904850.000000
12M 2020,-39547433819.000000,82419964319.000000,-80800555079.000000,-8941650901.000000,-5545192332.000000,-1719786273.000000,-24960213553.000000,-39547433819.000000,-1935295946.000000,-1937659946.000000,,2364000.000000,-1935295946.000000,38880737179.000000,39999960000.000000,-1122488330.000000,-368143448.000000,879562500.000000,,,-508153543.000000,38880737179.000000,-2601992586.000000,-12348904850.000000,-14950897436.000000
12M 2021,8025011162.000000,101983731448.000000,-91047527332.000000,-10411175181.000000,-3818532284.000000,823872923.000000,10494641588.000000,8025011162.000000,-371624245.000000,-273988245.000000,,-97636000.000000,-371624245.000000,-2003527614.000000,,,-2814555823.000000,918000000.000000,,,-106971791.000000,-2003527614.000000,5649859303.000000,-14950897436.000000,-9301038133.000000
12M 2022,7627218415.000000,127970839483.000000,-103603825461.000000,-11516736744.000000,-3116374147.000000,-821231942.000000,-1285452774.000000,7627218415.000000,-2523704334.000000,-2523704334.000000,,,-2523704334.000000,-2791609929.000000,,,-3918181818.000000,670000000.000000,,,456571889.000000,-2791609929.000000,2311904152.000000,-9301038134.000000,-6989133982.000000
12M 2023,-4968768733.000000,128590301183.000000,-107600101765.000000,-18999241026.000000,-4142481454.000000,,-2817245671.000000,-4968768733.000000,-768254597.000000,-1276892085.000000,,508637488.000000,-768254597.000000,-1097830305.000000,,,-2523030305.000000,575000000.000000,,,850200000.000000,-1097830305.000000,-6834853635.000000,-6989133981.000000,-13823987616.000000
12M 2024,-4598376435.000000,121377731951.000000,-106040124534.000000,-15680311855.000000,-4067037667.000000,,-188634330.000000,-4598376435.000000,-32545004.000000,-32545004.000000,,,-32545004.000000,4625328044.000000,,,4674545451.000000,368750000.000000,,,-417967407.000000,4625328044.000000,-5593395.000000,-13823987616.000000,-13829581011.000000
