Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Karyawan,Penerimaan Bunga,Pembayaran Beban Keuangan,Penerimaan Dari Pihak Berelasi,Pembayaran Bunga,Pembayaran Imbalan Kerja,Pembayaran Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Pelepasan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penurunan Utang Bank Dan Pinjaman Jangka Panjang,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Utang Pihak Berelasi,Pembayaran Liabilitas Sewa,Penerimaan Dari Penerbitan Saham Baru,Penerimaan Wesel Bayar,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penerimaan Kas Dari Entitas Yang Diakuisisi,Kas Dan Setara Kas Akhir Periode
12M 2015,1156365714.000000,21391785201.000000,-18868006561.000000,,-839468146.000000,,,-527944780.000000,,,,1156365714.000000,-715048500.000000,-1370598500.000000,,655550000.000000,-715048500.000000,-410382739.000000,-1887006133.000000,,,,,,,1476623394.000000,,-410382739.000000,30934475.000000,305808115.000000,,336742590.000000
12M 2016,-276759512.000000,13446412286.000000,-12146501380.000000,,-1112358567.000000,,58490102.000000,-522801953.000000,,,,-276759512.000000,250000.000000,-50000000.000000,,50250000.000000,250000.000000,,,,,,,,,,,,-276509512.000000,336742590.000000,,60233078.000000
12M 2017,368421606.000000,16142870265.000000,-16707039738.000000,,411135310.000000,,541480000.000000,-20024231.000000,,,,368421606.000000,-8100000.000000,-133100000.000000,,125000000.000000,-8100000.000000,,,,,,,,,,,,360321606.000000,60233078.000000,,420554684.000000
12M 2018,-69228492.000000,17771688291.000000,-18051370812.000000,,48063937.000000,,165151575.000000,-2761483.000000,,,,-69228492.000000,-192635120.000000,-247635120.000000,,55000000.000000,-192635120.000000,,,,,,,,,,,,-261863612.000000,420554684.000000,,158691072.000000
12M 2019,168974664.000000,15519230518.000000,-15936514096.000000,,-1178298463.000000,,1766745000.000000,-2188295.000000,,,,168974664.000000,-176183000.000000,-176183000.000000,,,-176183000.000000,,,,,,,,,,,,-7208336.000000,158691071.000000,,151482735.000000
12M 2020,594350777.000000,14372067350.000000,-14010820067.000000,,,,235156000.000000,-2052506.000000,,,,594350777.000000,-447266212.000000,-447266212.000000,,,-447266212.000000,,,,,,,,,,,,147084565.000000,151482735.000000,,298567300.000000
12M 2021,-363781474055.000000,3489719243080.000000,-3728224531839.000000,,,,,-110394595841.000000,-11166593084.000000,-3714996371.000000,,-363781474055.000000,-8411279495.000000,-9445720859.000000,,1034441364.000000,-8411279495.000000,368286196309.000000,,7274289905691.000000,-7156802841813.000000,,,-7497628200.000000,258296760631.000000,,,368286196309.000000,-3906557241.000000,298567300.000000,94373094642.000000,90765104701.000000
12M 2022,3884989425.000000,2946510492006.000000,-195629437531.000000,-2611388397445.000000,,,,-125317753248.000000,-7990497539.000000,-2299416818.000000,,3884989425.000000,-8579858120.000000,-11132005633.000000,,2552147513.000000,-8579858120.000000,-68911742121.000000,,7028716514586.000000,-7072313311820.000000,-7167836091.000000,,-18147108796.000000,,,,-68911742121.000000,-73606610816.000000,90765104701.000000,,17158493885.000000
12M 2023,297409649147.000000,1538936160731.000000,-912004458590.000000,-153749965772.000000,,,,-163134550046.000000,-4764869918.000000,-7872667258.000000,,297409649147.000000,-3813545139.000000,-4583448220.000000,,769903081.000000,-3813545139.000000,-296682938070.000000,,1347832262250.000000,-1557494357374.000000,-61119679051.000000,,-25901163895.000000,,,,-296682938070.000000,-3086834062.000000,17158493885.000000,,14071659823.000000
