Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,184956.60,0.00,0.00,55.68 B,4.89%,7.48%,20.44%,2.64
12M 2021,2.63 B,13.31,12.85,1.05,67.22 B,6.50%,8.11%,10.78%,10.33
12M 2022,2.63 B,44.16,4.94,0.73,152.01 B,17.75%,21.60%,24.24%,44.79
12M 2023,2.63 B,59.93,3.60,0.60,211.23 B,17.21%,23.70%,25.40%,25.04
12M 2024,2.63 B,46.06,4.65,0.55,206.41 B,10.08%,16.51%,16.34%,8.26
