Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Tunai Dari Pelanggan,Penerimaan Bunga,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Bunga Dan Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan / (Kenaikan) Utang Dari Pihak Berelasi,Penambahan Beban Docking Ditangguhkan,Penambahan Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana,Penambahan Modal Disetor Entitas Anak Oleh Kepentingan Nonpengendali,Pembayaran Pinjaman Bank,Pembayaran Dividen Tunai,Penerimaan Utang Kepada Pihak-Pihak Berelasi,Pembayaran Utang Kepada Pihak Berelasi,Pembayaran Pokok Sewa,Kas Masuk Yang Timbul Dari Pendirian Entitas Anak Yang Dapat Diatribusikan Kepada Kepentingan Non-Pengendali,Penerimaan Liabilitas Sewa,Penerimaan Pinjaman Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,74904093291.000000,342244393871.000000,563900597.000000,-251096979362.000000,-4267425887.000000,-12539795928.000000,74904093291.000000,-13098550875.000000,55214799208.000000,-18511312021.000000,,-49802038062.000000,-13098550875.000000,-50794058338.000000,,3000000000.000000,-75802654082.000000,-4565259388.000000,,-6580944868.000000,,,,33154800000.000000,-50794058338.000000,11011484078.000000,21782812389.000000,32794296467.000000
12M 2021,85723688702.000000,440901720669.000000,1428639195.000000,-346229787155.000000,-6242729840.000000,-4134154167.000000,85723688702.000000,-71245608918.000000,1942149877.000000,-25117845994.000000,,-48069912801.000000,-71245608918.000000,120745103642.000000,157575000000.000000,100000000.000000,-17310980000.000000,-4610306358.000000,,-15008610000.000000,,,,,120745103642.000000,135223183426.000000,32794296467.000000,168017479893.000000
12M 2022,167828547212.000000,760315526043.000000,2776540558.000000,-582661546603.000000,-9798638786.000000,-2803334000.000000,167828547212.000000,-121122576264.000000,10097609.000000,-14953169900.000000,-17269020000.000000,-88910483973.000000,-121122576264.000000,-31839492772.000000,,,-6480000000.000000,-10469882772.000000,,-14889610000.000000,,,,,-31839492772.000000,14866478176.000000,168017479893.000000,182883958069.000000
12M 2023,146689607688.000000,877995914371.000000,3333266824.000000,-716240335844.000000,-11489816688.000000,-6909420975.000000,146689607688.000000,-223133576694.000000,2812349464.000000,-41441161076.000000,-61892697780.000000,-122612067302.000000,-223133576694.000000,41714108437.000000,,,-12730000000.000000,-34797812500.000000,2909630230.000000,-529557378.000000,-3138151915.000000,,,90000000000.000000,41714108437.000000,-34729860569.000000,182883958069.000000,148154097500.000000
12M 2024,197509785240.000000,956497139196.000000,2776594945.000000,-727125365731.000000,-16931026785.000000,-17707556385.000000,197509785240.000000,-293469760003.000000,2819330581.000000,-37813348407.000000,-73746736528.000000,-184729005649.000000,-293469760003.000000,112544020495.000000,,,-42291796887.000000,-52472475000.000000,,-3353664508.000000,-9980663110.000000,27601000000.000000,,193041620000.000000,112544020495.000000,16584045732.000000,148154097500.000000,164738143232.000000
