Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,310349248348.0,-246027101551.0,64322146797.0,-31181805572.0,-31181805572.0,-31181805572.0,33140341225.0,-11162012671.0,563900597.0,-12539795928.0,140123462.0,673759198.0,-11162012671.0,21978328554.0,-4227410100.0,17750918454.0,875156034.0,18626074488.0,-3204491061.0,15421583427.0,18626074488.0,18495659911.0,130414577.0,18626074488.0,15421583427.0,15367687858.0,53895569.0,15421583427.0
12M 2021,428315589922.000000,-343146760646.000000,85168829276.000000,-42473423412.000000,-42473423412.000000,-42473423412.000000,42695405864.000000,-1920499383.000000,1428639195.000000,-4134154167.000000,-2314193.000000,787329782.000000,-1920499383.000000,40774906481.000000,-5754267166.000000,35020639315.000000,,35020639315.000000,762867177.000000,35783506492.000000,35020639315.000000,34955408753.000000,65230562.000000,35020639315.000000,35783506492.000000,35708186467.000000,75320025.000000,35783506492.000000
12M 2022,781001150899.000000,-581883484253.000000,199117666646.000000,-73566836472.000000,-73566836472.000000,-73566836472.000000,125550830174.000000,412951203.000000,2776540558.000000,-2803334000.000000,-236612361.000000,676357006.000000,412951203.000000,125963781377.000000,-9832224545.000000,116131556832.000000,,116131556832.000000,793949105.000000,116925505937.000000,116131556832.000000,115980161805.000000,151395027.000000,116131556832.000000,116925505937.000000,116735035155.000000,190470782.000000,116925505937.000000
12M 2023,941907788741.000000,-683108560422.000000,258799228319.000000,-85781944439.000000,-85781944439.000000,-85781944439.000000,173017283880.000000,-2931024311.000000,3333266824.000000,-6909420975.000000,-153107418.000000,798237258.000000,-2931024311.000000,170086259569.000000,-12573600033.000000,157512659536.000000,,157512659536.000000,4396108772.000000,161908768308.000000,157512659536.000000,157402277557.000000,110381979.000000,157512659536.000000,161908768308.000000,161799045955.000000,109722353.000000,161908768308.000000
12M 2024,1018111562653.000000,-775576598320.000000,242534964333.000000,-96191175801.000000,-96191175801.000000,-96191175801.000000,146343788532.000000,-9894492485.000000,2776594945.000000,-17707556385.000000,4271506050.000000,764962905.000000,-9894492485.000000,136449296047.000000,-15162718398.000000,121286577649.000000,,121286577649.000000,-104207085.000000,121182370564.000000,121286577649.000000,120968356094.000000,318221555.000000,121286577649.000000,121182370564.000000,120863021390.000000,319349174.000000,121182370564.000000
