Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Aset Tetap,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,32794296467.000000,47944820239.000000,31342438692.000000,16602381547.000000,47944820239.000000,790265083.000000,790265083.000000,790265083.000000,3501143527.000000,7236395744.000000,92266921060.000000,,1466438021.000000,1466438021.000000,1466438021.000000,230909554164.000000,7625825284.000000,509663610.000000,45619572414.000000,286131053493.000000,378397974553.000000,,,54058635372.000000,,43415406.000000,29020859669.000000,29064275075.000000,,471146230.000000,471146230.000000,4747211100.000000,2256181589.000000,208841378.000000,,17310980000.000000,,17310980000.000000,54058635372.000000,75313726078.000000,30218936000.000000,,26014800000.000000,,26014800000.000000,19079990078.000000,75313726078.000000,129372361450.000000,,210000000000.000000,7194172646.000000,30107385328.000000,,30107385328.000000,30107385328.000000,1724055129.000000,,249025613103.000000,378397974553.000000,100000.000000
12M 2021,,,168017479893.000000,34725358323.000000,22532987930.000000,12192370393.000000,34725358323.000000,692777745.000000,692777745.000000,692777745.000000,7066164986.000000,8500277388.000000,219002058335.000000,,1466438021.000000,1466438021.000000,1466438021.000000,253926446347.000000,5683675407.000000,485247358.000000,56956681729.000000,318518488862.000000,537520547197.000000,,,69730812568.000000,,2279251740.000000,33446826090.000000,35726077830.000000,,926449789.000000,926449789.000000,9706665696.000000,1472451875.000000,15419167378.000000,,6480000000.000000,,6480000000.000000,69730812568.000000,35198112423.000000,,,19534800000.000000,,19534800000.000000,15663312423.000000,35198112423.000000,104928924991.000000,,262625000000.000000,106961981615.000000,61205265437.000000,42000000000.000000,19205265437.000000,61205265437.000000,1799375154.000000,,432591622206.000000,537520547197.000000,2626250000.000000
12M 2022,,,182883958069.000000,56877421200.000000,30984537215.000000,25892883985.000000,56877421200.000000,262566821.000000,262566821.000000,262566821.000000,9115020054.000000,8086509531.000000,257225475675.000000,,,,,315198482034.000000,5673577798.000000,817138219.000000,74530075320.000000,396219273371.000000,653444749046.000000,,,85141508656.000000,,4495573359.000000,40308759626.000000,44804332985.000000,,534493061.000000,534493061.000000,30140800081.000000,2652325151.000000,529557378.000000,,6480000000.000000,,6480000000.000000,85141508656.000000,29272734873.000000,,,13054800000.000000,,13054800000.000000,16217934873.000000,29272734873.000000,114414243529.000000,,262625000000.000000,106961981615.000000,167453677966.000000,42000000000.000000,125453677966.000000,167453677966.000000,1989845936.000000,,539030505517.000000,653444749046.000000,2626250000.000000
12M 2023,,,148154097500.000000,120789295570.000000,60948938733.000000,59840356837.000000,120789295570.000000,1663831692.000000,1663831692.000000,1663831692.000000,10082815516.000000,11926756070.000000,292616796348.000000,,,,,447567545325.000000,2861228334.000000,546476720.000000,170893204434.000000,621868454813.000000,914485251161.000000,,,120361156636.000000,,1246675353.000000,44677600048.000000,45924275401.000000,,238134535.000000,238134535.000000,35711655568.000000,3672763515.000000,3353664508.000000,,21480000000.000000,9980663109.000000,31460663109.000000,120361156636.000000,127984587941.000000,,,75324800000.000000,45028515921.000000,120353315921.000000,7631272020.000000,127984587941.000000,248345744577.000000,,262625000000.000000,106961981615.000000,294452956680.000000,42000000000.000000,252452956680.000000,294452956680.000000,2099568289.000000,,666139506584.000000,914485251161.000000,2626250000.000000
12M 2024,,,164738143232.000000,182403719027.000000,81738769887.000000,100664949140.000000,182403719027.000000,2625986695.000000,2625986695.000000,2625986695.000000,9278620568.000000,15953598149.000000,375000067671.000000,,,,,645755026116.000000,,313497158.000000,178516216133.000000,824584739407.000000,1199584807078.000000,,,202985829893.000000,,1539108046.000000,95664207897.000000,97203315943.000000,,18694596.000000,18694596.000000,34351444857.000000,5592266891.000000,,,54930247797.000000,10889859809.000000,65820107606.000000,202985829893.000000,234148575037.000000,,,192624375316.000000,34138656111.000000,226763031427.000000,7385543610.000000,234148575037.000000,437134404930.000000,,262625000000.000000,106961981615.000000,362843503070.000000,52525000000.000000,310318503070.000000,362843503070.000000,29551298949.000000,468618514.000000,762450402148.000000,1199584807078.000000,2626250000.000000
