Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Deposito Berjangka,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Usaha,Investasi Pada Entitas Asosiasi,Investasi Pada Entitas Pengendalian Bersama,Properti Pertambangan,Aset Tetap,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Tanaman Perkebunan,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3041720000000.000000,1376624000000.000000,308064000000.000000,1068560000000.000000,1376624000000.000000,,420040000000.000000,,111133000000.000000,4949517000000.000000,,,,,,125972000000.000000,,199063000000.000000,383932000000.000000,254504000000.000000,,,171828000000.000000,21576000000.000000,1156875000000.000000,6106392000000.000000,,,1352990000000.000000,,62767000000.000000,6423000000.000000,69190000000.000000,644152000000.000000,562661000000.000000,,562661000000.000000,,,,,,76987000000.000000,1352990000000.000000,675743000000.000000,,,,,,675743000000.000000,675743000000.000000,2028733000000.000000,,1152066000000.000000,30485000000.000000,2815581000000.000000,1107810000000.000000,1707771000000.000000,,1707771000000.000000,2815581000000.000000,79527000000.000000,,4077659000000.000000,6106392000000.000000,2304131849.000000
12M 2009,,,4709104000000.000000,1491460000000.000000,427731000000.000000,1063729000000.000000,1491460000000.000000,,409901000000.000000,,172926000000.000000,6783391000000.000000,,,,,,122620000000.000000,,199063000000.000000,371523000000.000000,321821000000.000000,,,250053000000.000000,30107000000.000000,1295187000000.000000,8078578000000.000000,,,1380908000000.000000,,53982000000.000000,4115000000.000000,58097000000.000000,789369000000.000000,431230000000.000000,,431230000000.000000,13500000000.000000,,,,,88712000000.000000,1380908000000.000000,911832000000.000000,,,,,,911832000000.000000,911832000000.000000,2292740000000.000000,,1152066000000.000000,30485000000.000000,4518821000000.000000,1944695000000.000000,2574126000000.000000,,2574126000000.000000,4518821000000.000000,84466000000.000000,,5785838000000.000000,8078578000000.000000,2304131849.000000
12M 2010,,,5054075000000.000000,997178000000.000000,382920000000.000000,614258000000.000000,997178000000.000000,,423678000000.000000,,171022000000.000000,6645953000000.000000,,,,,,266979000000.000000,,187542000000.000000,921005000000.000000,327560000000.000000,,,316072000000.000000,57588000000.000000,2076746000000.000000,8722699000000.000000,,,1147728000000.000000,,70063000000.000000,3093000000.000000,73156000000.000000,748235000000.000000,197836000000.000000,,197836000000.000000,13294000000.000000,,,,,115207000000.000000,1147728000000.000000,1133723000000.000000,,,,,,1133723000000.000000,1133723000000.000000,2281451000000.000000,,1152066000000.000000,30485000000.000000,5182763000000.000000,3335840000000.000000,1846923000000.000000,,1846923000000.000000,5182763000000.000000,74512000000.000000,1422000000.000000,6441248000000.000000,8722699000000.000000,2304131849.000000
12M 2011,,,6791291000000.000000,1180195000000.000000,335847000000.000000,844348000000.000000,1180195000000.000000,,644833000000.000000,,242941000000.000000,8859260000000.000000,,,,,,403083000000.000000,,174824000000.000000,1140466000000.000000,491820000000.000000,,,386702000000.000000,50949000000.000000,2647844000000.000000,11507104000000.000000,,,1912423000000.000000,,111834000000.000000,10448000000.000000,122282000000.000000,1249680000000.000000,413217000000.000000,,413217000000.000000,18155000000.000000,,,,,109089000000.000000,1912423000000.000000,1429679000000.000000,,,,,,1429679000000.000000,1429679000000.000000,3342102000000.000000,,1152066000000.000000,30485000000.000000,6906491000000.000000,4059041000000.000000,2847450000000.000000,,2847450000000.000000,6906491000000.000000,76743000000.000000,-783000000.000000,8165002000000.000000,11507104000000.000000,2304131849.000000
12M 2012,,,5917034000000.000000,1545556000000.000000,311319000000.000000,1234237000000.000000,1545556000000.000000,,765964000000.000000,,489743000000.000000,8718297000000.000000,,,,,,531897000000.000000,21551000000.000000,154336000000.000000,1853447000000.000000,704873000000.000000,,,646694000000.000000,97886000000.000000,4010684000000.000000,12728981000000.000000,,,1770664000000.000000,,128476000000.000000,21300000000.000000,149776000000.000000,977715000000.000000,,238901000000.000000,238901000000.000000,34915000000.000000,,,,,369357000000.000000,1770664000000.000000,2453148000000.000000,,9670000000.000000,,9670000000.000000,,2443478000000.000000,2453148000000.000000,4223812000000.000000,,1152066000000.000000,30486000000.000000,7410590000000.000000,5169942000000.000000,2240648000000.000000,,2240648000000.000000,7410590000000.000000,86051000000.000000,-174024000000.000000,8505169000000.000000,12728981000000.000000,2304131849.000000
12M 2013,,,3343905000000.000000,1427572000000.000000,578121000000.000000,849451000000.000000,1427572000000.000000,,901952000000.000000,,806354000000.000000,6479783000000.000000,,27874000000.000000,27874000000.000000,27874000000.000000,,,628327000000.000000,130185000000.000000,2803393000000.000000,862502000000.000000,,,514242000000.000000,230849000000.000000,5197372000000.000000,11677155000000.000000,,,2260956000000.000000,,449763000000.000000,22116000000.000000,471879000000.000000,1082065000000.000000,,211849000000.000000,211849000000.000000,77890000000.000000,,,,,417273000000.000000,2260956000000.000000,1864630000000.000000,,,,,,1864630000000.000000,1864630000000.000000,4125586000000.000000,,1152066000000.000000,30486000000.000000,8093505000000.000000,6474993000000.000000,1618512000000.000000,,1618512000000.000000,8093505000000.000000,114188000000.000000,-1838676000000.000000,7551569000000.000000,11677155000000.000000,2304131849.000000
12M 2014,,,4039267000000.000000,1439401000000.000000,307224000000.000000,1132177000000.000000,1439401000000.000000,,1033360000000.000000,,904777000000.000000,7416805000000.000000,,29281000000.000000,29281000000.000000,29281000000.000000,,,936346000000.000000,59770000000.000000,3987565000000.000000,1459737000000.000000,302966000000.000000,,227948000000.000000,391605000000.000000,7395218000000.000000,14812023000000.000000,,,3574129000000.000000,,443314000000.000000,102191000000.000000,545505000000.000000,1203765000000.000000,,64839000000.000000,64839000000.000000,826428000000.000000,,467235000000.000000,,467235000000.000000,466357000000.000000,3574129000000.000000,2567052000000.000000,,961753000000.000000,,961753000000.000000,,1605299000000.000000,2567052000000.000000,6141181000000.000000,,1152066000000.000000,30486000000.000000,9205393000000.000000,7296758000000.000000,1908635000000.000000,,1908635000000.000000,9205393000000.000000,117231000000.000000,-1834334000000.000000,8670842000000.000000,14812023000000.000000,2304131849.000000
12M 2015,,,3115337000000.000000,1595580000000.000000,538129000000.000000,1057451000000.000000,1595580000000.000000,,1233175000000.000000,,1654384000000.000000,7598476000000.000000,,43127000000.000000,43127000000.000000,43127000000.000000,,169680000000.000000,1070314000000.000000,46648000000.000000,5579117000000.000000,1442546000000.000000,274118000000.000000,102077000000.000000,431022000000.000000,136918000000.000000,9295567000000.000000,16894043000000.000000,,,4922733000000.000000,,1009856000000.000000,136233000000.000000,1146089000000.000000,1647428000000.000000,,176216000000.000000,176216000000.000000,739000000000.000000,,597034000000.000000,15851000000.000000,612885000000.000000,601115000000.000000,4922733000000.000000,2683763000000.000000,,623192000000.000000,46980000000.000000,670172000000.000000,,2013591000000.000000,2683763000000.000000,7606496000000.000000,,1152066000000.000000,30486000000.000000,10191771000000.000000,8607269000000.000000,1584502000000.000000,,1584502000000.000000,10191771000000.000000,112851000000.000000,-2199627000000.000000,9287547000000.000000,16894043000000.000000,2304131849.000000
12M 2016,,,3674687000000.000000,2285065000000.000000,,,2285065000000.000000,,1102290000000.000000,,1287885000000.000000,8349927000000.000000,,43383000000.000000,43383000000.000000,43383000000.000000,,169680000000.000000,1225801000000.000000,27491000000.000000,6087746000000.000000,1401222000000.000000,245350000000.000000,102077000000.000000,484173000000.000000,439924000000.000000,10226847000000.000000,18576774000000.000000,,,5042747000000.000000,539440000000.000000,,,539440000000.000000,1812004000000.000000,122958000000.000000,,122958000000.000000,957500000000.000000,,481081000000.000000,178964000000.000000,660045000000.000000,950800000000.000000,5042747000000.000000,2981622000000.000000,,167346000000.000000,583633000000.000000,750979000000.000000,,2230643000000.000000,2981622000000.000000,8024369000000.000000,,1152066000000.000000,30486000000.000000,11365741000000.000000,9950969000000.000000,1414772000000.000000,,1414772000000.000000,11365741000000.000000,131068000000.000000,-2126956000000.000000,10552405000000.000000,18576774000000.000000,2304131849.000000
12M 2017,,,3555406000000.000000,5343708000000.000000,,,5343708000000.000000,,1156012000000.000000,,1062619000000.000000,11117745000000.000000,,45970000000.000000,45970000000.000000,45970000000.000000,,173262000000.000000,1325166000000.000000,1266706000000.000000,6199299000000.000000,,233102000000.000000,102077000000.000000,834562000000.000000,689593000000.000000,10869737000000.000000,21987482000000.000000,,,4513226000000.000000,886423000000.000000,,,886423000000.000000,970821000000.000000,830150000000.000000,,830150000000.000000,208206000000.000000,,90880000000.000000,141874000000.000000,232754000000.000000,1384872000000.000000,4513226000000.000000,3674271000000.000000,,35931000000.000000,496612000000.000000,532543000000.000000,47331000000.000000,3094397000000.000000,3674271000000.000000,8187497000000.000000,,1152066000000.000000,30486000000.000000,14564510000000.000000,11355301000000.000000,3209209000000.000000,,3209209000000.000000,14564510000000.000000,191890000000.000000,-2138967000000.000000,13799985000000.000000,21987482000000.000000,11520659250.000000
