Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Operasional Lainnya,Pembayaran Royalti,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak,Pembayaran Pajak Lainnya,Penerimaan Klaim Pajak,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Atas Tantiem,Pembayaran Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Perolehan Aset Keuangan Tersedia Untuk Dijual,Penerimaan Dari Pelepasan Aset Keuangan Tersedia Untuk Dijual,Penambahan Pada Set Keuangan Yang Dinilai Pada Nilai Wajar Melalui Pendapatan Komprehensif Lain,Penambahan Tanaman Produktif,Penambahan Investasi Kepada Perusahaan Asosiasi,Penambahan Investasi Kepada Entitas Pengendalian Bersama,Pembayaran Atas Tanaman Perkebunan,Penerimaan Dari Pengembalian Investasi Pada Entitas Asosiasi,Transfer Ke Kas Yang Dibatasi Penggunaannya,Pembelian Saham Kembali,Kas Yang Diterima Dari / (Dikeluarkan Untuk) Transaksi Kombinasi Bisnis,Penambahan Jaminan Pelaksanaan,Penempatan Deposito Berjangka,Pencairan Deposito Berjangka,Penambahan Properti Pertambangan,Penempatan Dana Reklamasi Dan Penutupan Tambang,Pencairan Dana Reklamasi Dan Penutupan Tambang,Akuisisi Anak Perusahaan,Akuisisi Tambahan Kepemilikan Anak Perusahaan,Pencairan/(Penempatan) Jaminan Pelaksanaan,Pembangkit Listrik,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Kepada Pemegang Saham,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Penerimaan Dividen Dari Entitas Pengendalian Bersama,Penerimaan Pinjaman Bank,Pelunasan Pinjaman Bank,Perolehan Saham Diperoleh Kembali,Pembayaran Atas Program Kemitraan Dan Bina Lingkungan,Program Kemitraan,Program Bina Lingkungan,Total Pembayaran Atas Program Kemitraan Dan Bina Lingkungan,Penarikan Sementara Saham Beredar,Transfer Ke Kas Yang Dibatasi Penggunaannya,Penerimaan Dari Penjualan Saham Treasuri,Pembayaran Atas Tantiem,Pembelian Saham Treasuri,Pembayaran Sewa Pembiayaan,Pinjaman Kepada Entitas Pengendali Bersama,Pembayaran Pinjaman Anak Perusahaan Ipc,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,1609577000000.000000,6437276000000.000000,122229000000.000000,-217849000000.000000,-4352593000000.000000,-472779000000.000000,,,100093000000.000000,,-6800000000.000000,,1609577000000.000000,-429212000000.000000,-86372000000.000000,,,,,,,-41000000000.000000,,,,,,,,,,,,,-163934000000.000000,-137906000000.000000,,,-429212000000.000000,-380104000000.000000,-380104000000.000000,,,,,,,,,,,,,,,,,,-380104000000.000000,800261000000.000000,18640000000.000000,2222819000000.000000,3041720000000.000000
12M 2009,2736314000000.000000,8729086000000.000000,103932000000.000000,-416761000000.000000,-4613445000000.000000,-1252373000000.000000,,2791000000.000000,200084000000.000000,,,-17000000000.000000,2736314000000.000000,-67378000000.000000,-57591000000.000000,,,,,,,,,,,,,,,,,,,,,-9787000000.000000,,,-67378000000.000000,-1007494000000.000000,-1007494000000.000000,,,,,,,,,,,,,,,,,,-1007494000000.000000,1661442000000.000000,5942000000.000000,3041720000000.000000,4709104000000.000000
12M 2010,2489794000000.000000,8371694000000.000000,130283000000.000000,-581742000000.000000,-4800514000000.000000,-874235000000.000000,,,244308000000.000000,,,,2489794000000.000000,-799160000000.000000,-489871000000.000000,1858000000.000000,-91223000000.000000,-70000000000.000000,,,,-149924000000.000000,,,,,,,,,,,,,,,,,-799160000000.000000,-1344949000000.000000,-1235841000000.000000,,,,,,-109108000000.000000,,,-109108000000.000000,,,,,,,,,-1344949000000.000000,345685000000.000000,-714000000.000000,4709104000000.000000,5054075000000.000000
12M 2011,3600649000000.000000,10346420000000.000000,83790000000.000000,-670685000000.000000,-5555563000000.000000,-928203000000.000000,,,324890000000.000000,,,,3600649000000.000000,-505003000000.000000,-235253000000.000000,,-176189000000.000000,-460000000000.000000,505334000000.000000,,,-138895000000.000000,,,,,,,,,,,,,,,,,-505003000000.000000,-1357241000000.000000,-1281752000000.000000,,,99549000000.000000,-94682000000.000000,,-80356000000.000000,,,-80356000000.000000,,,,,,,,,-1357241000000.000000,1738405000000.000000,-1189000000.000000,5054075000000.000000,6791291000000.000000
12M 2012,2212701000000.000000,11231586000000.000000,137515000000.000000,-735778000000.000000,-7277341000000.000000,-1401744000000.000000,,,262109000000.000000,-3646000000.000000,,,2212701000000.000000,-1182464000000.000000,-640207000000.000000,,-237197000000.000000,-922030000000.000000,812849000000.000000,,,-134728000000.000000,-21551000000.000000,,,-39600000000.000000,,,,,,,,,,,,,-1182464000000.000000,-1892303000000.000000,-1613116000000.000000,-2813000000.000000,,80585000000.000000,-36000000000.000000,,-123433000000.000000,,,-123433000000.000000,-189526000000.000000,-8000000000.000000,,,,,,,-1892303000000.000000,-862066000000.000000,-12191000000.000000,6791291000000.000000,5917034000000.000000
12M 2013,2051330000000.000000,11325083000000.000000,98061000000.000000,-644518000000.000000,-7848782000000.000000,-1112159000000.000000,,,239870000000.000000,-6225000000.000000,,,2051330000000.000000,-1324238000000.000000,-1115074000000.000000,,-126975000000.000000,-130000000000.000000,213713000000.000000,,,,,,,,,,-165902000000.000000,,,,,,,,,,-1324238000000.000000,-3303540000000.000000,-1595063000000.000000,-5533000000.000000,,67480000000.000000,-34175000000.000000,,,,,,-1709887000000.000000,,,,,,-26362000000.000000,,-3303540000000.000000,-2576448000000.000000,3319000000.000000,5917034000000.000000,3343905000000.000000
12M 2014,1976117000000.000000,13085882000000.000000,28103000000.000000,-765418000000.000000,-9607277000000.000000,-996743000000.000000,,,267647000000.000000,-36077000000.000000,,,1976117000000.000000,-2035306000000.000000,-724262000000.000000,,-51576000000.000000,-285207000000.000000,87455000000.000000,,,,-162437000000.000000,,,,,,-54684000000.000000,,,,,,-844595000000.000000,,,,-2035306000000.000000,736899000000.000000,-1004381000000.000000,-6736000000.000000,,2043504000000.000000,-294082000000.000000,,,,,,,,,,,,-1406000000.000000,,736899000000.000000,677710000000.000000,17652000000.000000,3343905000000.000000,4039267000000.000000
12M 2015,1897771000000.000000,13598833000000.000000,100544000000.000000,-810867000000.000000,-10215192000000.000000,-840884000000.000000,,-54562000000.000000,272812000000.000000,-152913000000.000000,,,1897771000000.000000,-1113356000000.000000,-687241000000.000000,,-35991000000.000000,-390500000000.000000,62555000000.000000,,,,,,,,,,104926000000.000000,,,,,,2574000000.000000,,-169679000000.000000,,-1113356000000.000000,-1794992000000.000000,-705660000000.000000,,,188470000000.000000,-830226000000.000000,,,,,,,,,,-402224000000.000000,-31506000000.000000,-13846000000.000000,,-1794992000000.000000,-1010577000000.000000,86647000000.000000,4039267000000.000000,3115337000000.000000
12M 2016,1928346000000.000000,13369388000000.000000,21363000000.000000,-739931000000.000000,-10041882000000.000000,-695330000000.000000,,-36883000000.000000,201687000000.000000,-150066000000.000000,,,1928346000000.000000,-315119000000.000000,-293409000000.000000,,-8062000000.000000,-251347000000.000000,200000000000.000000,,,,-29639000000.000000,,,,,,67338000000.000000,,,,,,,,,,-315119000000.000000,-1011134000000.000000,-610773000000.000000,,,250000000000.000000,-603299000000.000000,,,,,,,,,,,-47062000000.000000,,,-1011134000000.000000,602093000000.000000,-42743000000.000000,3115337000000.000000,3674687000000.000000
12M 2017,2415444000000.000000,16412387000000.000000,,-1067063000000.000000,-11876279000000.000000,-1120852000000.000000,,,151055000000.000000,-83804000000.000000,,,2415444000000.000000,-536264000000.000000,-677186000000.000000,,-7467000000.000000,,307792000000.000000,,,,,-1517000000.000000,,,,,-154136000000.000000,,,,,,-3750000000.000000,,,,-536264000000.000000,-2006843000000.000000,-601856000000.000000,-9966000000.000000,,198803000000.000000,-1469713000000.000000,,,,,,,,,,-124111000000.000000,,,,-2006843000000.000000,-127663000000.000000,8382000000.000000,3674687000000.000000,3555406000000.000000
