Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Beban Eksplorasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,7216228000000.000000,-3686136000000.000000,3530092000000.000000,-1036150000000.000000,-504705000000.000000,-515145000000.000000,-16300000000.000000,,-1036150000000.000000,2493942000000.000000,57730000000.000000,107590000000.000000,,2797000000.000000,1043000000.000000,,-53700000000.000000,57730000000.000000,2551672000000.000000,-837055000000.000000,1714617000000.000000,-6846000000.000000,1707771000000.000000,,,1707771000000.000000,1714617000000.000000,-6846000000.000000,1707771000000.000000,,,,
12M 2009,8947854000000.000000,-4104301000000.000000,4843553000000.000000,-1295238000000.000000,-695346000000.000000,-578759000000.000000,-21133000000.000000,,-1295238000000.000000,3548315000000.000000,213687000000.000000,202178000000.000000,,-29352000000.000000,-3352000000.000000,,44213000000.000000,213687000000.000000,3762002000000.000000,-1032675000000.000000,2729327000000.000000,-1593000000.000000,2727734000000.000000,,,2727734000000.000000,2729327000000.000000,-1593000000.000000,2727734000000.000000,,,,
12M 2010,7909154000000.000000,-4258988000000.000000,3650166000000.000000,-1346008000000.000000,-663529000000.000000,-659526000000.000000,-22953000000.000000,,-1346008000000.000000,2304158000000.000000,295492000000.000000,244308000000.000000,,-32732000000.000000,-5565000000.000000,,89481000000.000000,295492000000.000000,2599650000000.000000,-600713000000.000000,1998937000000.000000,9954000000.000000,2008891000000.000000,,,2008891000000.000000,1998937000000.000000,9954000000.000000,2008891000000.000000,,,,
12M 2011,10581570000000.000000,-5302592000000.000000,5278978000000.000000,-1613949000000.000000,-908563000000.000000,-675962000000.000000,-29424000000.000000,,-1613949000000.000000,3665029000000.000000,394075000000.000000,324890000000.000000,,24615000000.000000,-2791000000.000000,,47361000000.000000,394075000000.000000,4059104000000.000000,-971037000000.000000,3088067000000.000000,,3088067000000.000000,-2205000000.000000,3085862000000.000000,3088067000000.000000,3085836000000.000000,2231000000.000000,3088067000000.000000,3085862000000.000000,3083631000000.000000,2231000000.000000,3085862000000.000000
12M 2012,11594057000000.000000,-6505932000000.000000,5088125000000.000000,-1494615000000.000000,-940446000000.000000,-748534000000.000000,,194365000000.000000,-1494615000000.000000,3593510000000.000000,318077000000.000000,327637000000.000000,-3646000000.000000,,-5914000000.000000,,,318077000000.000000,3911587000000.000000,-1002166000000.000000,2909421000000.000000,,2909421000000.000000,-640347000000.000000,2269074000000.000000,2909421000000.000000,2900113000000.000000,9308000000.000000,2909421000000.000000,2269074000000.000000,2259766000000.000000,9308000000.000000,2269074000000.000000
12M 2013,11209219000000.000000,-7745646000000.000000,3463573000000.000000,-1310735000000.000000,-998360000000.000000,-607871000000.000000,,295496000000.000000,-1310735000000.000000,2152838000000.000000,308524000000.000000,239870000000.000000,-6225000000.000000,,74879000000.000000,,,308524000000.000000,2461362000000.000000,-607081000000.000000,1854281000000.000000,,1854281000000.000000,497069000000.000000,2351350000000.000000,1854281000000.000000,1826144000000.000000,28137000000.000000,1854281000000.000000,2351350000000.000000,2323213000000.000000,28137000000.000000,2351350000000.000000
12M 2014,13077962000000.000000,-9056219000000.000000,4021743000000.000000,-1711545000000.000000,-951759000000.000000,-736626000000.000000,,-23160000000.000000,-1711545000000.000000,2310198000000.000000,364528000000.000000,267647000000.000000,-48701000000.000000,,145582000000.000000,,,364528000000.000000,2674726000000.000000,-655512000000.000000,2019214000000.000000,,2019214000000.000000,104439000000.000000,2123653000000.000000,2019214000000.000000,2016171000000.000000,3043000000.000000,2019214000000.000000,2123653000000.000000,2120610000000.000000,3043000000.000000,2123653000000.000000
12M 2015,13733627000000.000000,-9593903000000.000000,4139724000000.000000,-1725384000000.000000,-1030647000000.000000,-692818000000.000000,,-1919000000.000000,-1725384000000.000000,2414340000000.000000,249456000000.000000,272812000000.000000,-157325000000.000000,,133969000000.000000,,,249456000000.000000,2663796000000.000000,-626685000000.000000,2037111000000.000000,,2037111000000.000000,-161178000000.000000,1875933000000.000000,2037111000000.000000,2035911000000.000000,1200000000.000000,2037111000000.000000,1875933000000.000000,1874733000000.000000,1200000000.000000,1875933000000.000000
12M 2016,14058869000000.000000,-9657400000000.000000,4401469000000.000000,-1870662000000.000000,-1110648000000.000000,-696185000000.000000,,-63829000000.000000,-1870662000000.000000,2530807000000.000000,202992000000.000000,201687000000.000000,-148835000000.000000,,150140000000.000000,,,202992000000.000000,2733799000000.000000,-709394000000.000000,2024405000000.000000,,2024405000000.000000,-148774000000.000000,1875631000000.000000,2024405000000.000000,2006188000000.000000,18217000000.000000,2024405000000.000000,1875631000000.000000,1857414000000.000000,18217000000.000000,1875631000000.000000
12M 2017,19471030000000.000000,-10964524000000.000000,8506506000000.000000,-2607991000000.000000,-1333913000000.000000,-911340000000.000000,,-362738000000.000000,-2607991000000.000000,5898515000000.000000,203114000000.000000,184900000000.000000,-103589000000.000000,,121803000000.000000,,,203114000000.000000,6101629000000.000000,-1554397000000.000000,4547232000000.000000,,4547232000000.000000,-687830000000.000000,3859402000000.000000,4547232000000.000000,4476444000000.000000,70788000000.000000,4547232000000.000000,3859402000000.000000,3788614000000.000000,70788000000.000000,3859402000000.000000
