Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,181524000000.000000,25000000.000000,238979000000.000000,206192000000.000000,32787000000.000000,238979000000.000000,96587000000.000000,10754000000.000000,85833000000.000000,96587000000.000000,188344000000.000000,318065000000.000000,1023524000000.000000,,55051000000.000000,3811564000000.000000,,63312000000.000000,3929927000000.000000,4953451000000.000000,,,954637000000.000000,484130000000.000000,,148883000000.000000,42764000000.000000,191647000000.000000,,7631000000.000000,34900000000.000000,42531000000.000000,4805000000.000000,22872000000.000000,,164413000000.000000,,13939000000.000000,2347000000.000000,180699000000.000000,27953000000.000000,954637000000.000000,2284044000000.000000,13240000000.000000,199599000000.000000,,1617555000000.000000,16493000000.000000,3804000000.000000,388096000000.000000,2025948000000.000000,45257000000.000000,2284044000000.000000,3238681000000.000000,,997000000000.000000,20981000000.000000,11398000000.000000,,,11398000000.000000,205461000000.000000,479930000000.000000,1714770000000.000000,4953451000000.000000,997000.000000
12M 2016,,,390381000000.000000,80025000000.000000,294278000000.000000,241414000000.000000,52864000000.000000,294278000000.000000,167948000000.000000,9151000000.000000,158797000000.000000,167948000000.000000,295680000000.000000,251516000000.000000,1479828000000.000000,,55051000000.000000,4217336000000.000000,,95507000000.000000,4367894000000.000000,5847722000000.000000,,,1312711000000.000000,389026000000.000000,,127954000000.000000,17499000000.000000,145453000000.000000,,16770000000.000000,36907000000.000000,53677000000.000000,10388000000.000000,25785000000.000000,,250088000000.000000,389000000000.000000,16205000000.000000,2225000000.000000,657518000000.000000,30864000000.000000,1312711000000.000000,1774171000000.000000,7500000000.000000,211094000000.000000,,1495348000000.000000,14487000000.000000,2111000000.000000,,1511946000000.000000,43631000000.000000,1774171000000.000000,3086882000000.000000,,1533330000000.000000,448977000000.000000,66288000000.000000,,,66288000000.000000,226046000000.000000,486199000000.000000,2760840000000.000000,5847722000000.000000,3066660000.000000
12M 2017,,,344351000000.000000,80025000000.000000,412279000000.000000,307738000000.000000,104541000000.000000,412279000000.000000,109706000000.000000,11843000000.000000,97863000000.000000,109706000000.000000,384607000000.000000,195996000000.000000,1526964000000.000000,,55051000000.000000,4671372000000.000000,,150156000000.000000,4876579000000.000000,6403543000000.000000,,,1014745000000.000000,384028000000.000000,,76865000000.000000,41723000000.000000,118588000000.000000,,42600000000.000000,37235000000.000000,79835000000.000000,23089000000.000000,36019000000.000000,,313942000000.000000,,17738000000.000000,2515000000.000000,334195000000.000000,38991000000.000000,1014745000000.000000,2030788000000.000000,2098000000.000000,40233000000.000000,,1211981000000.000000,15824000000.000000,2637000000.000000,699888000000.000000,1930330000000.000000,58127000000.000000,2030788000000.000000,3045533000000.000000,,1533330000000.000000,448977000000.000000,151857000000.000000,,,151857000000.000000,293295000000.000000,930551000000.000000,3358010000000.000000,6403543000000.000000,3066660000.000000
12M 2018,,,284472000000.000000,80025000000.000000,429088000000.000000,345266000000.000000,83822000000.000000,429088000000.000000,218488000000.000000,27348000000.000000,191140000000.000000,218488000000.000000,455625000000.000000,118245000000.000000,1585943000000.000000,,55051000000.000000,4835210000000.000000,,171551000000.000000,5061812000000.000000,6647755000000.000000,,,1297840000000.000000,649923000000.000000,,105320000000.000000,44695000000.000000,150015000000.000000,,38803000000.000000,30031000000.000000,68834000000.000000,22179000000.000000,32151000000.000000,,295917000000.000000,,32635000000.000000,1794000000.000000,330346000000.000000,44392000000.000000,1297840000000.000000,2202123000000.000000,,54244000000.000000,,1287361000000.000000,86593000000.000000,2421000000.000000,702723000000.000000,2079098000000.000000,68781000000.000000,2202123000000.000000,3499963000000.000000,,1533330000000.000000,368037000000.000000,251589000000.000000,,,251589000000.000000,60760000000.000000,934076000000.000000,3147792000000.000000,6647755000000.000000,3066660000.000000
12M 2019,,,279518000000.000000,98750000000.000000,411612000000.000000,349734000000.000000,61878000000.000000,411612000000.000000,303796000000.000000,32801000000.000000,270995000000.000000,303796000000.000000,446160000000.000000,156179000000.000000,1696015000000.000000,,55051000000.000000,5093397000000.000000,,177419000000.000000,5325867000000.000000,7021882000000.000000,,,1938711000000.000000,690381000000.000000,,115389000000.000000,25139000000.000000,140528000000.000000,,56952000000.000000,23370000000.000000,80322000000.000000,29106000000.000000,35181000000.000000,,357472000000.000000,491906000000.000000,51119000000.000000,1280000000.000000,901777000000.000000,61416000000.000000,1938711000000.000000,1782705000000.000000,,68718000000.000000,,995658000000.000000,132521000000.000000,1154000000.000000,501514000000.000000,1630847000000.000000,83140000000.000000,1782705000000.000000,3721416000000.000000,,1533330000000.000000,368037000000.000000,342593000000.000000,,,342593000000.000000,58518000000.000000,997988000000.000000,3300466000000.000000,7021882000000.000000,3066660000.000000
12M 2020,,,405164000000.000000,18750000000.000000,375073000000.000000,338313000000.000000,36760000000.000000,375073000000.000000,252378000000.000000,36147000000.000000,216231000000.000000,252378000000.000000,447731000000.000000,130797000000.000000,1629893000000.000000,,55051000000.000000,4827633000000.000000,,608881000000.000000,5491565000000.000000,7121458000000.000000,,,1615068000000.000000,769933000000.000000,,87670000000.000000,28581000000.000000,116251000000.000000,,31418000000.000000,20687000000.000000,52105000000.000000,25360000000.000000,31395000000.000000,,215128000000.000000,302375000000.000000,53938000000.000000,871000000.000000,572312000000.000000,47712000000.000000,1615068000000.000000,2124249000000.000000,,63793000000.000000,,1351515000000.000000,104347000000.000000,746000000.000000,518288000000.000000,1974896000000.000000,85560000000.000000,2124249000000.000000,3739317000000.000000,,1533330000000.000000,350437000000.000000,439005000000.000000,,,439005000000.000000,56531000000.000000,1002838000000.000000,3382141000000.000000,7121458000000.000000,3066660000.000000
12M 2021,,,809094000000.000000,18750000000.000000,421148000000.000000,314502000000.000000,106646000000.000000,421148000000.000000,266271000000.000000,40724000000.000000,225547000000.000000,266271000000.000000,459195000000.000000,69961000000.000000,2044419000000.000000,,55051000000.000000,5466207000000.000000,,598922000000.000000,6120180000000.000000,8164599000000.000000,,,1979987000000.000000,856514000000.000000,,96667000000.000000,26724000000.000000,123391000000.000000,,30626000000.000000,3655000000.000000,34281000000.000000,35220000000.000000,58987000000.000000,,236141000000.000000,516631000000.000000,59425000000.000000,400000000.000000,812597000000.000000,58997000000.000000,1979987000000.000000,2601687000000.000000,,104963000000.000000,,1445557000000.000000,204718000000.000000,326000000.000000,779231000000.000000,2429832000000.000000,66892000000.000000,2601687000000.000000,4581674000000.000000,,1533330000000.000000,350437000000.000000,633600000000.000000,25000000000.000000,608600000000.000000,633600000000.000000,59865000000.000000,1005693000000.000000,3582925000000.000000,8164599000000.000000,3066660000.000000
12M 2022,,,636907000000.000000,37238000000.000000,433572000000.000000,323841000000.000000,109731000000.000000,433572000000.000000,245585000000.000000,35181000000.000000,210404000000.000000,245585000000.000000,464169000000.000000,99897000000.000000,1917368000000.000000,,55051000000.000000,5469351000000.000000,,600219000000.000000,6124621000000.000000,8041989000000.000000,,,1643446000000.000000,957443000000.000000,,97748000000.000000,58339000000.000000,156087000000.000000,,36104000000.000000,8596000000.000000,44700000000.000000,36837000000.000000,61053000000.000000,,256848000000.000000,5922000000.000000,61493000000.000000,876000000.000000,325139000000.000000,62187000000.000000,1643446000000.000000,2702569000000.000000,,125798000000.000000,,1142182000000.000000,207954000000.000000,1793000000.000000,1166616000000.000000,2518545000000.000000,58226000000.000000,2702569000000.000000,4346015000000.000000,,1533330000000.000000,352673000000.000000,702424000000.000000,30000000000.000000,672424000000.000000,702424000000.000000,64521000000.000000,1043026000000.000000,3695974000000.000000,8041989000000.000000,3066660000.000000
12M 2023,,,574580000000.000000,,531359000000.000000,446241000000.000000,85118000000.000000,531359000000.000000,49758000000.000000,35706000000.000000,14052000000.000000,49758000000.000000,448910000000.000000,39874000000.000000,1644481000000.000000,,,5791733000000.000000,3424000000.000000,406086000000.000000,6201243000000.000000,7845724000000.000000,,,948726000000.000000,21855000000.000000,,64749000000.000000,52129000000.000000,116878000000.000000,,64942000000.000000,39090000000.000000,104032000000.000000,62068000000.000000,64423000000.000000,,5400000000.000000,442731000000.000000,55045000000.000000,3208000000.000000,506384000000.000000,73086000000.000000,948726000000.000000,3120887000000.000000,3800000000.000000,159198000000.000000,,1869753000000.000000,170333000000.000000,4474000000.000000,861098000000.000000,2905658000000.000000,52231000000.000000,3120887000000.000000,4069613000000.000000,,1533330000000.000000,370021000000.000000,806962000000.000000,35000000000.000000,771962000000.000000,806962000000.000000,88101000000.000000,929732000000.000000,3728146000000.000000,7797759000000.000000,3066660000.000000
12M 2024,,,384284000000.000000,,634067000000.000000,500738000000.000000,133329000000.000000,634067000000.000000,104506000000.000000,71091000000.000000,33415000000.000000,104506000000.000000,446106000000.000000,57794000000.000000,1626757000000.000000,,,6078461000000.000000,3588000000.000000,361975000000.000000,6444024000000.000000,8070781000000.000000,,,580916000000.000000,,,79973000000.000000,41393000000.000000,121366000000.000000,,72979000000.000000,39216000000.000000,112195000000.000000,21412000000.000000,67844000000.000000,,,125538000000.000000,54002000000.000000,3548000000.000000,183088000000.000000,75011000000.000000,580916000000.000000,3640719000000.000000,3800000000.000000,138415000000.000000,,2534363000000.000000,172769000000.000000,1612000000.000000,737695000000.000000,3446439000000.000000,52065000000.000000,3640719000000.000000,4221635000000.000000,,1533330000000.000000,370021000000.000000,878789000000.000000,40000000000.000000,838789000000.000000,878789000000.000000,89481000000.000000,911929000000.000000,3783550000000.000000,8005185000000.000000,3066660000.000000
