Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.00,1513850.55,0.00,1513850.55,665 B,"2,026 B","2,691 B","2,509 B",69 B
12M 2016,1.06,826.57,1.06,826.57,"1,047 B","1,512 B","1,917 B","2,168 B",167 B
12M 2017,0.61,999.37,0.61,999.37,718 B,"1,930 B","2,649 B","2,304 B",512 B
12M 2018,0.68,1006.64,0.68,1006.64,980 B,"2,079 B","3,059 B","2,775 B",288 B
12M 2019,0.66,1057.16,0.66,1057.16,"1,592 B","1,631 B","3,223 B","2,943 B",(243 B)
12M 2020,0.83,1084.44,0.83,1084.44,"1,342 B","1,975 B","3,317 B","2,912 B",15 B
12M 2021,1.32,1148.83,1.32,1148.83,"1,669 B","2,430 B","4,099 B","3,290 B",64 B
12M 2022,1.64,1184.17,1.64,1184.17,"1,283 B","2,519 B","3,801 B","3,164 B",274 B
12M 2023,1.28,1186.97,1.28,1186.97,528 B,"2,906 B","3,434 B","2,859 B",696 B
12M 2024,1.16,1204.59,1.16,1204.59,183 B,"3,446 B","3,630 B","3,245 B","1,046 B"
