Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,1426441000000.000000,-806100000000.000000,620341000000.000000,-381962000000.000000,-217654000000.000000,-164308000000.000000,-381962000000.000000,238379000000.000000,-168063000000.000000,,-205348000000.000000,,37285000000.000000,-168063000000.000000,70316000000.000000,-22309000000.000000,,,-22309000000.000000,48007000000.000000,549697000000.000000,597704000000.000000,48007000000.000000,42260000000.000000,5747000000.000000,48007000000.000000,597704000000.000000,533415000000.000000,64289000000.000000,597704000000.000000
12M 2016,1651136000000.000000,-887573000000.000000,763563000000.000000,-422105000000.000000,-237607000000.000000,-184498000000.000000,-422105000000.000000,341458000000.000000,-253543000000.000000,,-279521000000.000000,,25978000000.000000,-253543000000.000000,87915000000.000000,-23628000000.000000,,,-23628000000.000000,64287000000.000000,8457000000.000000,72744000000.000000,64287000000.000000,54890000000.000000,9397000000.000000,64287000000.000000,72744000000.000000,61159000000.000000,11585000000.000000,72744000000.000000
12M 2017,1838417000000.000000,-996821000000.000000,841596000000.000000,-464984000000.000000,-246443000000.000000,-218541000000.000000,-464984000000.000000,376612000000.000000,-242792000000.000000,,-286044000000.000000,,43252000000.000000,-242792000000.000000,133820000000.000000,-36222000000.000000,,,-36222000000.000000,97598000000.000000,497072000000.000000,594670000000.000000,97598000000.000000,85569000000.000000,12029000000.000000,97598000000.000000,594670000000.000000,529921000000.000000,64749000000.000000,594670000000.000000
12M 2018,2073258000000.000000,-1133400000000.000000,939858000000.000000,-553247000000.000000,-300624000000.000000,-252623000000.000000,-553247000000.000000,386611000000.000000,-238972000000.000000,53350000000.000000,-295098000000.000000,-5337000000.000000,8113000000.000000,-238972000000.000000,147639000000.000000,-33265000000.000000,,,-33265000000.000000,114374000000.000000,4088000000.000000,118462000000.000000,114374000000.000000,99732000000.000000,14642000000.000000,114374000000.000000,118462000000.000000,103257000000.000000,15205000000.000000,118462000000.000000
12M 2019,2203617000000.000000,-1205820000000.000000,997797000000.000000,-600324000000.000000,-336028000000.000000,-264296000000.000000,-600324000000.000000,397473000000.000000,-259336000000.000000,,-332058000000.000000,,72722000000.000000,-259336000000.000000,138137000000.000000,-34706000000.000000,,,-34706000000.000000,103431000000.000000,64710000000.000000,168141000000.000000,103431000000.000000,100971000000.000000,2460000000.000000,103431000000.000000,168141000000.000000,164883000000.000000,3258000000.000000,168141000000.000000
12M 2020,2188179000000.000000,-1254746000000.000000,933433000000.000000,-573164000000.000000,-318622000000.000000,-254542000000.000000,-573164000000.000000,360269000000.000000,-264090000000.000000,,-355724000000.000000,,91634000000.000000,-264090000000.000000,96179000000.000000,3683000000.000000,,,3683000000.000000,99862000000.000000,-2361000000.000000,97501000000.000000,99862000000.000000,96412000000.000000,3450000000.000000,99862000000.000000,97501000000.000000,93987000000.000000,3514000000.000000,97501000000.000000
12M 2021,2738813000000.000000,-1507448000000.000000,1231365000000.000000,-661293000000.000000,-410314000000.000000,-250979000000.000000,-661293000000.000000,570072000000.000000,-294174000000.000000,,-360217000000.000000,,66043000000.000000,-294174000000.000000,275898000000.000000,-64413000000.000000,-23358000000.000000,-41055000000.000000,-64413000000.000000,211485000000.000000,2887000000.000000,214372000000.000000,211485000000.000000,204183000000.000000,7302000000.000000,211485000000.000000,214372000000.000000,207038000000.000000,7334000000.000000,214372000000.000000
12M 2022,2612464000000.000000,-1456948000000.000000,1155516000000.000000,-706792000000.000000,-412488000000.000000,-294304000000.000000,-706792000000.000000,448724000000.000000,-309874000000.000000,,-337627000000.000000,,27753000000.000000,-309874000000.000000,138850000000.000000,-34954000000.000000,-14445000000.000000,-20509000000.000000,-34954000000.000000,103896000000.000000,36837000000.000000,140733000000.000000,103896000000.000000,99338000000.000000,4558000000.000000,103896000000.000000,140733000000.000000,136077000000.000000,4656000000.000000,140733000000.000000
12M 2023,2822745000000.000000,-1526165000000.000000,1296580000000.000000,-819723000000.000000,-497741000000.000000,-321982000000.000000,-819723000000.000000,476857000000.000000,-263634000000.000000,17557000000.000000,-291421000000.000000,,10230000000.000000,-263634000000.000000,213223000000.000000,-43409000000.000000,-34344000000.000000,-9065000000.000000,-43409000000.000000,169814000000.000000,253000000.000000,170067000000.000000,169814000000.000000,165413000000.000000,4401000000.000000,169814000000.000000,170067000000.000000,165700000000.000000,4367000000.000000,170067000000.000000
12M 2024,2907675000000.000000,-1635701000000.000000,1271974000000.000000,-884564000000.000000,-549617000000.000000,-334947000000.000000,-884564000000.000000,387410000000.000000,-272351000000.000000,23074000000.000000,-314178000000.000000,,18753000000.000000,-272351000000.000000,115059000000.000000,-4863000000.000000,,,-4863000000.000000,110196000000.000000,-4537000000.000000,105659000000.000000,110196000000.000000,104947000000.000000,5249000000.000000,110196000000.000000,105659000000.000000,100506000000.000000,5153000000.000000,105659000000.000000
