Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada :,Pemasok,Direksi Dan Karyawan,Total Pembayaran Kas Kepada :,Pembayaran Beban Pajak,Penerimaan Restitusi Pajak,Penerimaan Penghasilan Bunga,Pembayaran Beban Keuangan,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Investasi Jangka Pendek,Penerimaan Investasi Jangka Pendek,Penerimaan Dari Klaim Asuransi Aset Hak Guna,Penerimaan Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Pembayaran Perolehan Entitas Anak,Penambahan Aset Hak Guna,Utang Pihak Berelasi,Pembayaran Piutang Pihak Berelasi,Penerimaan Piutang Pihak Berelasi,Penerimaan Dari Deposito Berjangka,Penempatan Deposito Berjangka,Penerimaan Aset Tidak Lancar Lainnya,Pembayaran Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan:,Utang Bank,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Saham Treasuri,Utang Bank Jangka Panjang Dan Dana Syirkah Temporer,Utang Pihak Berelasi,Setoran Modal,Tambahan Modal Disetor,Penerbitan Obligasi Dan Sukuk,Penerbitan Saham Kepada Non Pengendali,Obligasi,Total Penambahan:,Pembayaran:,Utang Bank,Utang Bank Jangka Panjang,Utang Bank Jangka Panjang (Pembayaran Di Percepat),Utang Bank Jangka Panjang Dan Dana Syirkah Temporer,Dana Syirkah Temporer,Utang Sewa Pembiayaan,Utang Lembaga Keuangan,Utang Pihak Berelasi,Dividen Tunai,Dividen,Dividen Kas Ke Pihak Nonpengendali,Obligasi,Biaya Emisi Penerbitan Obligasi,Saham Treasuri,Total Pembayaran:,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2015,3285000000.000000,1425688000000.000000,,-1065531000000.000000,-145555000000.000000,-1211086000000.000000,-19468000000.000000,,5656000000.000000,-200732000000.000000,3227000000.000000,3285000000.000000,-670276000000.000000,-143371000000.000000,,,,60515000000.000000,-563070000000.000000,,,,,-24350000000.000000,,,,,-670276000000.000000,626470000000.000000,,242132000000.000000,,,,779817000000.000000,,,13333000000.000000,,,,1035282000000.000000,,-4270000000.000000,,,-347149000000.000000,,-21358000000.000000,-3023000000.000000,-33012000000.000000,,,,,,,-408812000000.000000,,626470000000.000000,-40521000000.000000,222045000000.000000,,181524000000.000000
12M 2016,129110000000.000000,1803523000000.000000,,-1226202000000.000000,-179078000000.000000,-1405280000000.000000,-15316000000.000000,,11718000000.000000,-276087000000.000000,10552000000.000000,129110000000.000000,-736676000000.000000,-34539000000.000000,-80000000000.000000,,,13037000000.000000,-524152000000.000000,,,,,-111022000000.000000,,,,,-736676000000.000000,816423000000.000000,,210580000000.000000,,,,216747000000.000000,,964326000000.000000,9000000000.000000,,,,1400653000000.000000,,-305685000000.000000,,,-250726000000.000000,,-21526000000.000000,-2560000000.000000,-3733000000.000000,,,,,,,-584230000000.000000,,816423000000.000000,208857000000.000000,181524000000.000000,,390381000000.000000
12M 2017,213726000000.000000,1874401000000.000000,,-1191166000000.000000,-218296000000.000000,-1409462000000.000000,-17013000000.000000,,39893000000.000000,-272736000000.000000,-1357000000.000000,213726000000.000000,-299130000000.000000,-79208000000.000000,,,,16381000000.000000,-296143000000.000000,,,,,59840000000.000000,,,,,-299130000000.000000,39374000000.000000,,1495000000.000000,,,,35231000000.000000,,,2500000000.000000,,,699220000000.000000,738446000000.000000,,-6493000000.000000,,,-268908000000.000000,,-24925000000.000000,-3672000000.000000,-5074000000.000000,,,,-390000000000.000000,,,-699072000000.000000,,39374000000.000000,-46030000000.000000,390381000000.000000,,344351000000.000000
12M 2018,311207000000.000000,2212457000000.000000,,-1407467000000.000000,-236459000000.000000,-1643926000000.000000,-19101000000.000000,,53350000000.000000,-286106000000.000000,-5467000000.000000,311207000000.000000,-630319000000.000000,-44317000000.000000,,,,122130000000.000000,-284962000000.000000,-328680000000.000000,,,-94490000000.000000,,,,,,-630319000000.000000,259233000000.000000,,,,,,561159000000.000000,,,,,,,561159000000.000000,,,,,-247330000000.000000,,-42038000000.000000,-3255000000.000000,-9303000000.000000,,,,,,,-301926000000.000000,,259233000000.000000,-59879000000.000000,344351000000.000000,,284472000000.000000
12M 2019,415975000000.000000,2392136000000.000000,,-1443105000000.000000,-251717000000.000000,-1694822000000.000000,-22018000000.000000,,63173000000.000000,-324030000000.000000,1536000000.000000,415975000000.000000,-441559000000.000000,-81068000000.000000,,,,96102000000.000000,-378833000000.000000,,,,-77760000000.000000,,,,,,-441559000000.000000,20630000000.000000,,286230000000.000000,,,,120408000000.000000,,,,,,,406638000000.000000,,,,,-311451000000.000000,,-55951000000.000000,-1781000000.000000,-6661000000.000000,,-10164000000.000000,,,,,-386008000000.000000,,20630000000.000000,-4954000000.000000,284472000000.000000,,279518000000.000000
12M 2020,364251000000.000000,2354849000000.000000,,-1454757000000.000000,-249924000000.000000,-1704681000000.000000,-18322000000.000000,546000000.000000,79721000000.000000,-351215000000.000000,3353000000.000000,364251000000.000000,-278108000000.000000,-29884000000.000000,80000000000.000000,,,31437000000.000000,-241669000000.000000,,-25618000000.000000,67626000000.000000,,,,,,-160000000000.000000,-278108000000.000000,39503000000.000000,,111127000000.000000,,443115000000.000000,,,,,,,,316076000000.000000,870318000000.000000,,-21175000000.000000,-245491000000.000000,,,,-56590000000.000000,-1453000000.000000,-2682000000.000000,,,,-494000000000.000000,,-9424000000.000000,-830815000000.000000,,39503000000.000000,125646000000.000000,279518000000.000000,,405164000000.000000
12M 2021,605946000000.000000,2927568000000.000000,,-1750174000000.000000,-255961000000.000000,-2006135000000.000000,-18828000000.000000,94000000.000000,44051000000.000000,-341489000000.000000,685000000.000000,605946000000.000000,-772404000000.000000,-13947000000.000000,,,,71683000000.000000,-935869000000.000000,,-26959000000.000000,-27312000000.000000,,,,,,160000000000.000000,-772404000000.000000,570388000000.000000,,259080000000.000000,,313380000000.000000,,,,,,,,774762000000.000000,1347222000000.000000,,-172499000000.000000,-199230000000.000000,,,,-66280000000.000000,-891000000.000000,-17032000000.000000,,-9588000000.000000,-6314000000.000000,-305000000000.000000,,,-776834000000.000000,,570388000000.000000,403930000000.000000,405164000000.000000,,809094000000.000000
12M 2022,522544000000.000000,2821993000000.000000,,-1689756000000.000000,-284120000000.000000,-1973876000000.000000,-39485000000.000000,6740000000.000000,42384000000.000000,-324164000000.000000,-11048000000.000000,522544000000.000000,-272842000000.000000,-47746000000.000000,-30381000000.000000,12991000000.000000,88000000.000000,71157000000.000000,-289619000000.000000,,-2894000000.000000,13562000000.000000,,,,,,,-272842000000.000000,-421889000000.000000,,100929000000.000000,,50223000000.000000,,,,,,,,392780000000.000000,543932000000.000000,,,-340604000000.000000,,,,-71420000000.000000,-1294000000.000000,,,-32503000000.000000,,-520000000000.000000,,,-965821000000.000000,,-421889000000.000000,-172187000000.000000,809094000000.000000,,636907000000.000000
12M 2023,659194000000.000000,3151207000000.000000,,-1813875000000.000000,-337384000000.000000,-2151259000000.000000,-47982000000.000000,7008000000.000000,17559000000.000000,-317339000000.000000,,659194000000.000000,-323869000000.000000,-80938000000.000000,39675000000.000000,,,27061000000.000000,-309667000000.000000,,,,,,,,,,-323869000000.000000,-397675000000.000000,,6331000000.000000,,1985825000000.000000,26178000000.000000,,,,,,,140000000000.000000,2158334000000.000000,,-943236000000.000000,-1466949000000.000000,,,,-114302000000.000000,-3609000000.000000,,,-18913000000.000000,,-9000000000.000000,,,-2556009000000.000000,,-397675000000.000000,-62350000000.000000,636930000000.000000,,574580000000.000000
12M 2024,273248000000.000000,2908230000000.000000,,-2005277000000.000000,-298995000000.000000,-2304272000000.000000,-58196000000.000000,12143000000.000000,23074000000.000000,-307731000000.000000,,273248000000.000000,-546209000000.000000,-78431000000.000000,,,,44100000000.000000,-506647000000.000000,,,,,,5000000000.000000,-1682000000.000000,-8549000000.000000,,-546209000000.000000,82665000000.000000,,,,681238000000.000000,,,,,,,,,681238000000.000000,,-21811000000.000000,-20800000000.000000,,,,-71527000000.000000,-3842000000.000000,,,-36893000000.000000,,-443700000000.000000,,,-598573000000.000000,,82665000000.000000,-190296000000.000000,574580000000.000000,,384284000000.000000
