Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Untuk Beban Operasional Lainnya,Pembayaran Bunga,Pembayaran Beban Usaha,Pembayaran Beban Operasional Lainnya,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Investasi,Penambahan Aset Eksplorasi Dan Evaluasi,Hasil Penjualan Aset Tetap,Penambahan Properti Pertambangan,Penjualan Properti Pertambangan,Perolehan Aset Tidak Lancar Lainnya,Pembayaran Untuk Akuisisi Entitas Anak,Pelepasan Entitas Anak,Penurunan (Kenaikan) Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Setoran Modal,Penerimaan (Pembayaran) Utang Bank,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Emisi Saham,Penerimaan Pinjaman Lainnya,Penurunan (Kenaikan) Utang Pihak Ketiga,Penurunan (Kenaikan) Utang Pihak Berelasi,Penjualan Saham Pada Entitas Anak Tanpa Hilangnya Pengendalian,Selisih Penurunan Modal Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,39738410312.000000,79551733081.000000,-4086328197.000000,-35421246068.000000,,,-305748504.000000,,39738410312.000000,-23118766870.000000,-11439235686.000000,,-14802902144.000000,2090103487.000000,,,,-875000000.000000,,1908267473.000000,-23118766870.000000,-12112119646.000000,54000000000.000000,-13886227179.000000,,-51084000.000000,,,,-55905808467.000000,3731000000.000000,,-12112119646.000000,4507523796.000000,7779746808.000000,12287270604.000000
12M 2017,73084067411.000000,209702419422.000000,-11360737181.000000,-125622184827.000000,,,2540572091.000000,-2176002094.000000,73084067411.000000,-122812057758.000000,-43026815369.000000,,-79839038461.000000,,,,,,,53796072.000000,-122812057758.000000,53002369501.000000,40000000000.000000,60649709457.000000,,,,,,-47647339956.000000,,,53002369501.000000,3274379154.000000,12287270604.000000,15561649758.000000
12M 2018,1413979899.000000,326414662449.000000,-20372818141.000000,-290649093783.000000,,,-10075935938.000000,-3902834688.000000,1413979899.000000,-113203875200.000000,-102402503700.000000,,-14793046100.000000,,,,,,,3991674600.000000,-113203875200.000000,139344130220.000000,160000000000.000000,-51505570292.000000,42176758791.000000,,-8051474607.000000,,,-3275583672.000000,,,139344130220.000000,27554234919.000000,15561649758.000000,43115884677.000000
12M 2019,-37728850376.000000,263817026518.000000,-22624446333.000000,-265052950559.000000,,,-9815052877.000000,-4053427125.000000,-37728850376.000000,-190262081982.000000,-112221759716.000000,,51291746194.000000,,-122176922884.000000,,,,,-7155145576.000000,-190262081982.000000,232762633820.000000,,179838212862.000000,62164496120.000000,,,,,-9240075162.000000,,,232762633820.000000,4771701462.000000,43115884677.000000,47887586139.000000
12M 2020,17895035014.000000,183051286608.000000,-22624446333.000000,-125420166693.000000,,,-14610718945.000000,-2500919623.000000,17895035014.000000,-39652789852.000000,-20756018808.000000,,-17678949151.000000,935000000.000000,-2152821893.000000,,,,,,-39652789852.000000,-24330228591.000000,,-29977600206.000000,-5664493490.000000,,,,,11311865105.000000,,,-24330228591.000000,-46087983429.000000,47887586139.000000,1799602710.000000
12M 2021,-20237096265.000000,46784738801.000000,-3424169530.000000,-52002455733.000000,,,-9104553830.000000,-2490655973.000000,-20237096265.000000,-6941754433.000000,-6943584501.000000,-500000.000000,,,-247669932.000000,,,,,250000000.000000,-6941754433.000000,27321791415.000000,,3207350300.000000,2823191407.000000,,,,,21291249708.000000,,,27321791415.000000,142940717.000000,1799602710.000000,1942543427.000000
12M 2022,-33934427060.000000,513016281837.000000,-21127101019.000000,-332975790393.000000,-118335148796.000000,-35499705114.000000,-31257290623.000000,-7755672952.000000,-33934427060.000000,-6798360188.000000,-6994160188.000000,,,195800000.000000,,,,,,,-6798360188.000000,54104293607.000000,,-13837796810.000000,-4231666351.000000,,,,81598298664.000000,-9424541896.000000,,,54104293607.000000,13371506359.000000,1942543427.000000,15314049786.000000
