Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2016,-0.00,-76791.67,-0.00,-76791.67,,,,(12 B),(205 B)
12M 2017,0.00,16491.93,0.00,16491.93,50 B,25 B,75 B,59 B,(138 B)
12M 2018,12.57,190.87,12.57,190.87,15 B,8 B,23 B,(20 B),(40 B)
12M 2019,1.25,138.12,1.25,138.12,70 B,176 B,247 B,199 B,78 B
12M 2020,2.40,62.41,2.40,62.41,82 B,115 B,197 B,196 B,(94 B)
12M 2021,-1.27,-55.73,-1.27,-55.73,99 B,112 B,211 B,209 B,(124 B)
12M 2022,-3.16,-28.13,-3.16,-28.13,35 B,302 B,337 B,321 B,(51 B)
