Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Pajak Final,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Piutang Lain-Lain Pihak Berelasi,Penerimaan Bunga Dari Piutang Lain-Lain Pihak Ketiga,Penerimaan Dari Piutang Lain-Lain Pihak Ketiga,Pencairan Deposito Berjangka,Penambahan Piutang Lain-Lain Pihak Berelasi,Perolehan Aset Tetap,Penempatan Deposito Berjangka,Perolehan Properti Investasi,Penambahan Piutang Lain-Lain Pihak Ketiga,Penambahan Investasi Dalam Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penerimaan Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Bank,Pembayaran Utang Lain-Lain Pihak Berelasi,Pembayaran Dividen,Pembayaran Bunga Pinjaman Bank,Uang Muka Setoran Modal Dari Pihak Nonpengendali,Pembayaran Biaya Penerbitan Saham,Pembayaran Liabilitas Sewa,Pembayaran Bunga Liabilitas Sewa,Penerimaan Setoran Modal Dari Pihak Nonpengendali,Penerimaan Dari Penerbitan Saham,Penerimaan Dari Piutang Lain-Lain Pihak Berelasi,Pembayaran Utang Obligasi,Pembayaran Bunga Utang Obligasi,Penerimaan Dari Penerbitan Utang Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-82023210000.000000,2375431345000.000000,-2401608667000.000000,-15132907000.000000,8742862000.000000,-49454919000.000000,-924000.000000,-82023210000.000000,-161908753000.000000,,,,,,-5939045000.000000,-155969708000.000000,,,,-161908753000.000000,762318837000.000000,67083550000.000000,418607073000.000000,-79946074000.000000,-63282600000.000000,-500000000000.000000,-3587263000.000000,100000000000.000000,,,,,,602945462000.000000,-662015745000.000000,-39785566000.000000,922300000000.000000,762318837000.000000,518386874000.000000,133285895000.000000,651672769000.000000
12M 2022,601994275000.000000,3279862335000.000000,-2526463044000.000000,-71152302000.000000,18367990000.000000,-98620205000.000000,-499000.000000,601994275000.000000,24949641000.000000,,,,35110400000.000000,,-4873820000.000000,-5286939000.000000,,,,24949641000.000000,76165215000.000000,349858403000.000000,699063466000.000000,-143133865000.000000,-3748216844000.000000,,-25567021000.000000,92051279000.000000,,-6610662000.000000,,,6499920900000.000000,627935186000.000000,-4137800000000.000000,-131335627000.000000,,76165215000.000000,703109131000.000000,651672769000.000000,1354781900000.000000
12M 2023,966766816000.000000,3099214716000.000000,-1991659972000.000000,-64046892000.000000,31216670000.000000,-93919412000.000000,-14038294000.000000,966766816000.000000,-1361016644000.000000,164350231000.000000,94451389000.000000,1524000000000.000000,60246464000.000000,-941585363000.000000,-7978861000.000000,-18499504000.000000,,-2224000000000.000000,-12001000000.000000,-1361016644000.000000,-672672847000.000000,69984840000.000000,23215470000.000000,-135088433000.000000,-10205670000.000000,-650000000000.000000,-64168754000.000000,97648934000.000000,,-3822836000.000000,-238398000.000000,2000000.000000,,,,,,-672672847000.000000,-1066922675000.000000,1354781900000.000000,287859225000.000000
12M 2024,1841415078000.000000,3273508582000.000000,-1294647267000.000000,-48284422000.000000,18655644000.000000,-89523346000.000000,-18294113000.000000,1841415078000.000000,1783852555000.000000,2398181601000.000000,67877995000.000000,787690875000.000000,32481209000.000000,-1365663334000.000000,-114707087000.000000,-21285319000.000000,-723385000.000000,,,1783852555000.000000,-455216913000.000000,158970123000.000000,99476370000.000000,-116452480000.000000,-117742895000.000000,-360547322000.000000,-29868553000.000000,-88084856000.000000,-967300000.000000,,,,,,,,,-455216913000.000000,3170050720000.000000,287859225000.000000,3457909945000.000000
