Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Deposito Berjangka,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Obligasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,651672769000.000000,580455000.000000,,580455000.000000,580455000.000000,636436580000.000000,630171542000.000000,6265038000.000000,636436580000.000000,2660238787000.000000,424883843000.000000,4373812434000.000000,,171687263000.000000,744918525000.000000,744918525000.000000,744918525000.000000,7193698928000.000000,642828581000.000000,,5400548000.000000,,8758533845000.000000,13132346279000.000000,,,9730284005000.000000,,,352154332000.000000,352154332000.000000,,3051032823000.000000,33659242000.000000,3084692065000.000000,36301301000.000000,59452193000.000000,4137800000000.000000,,93044128000.000000,,,93044128000.000000,1966839986000.000000,9730284005000.000000,2969821524000.000000,,83227749000.000000,,6138009000.000000,89365758000.000000,2880455766000.000000,2969821524000.000000,12700105529000.000000,,50000000000.000000,,145085963000.000000,10000000000.000000,135085963000.000000,145085963000.000000,212204663000.000000,24950124000.000000,432240750000.000000,13132346279000.000000,100000.000000
12M 2022,,,1354781900000.000000,486159000.000000,,486159000.000000,486159000.000000,6794979000.000000,2651336000.000000,4143643000.000000,6794979000.000000,6987411604000.000000,589467155000.000000,8938941797000.000000,,141863802000.000000,541882088000.000000,541882088000.000000,541882088000.000000,5462627040000.000000,653824312000.000000,,9128598000.000000,7266374000.000000,6816592214000.000000,15755534011000.000000,,,5460034169000.000000,,46035000.000000,449850566000.000000,449896601000.000000,,4943045000.000000,42393000.000000,4985438000.000000,48992084000.000000,,,,120974688000.000000,4818290000.000000,,125792978000.000000,4830367068000.000000,5460034169000.000000,3012867368000.000000,,262021727000.000000,2528181000.000000,25708714000.000000,290258622000.000000,2722608746000.000000,3012867368000.000000,8472901537000.000000,,102041000000.000000,3256310228000.000000,421777897000.000000,10000000000.000000,411777897000.000000,421777897000.000000,3502503349000.000000,,7282632474000.000000,15755534011000.000000,204082.000000
12M 2023,,,287859225000.000000,348935000.000000,,348935000.000000,348935000.000000,1634939693000.000000,779886468000.000000,855053225000.000000,1634939693000.000000,6994491202000.000000,733232095000.000000,9650871150000.000000,,100116842000.000000,270130575000.000000,270130575000.000000,270130575000.000000,6395669933000.000000,653519783000.000000,,15326076000.000000,12001000000.000000,7446764209000.000000,17097635359000.000000,,,6380563549000.000000,,2291709000.000000,323056881000.000000,325348590000.000000,,23414045000.000000,285795000.000000,23699840000.000000,29568033000.000000,2191358000.000000,,,48114268000.000000,,3738278000.000000,51852546000.000000,5947903182000.000000,6380563549000.000000,3035192567000.000000,,269778554000.000000,,14757075000.000000,284535629000.000000,2750656938000.000000,3035192567000.000000,9415756116000.000000,,102041000000.000000,3256310228000.000000,350548186000.000000,10000000000.000000,340548186000.000000,350548186000.000000,3972979829000.000000,,7681879243000.000000,17097635359000.000000,204082.000000
12M 2024,,,3457909945000.000000,213474347000.000000,213393125000.000000,81222000.000000,213474347000.000000,61734774000.000000,1560451000.000000,60174323000.000000,61734774000.000000,7045792248000.000000,787366224000.000000,11566277538000.000000,,88920952000.000000,,,,6616353935000.000000,642700165000.000000,8175557000.000000,141702370000.000000,17469906000.000000,7515322885000.000000,19081600423000.000000,,,8166524518000.000000,,5921790000.000000,375733349000.000000,381655139000.000000,,5147520000.000000,388562000.000000,5536082000.000000,36815176000.000000,16501294000.000000,,,75329644000.000000,,2881701000.000000,78211345000.000000,7647805482000.000000,8166524518000.000000,2586039589000.000000,,285080821000.000000,,12548457000.000000,297629278000.000000,2288410311000.000000,2586039589000.000000,10752564107000.000000,,102041000000.000000,3538946302000.000000,914828767000.000000,10100000000.000000,904728767000.000000,914828767000.000000,3773220247000.000000,,8329036316000.000000,19081600423000.000000,5102050000.000000
