Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3422199694667.000000,-2964915199089.000000,457284495578.000000,-202693788636.000000,254590706942.000000,-122397343299.000000,-88610018352.000000,-26546312574.000000,3318325752.000000,660876217.000000,-4117099572.000000,,-7103114770.000000,-122397343299.000000,132193363643.000000,-50118559607.000000,82074804036.000000,-52118373599.000000,29956430437.000000,,,29956430437.000000,82074804036.000000,-52118373599.000000,29956430437.000000,,,,
12M 2009,3396917071000.000000,-3013536815939.000000,383380255061.000000,-255361961940.000000,128018293121.000000,-38224795248.000000,12816056572.000000,-34189853435.000000,3424533214.000000,-33181413.000000,2745541026.000000,,-22987891212.000000,-38224795248.000000,89793497873.000000,-31997915297.000000,57795582576.000000,-47730944296.000000,10064638280.000000,,,10064638280.000000,57795582576.000000,-47730944296.000000,10064638280.000000,,,,
12M 2010,3953971372337.000000,-3462764475020.000000,491206897317.000000,-276554099374.000000,214652797943.000000,-56439695400.000000,7319251921.000000,-29102200948.000000,3726307683.000000,1836785271.000000,1942366475.000000,9949598725.000000,-52111804527.000000,-56439695400.000000,158213102543.000000,-56415341539.000000,101797761004.000000,-71359193334.000000,30438567670.000000,,,30438567670.000000,101797761004.000000,-71359193334.000000,30438567670.000000,,,,
12M 2011,4408711598083.000000,-4029796757850.000000,378914840233.000000,-219849335899.000000,159065504334.000000,-52697869606.000000,,-19656803341.000000,3101754599.000000,,2328320963.000000,,-38471141827.000000,-52697869606.000000,106367634728.000000,-36746910829.000000,69620723899.000000,,69620723899.000000,-447115271.000000,69173608628.000000,69620723899.000000,43425028402.000000,26195695497.000000,69620723899.000000,69173608628.000000,43066126379.000000,26107482249.000000,69173608628.000000
12M 2012,5172997019086.000000,-4745365559644.000000,427631459442.000000,-228124507445.000000,199506951997.000000,-31187532610.000000,,-25873617921.000000,3943505962.000000,,1683518286.000000,,-10940938937.000000,-31187532610.000000,168319419387.000000,-51458865224.000000,116860554163.000000,,116860554163.000000,12710251730.000000,129570805893.000000,116860554163.000000,79671000806.000000,37189553357.000000,116860554163.000000,129570805893.000000,93803418258.000000,35767387635.000000,129570805893.000000
12M 2013,7325303244436.000000,-6761749864552.000000,563553379884.000000,-264792928327.000000,298760451557.000000,-57970324343.000000,-28224084064.000000,-24055082720.000000,4944514264.000000,,5125345204.000000,,-15761017027.000000,-57970324343.000000,240790127214.000000,-70559388293.000000,170230738921.000000,,170230738921.000000,70867752970.000000,241098491891.000000,170230738921.000000,113747572171.000000,56483166750.000000,170230738921.000000,241098491891.000000,184710271125.000000,56388220766.000000,241098491891.000000
12M 2014,8444569577522.000000,-7789951947479.000000,654617630043.000000,-288933524671.000000,365684105372.000000,-12487410301.000000,13292642668.000000,-44255218850.000000,6423981899.000000,,5998255974.000000,,6052928008.000000,-12487410301.000000,353196695071.000000,-84203873818.000000,268992821253.000000,,268992821253.000000,10086917643.000000,279079738896.000000,268992821253.000000,179659435131.000000,89333386122.000000,268992821253.000000,279079738896.000000,189687843428.000000,89391895468.000000,279079738896.000000
12M 2015,9960071000000.000000,-9207218000000.000000,752853000000.000000,-327897000000.000000,424956000000.000000,-8217000000.000000,21423000000.000000,-53205000000.000000,8208000000.000000,,5596000000.000000,,9761000000.000000,-8217000000.000000,416739000000.000000,-90105000000.000000,326634000000.000000,,326634000000.000000,50072000000.000000,376706000000.000000,326634000000.000000,226634000000.000000,100000000000.000000,326634000000.000000,376706000000.000000,276084000000.000000,100622000000.000000,376706000000.000000
12M 2016,10048153000000.000000,-9241851000000.000000,806302000000.000000,-363678000000.000000,442624000000.000000,-13268000000.000000,-10453000000.000000,-43440000000.000000,9652000000.000000,,3312000000.000000,,27661000000.000000,-13268000000.000000,429356000000.000000,-106479000000.000000,322877000000.000000,,322877000000.000000,-9947000000.000000,312930000000.000000,322877000000.000000,220662000000.000000,102215000000.000000,322877000000.000000,312930000000.000000,210569000000.000000,102361000000.000000,312930000000.000000
12M 2017,10817141000000.000000,-9966264000000.000000,850877000000.000000,-386110000000.000000,464767000000.000000,3716000000.000000,-1282000000.000000,-17637000000.000000,8958000000.000000,,2805000000.000000,,10872000000.000000,3716000000.000000,468483000000.000000,-94242000000.000000,374241000000.000000,,374241000000.000000,-8753000000.000000,365488000000.000000,374241000000.000000,247413000000.000000,126828000000.000000,374241000000.000000,365488000000.000000,239660000000.000000,125828000000.000000,365488000000.000000
