Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Piutang Sewa Pembiayaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Investasi Jangka Panjang,Piutang Sewa Pembiayaan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Pinjaman Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Sukuk Ijarah,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Sukuk Ijarah,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,218592542065.000000,448871718024.000000,,448871718024.000000,448871718024.000000,11287816490.000000,230526243984.000000,,79383762213.000000,988662082776.000000,,,14051314877.000000,15323801308.000000,,70304467126.000000,79130606547.000000,,,121323231569.000000,300133421427.000000,1288795504203.000000,,,740209280855.000000,291219720758.000000,,75648578700.000000,159518796338.000000,235167375038.000000,10059914554.000000,23642460898.000000,,23642460898.000000,49502475987.000000,,,5433566609.000000,,,,5433566609.000000,125183767011.000000,740209280855.000000,128826431712.000000,132396450.000000,,,88299680215.000000,,,88299680215.000000,40394355047.000000,128826431712.000000,869035712567.000000,,102096296150.000000,41605123843.000000,169783766942.000000,21000000000.000000,148783766942.000000,169783766942.000000,102608979515.000000,3665625186.000000,419759791636.000000,1288795504203.000000,2041925923.000000
12M 2009,,,159279822777.000000,351529895519.000000,,351529895519.000000,351529895519.000000,14684007888.000000,158882825221.000000,,90647027672.000000,775023579077.000000,,,18572422229.000000,20981801727.000000,,64601055592.000000,67383209241.000000,,,112492128640.000000,284030617429.000000,1059054196506.000000,,,519016289786.000000,127927987760.000000,,46920870800.000000,147100187021.000000,194021057821.000000,9127980863.000000,24789275516.000000,,24789275516.000000,55631602846.000000,,,6266716274.000000,,,,6266716274.000000,101251668706.000000,519016289786.000000,134759406917.000000,,,7833245600.000000,76445659077.000000,,,84278904677.000000,50480502240.000000,134759406917.000000,653775696703.000000,,102096296150.000000,41605123843.000000,177806479299.000000,21000000000.000000,156806479299.000000,177806479299.000000,85017081204.000000,-1246480693.000000,405278499803.000000,1059054196506.000000,2041925923.000000
12M 2010,,,97056008485.000000,314356785257.000000,,314356785257.000000,314356785257.000000,16912932159.000000,216338746539.000000,,89967014809.000000,734631487249.000000,,,16739783833.000000,11443194397.000000,,78487542620.000000,20840055252.000000,,,83099938581.000000,210610514683.000000,945242001932.000000,,,456242714853.000000,136663200000.000000,,,181985722189.000000,181985722189.000000,10994354899.000000,11596209777.000000,,11596209777.000000,44785890973.000000,,,14480491865.000000,,,,14480491865.000000,55736845150.000000,456242714853.000000,128322824946.000000,,,12136498712.000000,72810637939.000000,,,84947136651.000000,43375688295.000000,128322824946.000000,584565539799.000000,,107196296150.000000,46194251343.000000,206203121046.000000,21000000000.000000,185203121046.000000,206203121046.000000,2529324833.000000,-1446531239.000000,360676462133.000000,945242001932.000000,2143925923.000000
12M 2011,,,207788298827.000000,402383571945.000000,,402383571945.000000,402383571945.000000,25320914617.000000,260206528944.000000,,127004999741.000000,1022704314074.000000,,,21475111885.000000,11841701068.000000,,131879360975.000000,,,,86384780902.000000,251580954830.000000,1274285268904.000000,,,543437292735.000000,112760434912.000000,,,237524833710.000000,237524833710.000000,11546764089.000000,15940767330.000000,,15940767330.000000,96163927368.000000,,,18394892907.000000,,,,18394892907.000000,51105672419.000000,543437292735.000000,148325046552.000000,,,22628358741.000000,73181616795.000000,,,95809975536.000000,52515071016.000000,148325046552.000000,691762339287.000000,,112300000000.000000,52420770040.000000,240970785757.000000,22000000000.000000,218970785757.000000,240970785757.000000,178636807082.000000,-1805433262.000000,582522929617.000000,1274285268904.000000,2246000000.000000
12M 2012,,,222489518830.000000,589871585519.000000,,589871585519.000000,589871585519.000000,21053503437.000000,342766628827.000000,,155666984067.000000,1331848220680.000000,,,21412824843.000000,22082881614.000000,,223294707702.000000,,,,63742071235.000000,330532485394.000000,1662380706074.000000,,,876703957736.000000,148193576785.000000,,2867599820.000000,457328434558.000000,460196034378.000000,11968844106.000000,10934009779.000000,,10934009779.000000,122846309586.000000,,,13968576090.000000,,73701096445.000000,,87669672535.000000,34895510567.000000,876703957736.000000,85242096564.000000,,,28732732090.000000,,,,28732732090.000000,56509364474.000000,85242096564.000000,961946054300.000000,,112300000000.000000,52420770040.000000,296612520952.000000,23000000000.000000,273612520952.000000,296612520952.000000,214078081817.000000,25023278965.000000,700434651774.000000,1662380706074.000000,2246000000.000000
12M 2013,,,108143962968.000000,1084275857135.000000,731214575.000000,1083544642560.000000,1084275857135.000000,9865360576.000000,638655318332.000000,87524369967.000000,110878529292.000000,2039343398270.000000,,,24904146746.000000,27492276276.000000,,82793730796.000000,,,71798646294.000000,50659529280.000000,257648329392.000000,2296991727662.000000,,,1259599199271.000000,189644869100.000000,,2992387311.000000,756924995026.000000,759917382337.000000,14012699994.000000,16722655528.000000,,16722655528.000000,195661681371.000000,,,10133398284.000000,8051773053.000000,,,18185171337.000000,65454739604.000000,1259599199271.000000,107089384726.000000,,,18648536172.000000,,15487331211.000000,,34135867383.000000,72953517343.000000,107089384726.000000,1366688583997.000000,,112300000000.000000,52420770040.000000,399130093123.000000,24000000000.000000,375130093123.000000,399130093123.000000,270466302583.000000,95985977919.000000,930303143665.000000,2296991727662.000000,2246000000.000000
12M 2014,,,295238992995.000000,1122745049188.000000,75023201.000000,1122670025987.000000,1122745049188.000000,44813990923.000000,790198347913.000000,85332640280.000000,140583771955.000000,2478912793254.000000,,,26862714762.000000,31873664688.000000,,93597759792.000000,,,56663466040.000000,51662606390.000000,260660211672.000000,2739573004926.000000,,,1457339828617.000000,125000000000.000000,,3979730160.000000,969046500312.000000,973026230472.000000,10635428960.000000,31289436624.000000,,31289436624.000000,258933725157.000000,,,11306687412.000000,11015856360.000000,,,22322543772.000000,36132463632.000000,1457339828617.000000,115025293748.000000,,,20054228540.000000,,12531720120.000000,,32585948660.000000,82439345088.000000,115025293748.000000,1572365122365.000000,,112300000000.000000,52420770040.000000,550714528254.000000,24000000000.000000,526714528254.000000,550714528254.000000,345758198051.000000,106014386216.000000,1167207882561.000000,2739573004926.000000,2246000000.000000
12M 2015,,,348683000000.000000,1543203000000.000000,17000000.000000,1543186000000.000000,1543203000000.000000,95480000000.000000,884933000000.000000,74312000000.000000,186581000000.000000,3133192000000.000000,,,23886000000.000000,37495000000.000000,,104526000000.000000,,,96324000000.000000,101242000000.000000,363473000000.000000,3496665000000.000000,,,1788359000000.000000,480814000000.000000,,2444000000.000000,883522000000.000000,885966000000.000000,13139000000.000000,37402000000.000000,,37402000000.000000,281365000000.000000,,,8892000000.000000,42155000000.000000,,,51047000000.000000,38626000000.000000,1788359000000.000000,159231000000.000000,,,27470000000.000000,,68384000000.000000,,95854000000.000000,63377000000.000000,159231000000.000000,1947590000000.000000,,115508000000.000000,93810000000.000000,719650000000.000000,29000000000.000000,690650000000.000000,719650000000.000000,446380000000.000000,173727000000.000000,1549075000000.000000,3496665000000.000000,2310169758.000000
12M 2016,,,530969000000.000000,1490177000000.000000,4392000000.000000,1485785000000.000000,1490177000000.000000,99087000000.000000,925492000000.000000,100131000000.000000,212910000000.000000,3358766000000.000000,,,19767000000.000000,39666000000.000000,,170453000000.000000,,,159218000000.000000,128151000000.000000,517255000000.000000,3876021000000.000000,,,1812433000000.000000,,,307000000.000000,1353216000000.000000,1353523000000.000000,18539000000.000000,30107000000.000000,,30107000000.000000,286245000000.000000,,,12992000000.000000,66478000000.000000,,,79470000000.000000,44549000000.000000,1812433000000.000000,214289000000.000000,,,22492000000.000000,,108817000000.000000,,131309000000.000000,82980000000.000000,214289000000.000000,2026722000000.000000,,118808000000.000000,138032000000.000000,880084000000.000000,29000000000.000000,851084000000.000000,880084000000.000000,548741000000.000000,163634000000.000000,1849299000000.000000,3876021000000.000000,2376172964.000000
12M 2017,,,521731000000.000000,1748813000000.000000,9694000000.000000,1739119000000.000000,1748813000000.000000,28049000000.000000,1058613000000.000000,118184000000.000000,222026000000.000000,3697416000000.000000,,,26379000000.000000,45307000000.000000,,203781000000.000000,,23549000000.000000,159041000000.000000,115654000000.000000,573711000000.000000,4271127000000.000000,,,1851160000000.000000,20000000000.000000,,3035000000.000000,1303385000000.000000,1306420000000.000000,11398000000.000000,26729000000.000000,,26729000000.000000,334179000000.000000,,,13004000000.000000,87093000000.000000,,,100097000000.000000,52337000000.000000,1851160000000.000000,218249000000.000000,,,9508000000.000000,,99069000000.000000,,108577000000.000000,109672000000.000000,218249000000.000000,2069409000000.000000,,122769000000.000000,183179000000.000000,1065320000000.000000,29000000000.000000,1036320000000.000000,1065320000000.000000,674569000000.000000,155881000000.000000,2201718000000.000000,4271127000000.000000,2455376917.000000
