Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,"2,801 B","(1,515 B)","1,287 B",1659500.28
12M 2020,"3,209 B",(674 B),"2,536 B",3270624.44
12M 2021,"3,547 B",(374 B),"3,172 B",204367.71
12M 2022,"3,435 B",(482 B),"2,953 B",71.33
12M 2023,"3,940 B","(1,052 B)","2,888 B",69.77
12M 2024,"4,173 B","(1,671 B)","2,502 B",60.29
