Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Kas Dari Anak Perusahaan,Pembayaran Kas Antar Anak Perusahaan,Penerimaan Kas Dari Pendapatan Bunga,Penerimaan Kas Dari Aktivitas Operasi Lainnya,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Kas Dari Klaim Asuransi Dan Lain-Lain,Pembayaran Premi Asuransi Dan Klaim Lainnya,Pembayaran Pajak Penghasilan Badan,Penambahan Kas Yang Dibatasi Penggunaannya,Pembayaran Kas Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Kas Dari Aktivitas Investasi Lainnya,Penerimaan Dividen,Penerimaan Kas Yang Dibatasi Penggunaannya,Penambahan Investasi Anak Perusahaan Dan Perusahaan Asosiasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Kas Atas Penerbitan Saham,Penerimaan Kas Atas Penerbitan Obligasi,Pembayaran Kas Atas Penerbitan Saham Dan Obligasi,Pembayaran Kas Atas Beban Keuangan,Pembayaran Dividen Kas,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Panjang,Pengembalian Pinjaman Ke Pertamina,Pembayaran Bunga Atas Pinjaman Ke Pertamina,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2019,201512000.000000,657938000.000000,,,1567000.000000,6074000.000000,-372446000.000000,-25504000.000000,,,-66117000.000000,,,201512000.000000,-106826000.000000,,,2136000.000000,,-108962000.000000,-106826000.000000,-98719000.000000,,,,,,,,,,-98719000.000000,,,-98719000.000000,-4033000.000000,128659000.000000,1226000.000000,125852000.000000
12M 2020,227521000.000000,677290000.000000,,,1013000.000000,4394000.000000,-375078000.000000,-23921000.000000,,-808000.000000,-55369000.000000,,,227521000.000000,-47757000.000000,,,,,-47757000.000000,-47757000.000000,-149150000.000000,,,,,,,,,,-149150000.000000,,,-149150000.000000,30614000.000000,125852000.000000,-1603000.000000,154863000.000000
12M 2021,248392000.000000,735683000.000000,,,554000.000000,2750000.000000,-383625000.000000,-22297000.000000,,-944000.000000,-83729000.000000,,,248392000.000000,-20923000.000000,,5280000.000000,,,-26203000.000000,-20923000.000000,-256781000.000000,,,,-2890000.000000,,798386000.000000,-200000000.000000,,,-570357000.000000,-281920000.000000,,-256781000.000000,-29312000.000000,154863000.000000,-216000.000000,125335000.000000
12M 2022,220298000.000000,769822000.000000,,,1054000.000000,5924000.000000,-447480000.000000,-27586000.000000,139000.000000,-793000.000000,-80782000.000000,,,220298000.000000,-18125000.000000,,2707000.000000,10100000.000000,,-30932000.000000,-18125000.000000,-63381000.000000,,,,-14409000.000000,-30000000.000000,,,,,-18972000.000000,,,-63381000.000000,138792000.000000,125335000.000000,-1825000.000000,262302000.000000
12M 2023,255190000.000000,797575000.000000,,-778000.000000,21903000.000000,17694000.000000,-474125000.000000,-28755000.000000,522000.000000,-434000.000000,-78412000.000000,,,255190000.000000,-78480000.000000,,1174000.000000,,-11540000.000000,-68114000.000000,-78480000.000000,238906000.000000,589269000.000000,399737000.000000,-4888000.000000,-35299000.000000,-100000000.000000,,,-600000000.000000,-7729000.000000,,,-2184000.000000,238906000.000000,415616000.000000,262302000.000000,-201000.000000,677717000.000000
12M 2024,258284000.000000,796438000.000000,,4437000.000000,36559000.000000,4063000.000000,-478244000.000000,-32363000.000000,,-900000.000000,-71398000.000000,-308000.000000,,258284000.000000,-100934000.000000,,2574000.000000,,-100000.000000,-103408000.000000,-100934000.000000,-191139000.000000,4752000.000000,,,-50596000.000000,-128400000.000000,,,,-14973000.000000,,,-1922000.000000,-191139000.000000,-33789000.000000,677717000.000000,11263000.000000,655191000.000000
