Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Adjustment,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,37121081000.000000,2321285000.000000,336655480000.000000,329379381000.000000,7276099000.000000,336655480000.000000,11455528000.000000,,,11455528000.000000,471219597000.000000,41555378000.000000,900328349000.000000,,,267729886000.000000,14237478000.000000,44349144000.000000,326316508000.000000,,1226644857000.000000,,,661044140000.000000,143418081000.000000,,333009138000.000000,120838606000.000000,453847744000.000000,25376173000.000000,,,25376173000.000000,15132999000.000000,5278825000.000000,,17188300000.000000,385971000.000000,416047000.000000,,17990318000.000000,661044140000.000000,91736915000.000000,,50592705000.000000,,660329000.000000,592185000.000000,,51845219000.000000,,219268000.000000,39672428000.000000,91736915000.000000,752781055000.000000,,,289503780000.000000,51456262000.000000,95667973000.000000,200000000.000000,95467973000.000000,95667973000.000000,36501916000.000000,733871000.000000,473863802000.000000,1226644857000.000000,2895037800.000000
12M 2009,,,33427335000.000000,859136000.000000,382134927000.000000,377833595000.000000,4301332000.000000,382134927000.000000,19021143000.000000,,,19021143000.000000,532394736000.000000,52468747000.000000,1020306024000.000000,,1000000.000000,289102996000.000000,24602741000.000000,51575632000.000000,365282369000.000000,,1385588393000.000000,,,804818750000.000000,196332790000.000000,,419694651000.000000,128306734000.000000,548001385000.000000,23833931000.000000,,,23833931000.000000,5804753000.000000,9305663000.000000,,21182703000.000000,,357525000.000000,,21540228000.000000,804818750000.000000,98761204000.000000,,49825630000.000000,,251590000.000000,96500000.000000,,50173720000.000000,,174128000.000000,48413356000.000000,98761204000.000000,903579954000.000000,,,289503780000.000000,51456262000.000000,95341573000.000000,400000000.000000,94941573000.000000,95341573000.000000,45066179000.000000,640645000.000000,482008439000.000000,1385588393000.000000,2895037800.000000
12M 2010,,,28362209000.000000,5300922000.000000,489085576000.000000,485117289000.000000,3968287000.000000,489085576000.000000,31097950000.000000,,,31097950000.000000,650718927000.000000,53296505000.000000,1257862089000.000000,,165424000.000000,352139893000.000000,26952950000.000000,67790385000.000000,447048652000.000000,,1704910741000.000000,,,1076522152000.000000,361652476000.000000,,475424087000.000000,180088018000.000000,655512105000.000000,28115457000.000000,,,28115457000.000000,5418698000.000000,8967980000.000000,,16432360000.000000,,423076000.000000,,16855436000.000000,1076522152000.000000,105428627000.000000,,46945339000.000000,,290553000.000000,,,47235892000.000000,,,58192735000.000000,105428627000.000000,1181950779000.000000,,,289503780000.000000,51456262000.000000,128368601000.000000,600000000.000000,127768601000.000000,128368601000.000000,52704914000.000000,926404000.000000,522959961000.000000,1704910740000.000000,2895037800.000000
12M 2011,,,30853320000.000000,8922534000.000000,565698315000.000000,561113264000.000000,4585051000.000000,565698315000.000000,37070766000.000000,,,37070766000.000000,817463961000.000000,47053254000.000000,1507062150000.000000,,,415158002000.000000,27374456000.000000,59587028000.000000,502119486000.000000,,2009181636000.000000,,,1281146090000.000000,443100323000.000000,,567935240000.000000,193321586000.000000,761256826000.000000,33570728000.000000,,,33570728000.000000,10264765000.000000,13257997000.000000,,19154479000.000000,,540972000.000000,,19695451000.000000,1281146090000.000000,133444836000.000000,,66836691000.000000,,116221000.000000,800000000.000000,,67752912000.000000,,,65691924000.000000,133444836000.000000,1414590926000.000000,,,289503780000.000000,51456262000.000000,189623315000.000000,800000000.000000,188823315000.000000,189623315000.000000,62928948000.000000,1078404000.000000,594590709000.000000,2009181635000.000000,2895037800.000000
12M 2012,,,65765956000.000000,12068602000.000000,691046201000.000000,685960061000.000000,5086140000.000000,691046201000.000000,67778168000.000000,,,67778168000.000000,849126919000.000000,71104732000.000000,1756890578000.000000,,,663402155000.000000,28258115000.000000,63666495000.000000,755326765000.000000,,2512217343000.000000,,,1594281238000.000000,537562180000.000000,,744214630000.000000,210827975000.000000,955042605000.000000,34214805000.000000,,,34214805000.000000,6926116000.000000,18157043000.000000,,41084485000.000000,,1294004000.000000,,42378489000.000000,1594281238000.000000,269662905000.000000,,185840638000.000000,,1262697000.000000,,,187103335000.000000,,,82559570000.000000,269662905000.000000,1863944143000.000000,,,289503780000.000000,51882619000.000000,233960343000.000000,1000000000.000000,232960343000.000000,233960343000.000000,69934951000.000000,2991507000.000000,648273200000.000000,2512217343000.000000,2895037800.000000
12M 2013,,,57234966000.000000,11300890000.000000,939075201000.000000,932345924000.000000,6729277000.000000,939075201000.000000,62005391000.000000,,,62005391000.000000,1090835316000.000000,105429161000.000000,2265880925000.000000,,,734041671000.000000,41000672000.000000,66972161000.000000,842014504000.000000,,3107895429000.000000,,,2110833501000.000000,729199145000.000000,,939904375000.000000,292421251000.000000,1232325626000.000000,63052367000.000000,,,63052367000.000000,13153956000.000000,28530697000.000000,,42420456000.000000,,2151254000.000000,,44571710000.000000,2110833501000.000000,280187701000.000000,,166595758000.000000,,1121828000.000000,,,167717586000.000000,,,112470115000.000000,280187701000.000000,2391021202000.000000,,,289503780000.000000,51882619000.000000,294974601000.000000,1200000000.000000,293774601000.000000,294974601000.000000,74218252000.000000,6294975000.000000,716874227000.000000,3107895429000.000000,2895037800.000000
12M 2014,,,51121154000.000000,11241805000.000000,1076297164000.000000,1069934803000.000000,6362361000.000000,1076297164000.000000,63113593000.000000,,,63113593000.000000,1242866582000.000000,97136154000.000000,2541776452000.000000,,1575000000.000000,641768554000.000000,48137262000.000000,75660333000.000000,767141149000.000000,,3308917601000.000000,,,2252049932000.000000,678961050000.000000,,1090452528000.000000,372846558000.000000,1463299086000.000000,48347186000.000000,,,48347186000.000000,4801418000.000000,31837802000.000000,,23073000000.000000,,1730390000.000000,,24803390000.000000,2252049932000.000000,237989892000.000000,,103060567000.000000,,1570615000.000000,,,104631182000.000000,,,133358710000.000000,237989892000.000000,2490039824000.000000,,,289503780000.000000,51882619000.000000,385116217000.000000,1400000000.000000,383716217000.000000,385116217000.000000,85674852000.000000,6700309000.000000,818877777000.000000,3308917601000.000000,2895037800.000000
12M 2015,,,63048142000.000000,8696261000.000000,948139982000.000000,941928121000.000000,6211861000.000000,948139982000.000000,93376480000.000000,,,93376480000.000000,1351860483000.000000,89203688000.000000,2554325036000.000000,,1575000000.000000,778838532000.000000,55589054000.000000,132245229000.000000,968247815000.000000,,3522572851000.000000,,,2345213308000.000000,783213212000.000000,,1039682903000.000000,397390594000.000000,1437073497000.000000,51275556000.000000,,,51275556000.000000,3379732000.000000,32683195000.000000,,36424066000.000000,,1164050000.000000,,37588116000.000000,2345213308000.000000,323840559000.000000,,179944084000.000000,,612222000.000000,,,180556306000.000000,,,143284253000.000000,323840559000.000000,2669053867000.000000,,,289503780000.000000,51882619000.000000,421074119000.000000,1600000000.000000,419474119000.000000,421074119000.000000,87357625000.000000,3700841000.000000,853518984000.000000,3522572851000.000000,2895037800.000000
12M 2016,,,71942498000.000000,6655549000.000000,1143787799000.000000,1140817723000.000000,2970076000.000000,1143787799000.000000,116658822000.000000,,,116658822000.000000,1636601843000.000000,158930172000.000000,3134576683000.000000,,1575000000.000000,871363683000.000000,62810683000.000000,170494271000.000000,1106243637000.000000,,4240820320000.000000,,,2492613396000.000000,702965334000.000000,,1192826734000.000000,442233982000.000000,1635060716000.000000,,44208179000.000000,2806239000.000000,47014418000.000000,14600811000.000000,39954223000.000000,,52420699000.000000,,597195000.000000,,53017894000.000000,2492613396000.000000,336432611000.000000,,168203432000.000000,,,,,168203432000.000000,,,168229179000.000000,336432611000.000000,2829046007000.000000,,,405305292000.000000,426410206000.000000,482416457000.000000,1800000000.000000,480616457000.000000,482416457000.000000,93779384000.000000,3862974000.000000,1411774313000.000000,4240820320000.000000,4053052920.000000
12M 2017,,,90495048000.000000,2772481000.000000,1423778914000.000000,1417301916000.000000,6476998000.000000,1423778914000.000000,156186817000.000000,,,156186817000.000000,1769543918000.000000,219722342000.000000,3662499520000.000000,,,1201198151000.000000,64775670000.000000,209785944000.000000,1475759765000.000000,,5138259285000.000000,,,3159792330000.000000,1019006471000.000000,,1386122691000.000000,502676230000.000000,1888798921000.000000,,75582957000.000000,2720000000.000000,78302957000.000000,59371641000.000000,50608426000.000000,,63703914000.000000,,,,63703914000.000000,3159792330000.000000,453189976000.000000,,266610453000.000000,,,,,266610453000.000000,,,186579523000.000000,453189976000.000000,3612982306000.000000,,,405305292000.000000,426410206000.000000,555625808000.000000,2000000000.000000,553625808000.000000,555625808000.000000,135515687000.000000,2419986000.000000,1525276979000.000000,5138259285000.000000,4053052920.000000
