Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pengembalian Tagihan Pajak Penghasilan,Penerimaan Dari Pendapatan Bunga,Pengeluaran Kas Kepada:,Pemasok Dan Untuk Beban Operasi Lainnya,Karyawan,Beban Operasional,Total Pengeluaran Kas Kepada:,Pembayaran Untuk:,Beban Bunga,Pajak,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penurunan (Peningkatan) Investasi Jangka Pendek,Pembayaran Sewa Jangka Panjang,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Untuk Aset Tidak Lancar Lainnya,Perolehan Dari Piutang Kepada Pihak-Pihak Berelasi,Perolehan Aset Tetap,Penempatan Deposito,Tagihan Atas Penjualan (Pembelian) Aktiva Tetap,Penambahan Beban Ditangguhkan,Penerimaan Dari Investasi,Penurunan (Peningkatan) Piutang Kepada Pihak-Pihak Berelasi,Penerimaan Deviden,Pengembalian Modal Dari Penyertaan Saham,Penerimaan Penjualan Surat Berharga,Penambahan Utang Dari Pihak Berelasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan (Pembayaran) Dari (Ke) :,Liabilitas Sewa,Utang Sewa Pembiayaan,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Penambahan Modal Disetor Anak Perusahaan Yang Diambil Oleh Minoritas,Penambahan Modal Dengan Hak Memesan Efek Terlebih Dahulu Ii Neto,Penerimaan Kas Melalui Pmhmetd Setelah Dikurangkan Dengan Biaya Emisi Efek,Setoran Modal Kepentingan Non-Pengendali Pada Entitas Anak,Total Perolehan (Pembayaran) Dari (Ke) :,Pembayaran Untuk :,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Sewa,Pinjaman Lainnya,Total Pembayaran Untuk :,Akuisisi Kepentingan Nonpengendali,Penempatan Investasi Jangka Pendek,Pembayaran Deviden Tunai,Kepada Pihak Minoritas Oleh Anak Perusahaan,Oleh Perusahaan,Oleh Kepentingan Non Pengendali Entitas Anak,Total Pembayaran Deviden Tunai,Penurunan Utang Hubungan Istimewa,Perolehan (Pembayaran) Utang Pembiayaan Konsumen,Peningkatan (Penurunan) Utang Kepada Pihak Berelasi,Peningkatan Kepemilikan Pada Entitas Anak Dengan Membeli Bagian Kepentingan Nonpengendali,Penambahan Modal Disetor Anak Perusahaan Yang Diambil Bagian Oleh Minoritas,Penambahan Dari Penerbitan Saham Baru,Pengembalian Modal Kepada Non Pengendali Akibat Likuiditas Entitas Anak,Penambahan Modal Saham,Pembayaran Biaya Emisi Sehubungan Dengan Penawaran Umum Perdana Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,14635501000.000000,2706686864000.000000,,2434037000.000000,,-2526749981000.000000,-115141422000.000000,,-2641891403000.000000,,-22548249000.000000,-30045748000.000000,-52593997000.000000,14635501000.000000,-142008700000.000000,3750157000.000000,2078295000.000000,-20190254000.000000,,-3542768000.000000,,-124146744000.000000,,,,,38307000.000000,4307000.000000,,,,,-142008700000.000000,23782697000.000000,,,,380213224000.000000,16571169000.000000,,,,2659280000.000000,399443673000.000000,,-325142495000.000000,-48921458000.000000,-303212000.000000,,,-374367165000.000000,,,,,,,,419185000.000000,-1077996000.000000,,-635000000.000000,,,,,,,23782697000.000000,-103590502000.000000,140711583000.000000,37121081000.000000
12M 2009,6071005000.000000,2827278107000.000000,,1600409000.000000,,-2621260933000.000000,-127800741000.000000,,-2749061674000.000000,,-34297412000.000000,-39448425000.000000,-73745837000.000000,6071005000.000000,-58496721000.000000,6231360000.000000,1368923000.000000,,,-3608699000.000000,,-62963862000.000000,,,,,-1000000.000000,476557000.000000,,,,,-58496721000.000000,48731970000.000000,,,,298916960000.000000,20611600000.000000,,,,7484000000.000000,327012560000.000000,,-246002251000.000000,-17384271000.000000,-467261000.000000,,,-263853783000.000000,,,,-1965000000.000000,-11580151000.000000,,-13545151000.000000,-495685000.000000,-385971000.000000,,,,,,,,,48731970000.000000,-3693746000.000000,37121081000.000000,33427335000.000000
12M 2010,-57930212000.000000,3235810968000.000000,,693051000.000000,,-3087389064000.000000,-146502471000.000000,,-3233891535000.000000,,-37437104000.000000,-23105592000.000000,-60542696000.000000,-57930212000.000000,-108173925000.000000,3711780000.000000,-4156026000.000000,-4503201000.000000,,-4057132000.000000,,-99679825000.000000,,,,,-164424000.000000,561799000.000000,113104000.000000,,,,-108173925000.000000,161039011000.000000,,,,830319621000.000000,82319698000.000000,,,,4107659000.000000,916746978000.000000,,-664569205000.000000,-89555776000.000000,-626486000.000000,,,-754751467000.000000,,,,-860000000.000000,,,-860000000.000000,-96500000.000000,,,,,,,,,,161039011000.000000,-5065126000.000000,33427335000.000000,28362209000.000000
12M 2011,11494243000.000000,4086699811000.000000,,849712000.000000,,-3822331569000.000000,-183642477000.000000,,-4005974046000.000000,,-43587943000.000000,-26493291000.000000,-70081234000.000000,11494243000.000000,-109883550000.000000,6414597000.000000,-3469612000.000000,-6179276000.000000,,-3660766000.000000,,-103179757000.000000,,,,,165424000.000000,25840000.000000,,,,,-109883550000.000000,100880418000.000000,,,,915104474000.000000,52706651000.000000,,,,3675000000.000000,971486125000.000000,,-833487774000.000000,-29540986000.000000,-876871000.000000,,,-863905631000.000000,,,,-1710000000.000000,-5790076000.000000,,-7500076000.000000,,,800000000.000000,,,,,,,,100880418000.000000,2491111000.000000,28362209000.000000,30853320000.000000
12M 2012,124643002000.000000,4893880832000.000000,,713612000.000000,,-4434268474000.000000,-229721825000.000000,,-4663990299000.000000,,-62292949000.000000,-43668194000.000000,-105961143000.000000,124643002000.000000,-309677937000.000000,1648200000.000000,-541800000.000000,-25783757000.000000,,-726470000.000000,,-284308563000.000000,,,,,,34453000.000000,,,,,-309677937000.000000,219947571000.000000,,,,1449331432000.000000,163328884000.000000,,,,7695000000.000000,1620355316000.000000,,-1355320752000.000000,-22053660000.000000,-2001806000.000000,,-807378000.000000,-1380183596000.000000,,,,-1050000000.000000,-13027670000.000000,,-14077670000.000000,,,-800000000.000000,-5346479000.000000,,,,,,,219947571000.000000,34912636000.000000,30853320000.000000,65765956000.000000
12M 2013,-24678785000.000000,6187760898000.000000,,1166867000.000000,,-5793099728000.000000,-304556568000.000000,,-6097656296000.000000,,-80676942000.000000,-35273312000.000000,-115950254000.000000,-24678785000.000000,-139266452000.000000,4272808000.000000,4071180000.000000,-34011407000.000000,,-2483487000.000000,,-111184453000.000000,,,,,,68907000.000000,,,,,-139266452000.000000,155414247000.000000,,,,1609416925000.000000,24785894000.000000,,,,600000000.000000,1634802819000.000000,,-1418265342000.000000,-42533576000.000000,-3202851000.000000,,-4204171000.000000,-1468205940000.000000,,,,-1050000000.000000,-10132632000.000000,,-11182632000.000000,,,,,,,,,,,155414247000.000000,-8530990000.000000,65765956000.000000,57234966000.000000
12M 2014,118696829000.000000,7003672029000.000000,,1419170000.000000,,-6371846398000.000000,-358896658000.000000,,-6730743056000.000000,,-102570178000.000000,-53081136000.000000,-155651314000.000000,118696829000.000000,33485352000.000000,197374427000.000000,464420000.000000,-45890068000.000000,,-3600845000.000000,,-113397833000.000000,,,,,-1575000000.000000,110251000.000000,,,,,33485352000.000000,-158295993000.000000,,,,2190218382000.000000,55701856000.000000,,,,2550000000.000000,2248470238000.000000,,-2249091729000.000000,-139547143000.000000,-2486170000.000000,,,-2391125042000.000000,,,,-1166000000.000000,-14475189000.000000,,-15641189000.000000,,,,,,,,,,,-158295993000.000000,-6113812000.000000,57234966000.000000,51121154000.000000
12M 2015,92580497000.000000,7243783287000.000000,,1261400000.000000,,-6666151711000.000000,-328059295000.000000,,-6994211006000.000000,,-104182472000.000000,-54070712000.000000,-158253184000.000000,92580497000.000000,-259580162000.000000,4655717000.000000,,-15958973000.000000,,-56091073000.000000,,-192268521000.000000,,,,,,82688000.000000,,,,,-259580162000.000000,178926653000.000000,,,,2522073824000.000000,118809304000.000000,,,,500000000.000000,2641383128000.000000,,-2417736856000.000000,-26969697000.000000,-1524733000.000000,,,-2446231286000.000000,,,,-1750000000.000000,-14475189000.000000,,-16225189000.000000,,,,,,,,,,,178926653000.000000,11926988000.000000,51121154000.000000,63048142000.000000
12M 2016,-165915595000.000000,7565139041000.000000,,1663217000.000000,,-7113088284000.000000,-462913245000.000000,,-7576001529000.000000,,-101301078000.000000,-55415246000.000000,-156716324000.000000,-165915595000.000000,-220695402000.000000,3011997000.000000,,-76472184000.000000,,-23431169000.000000,,-128847582000.000000,,,,2202844000.000000,,34453000.000000,,,2806239000.000000,,-220695402000.000000,395505353000.000000,,,,2510853160000.000000,32373916000.000000,,,,8820000000.000000,2552047076000.000000,,-2591192146000.000000,-42654503000.000000,-1179078000.000000,,,-2635025727000.000000,,,,-4607500000.000000,-7237595000.000000,,-11845095000.000000,,,,,,490329099000.000000,,,,,395505353000.000000,8894356000.000000,63048142000.000000,71942498000.000000
12M 2017,59811075000.000000,9356977031000.000000,,870954000.000000,,-8569790881000.000000,-552935601000.000000,,-9122726482000.000000,,-108593186000.000000,-66717242000.000000,-175310428000.000000,59811075000.000000,-472005847000.000000,4514683000.000000,,-77432317000.000000,,-16865892000.000000,,-381890615000.000000,,,,2440080000.000000,,34453000.000000,,,-2806239000.000000,,-472005847000.000000,430747322000.000000,,,,2320794229000.000000,172258373000.000000,,,,36300000000.000000,2529352602000.000000,,-2012815754000.000000,-66606646000.000000,-597195000.000000,,,-2080019595000.000000,,,,-4000000000.000000,-14185685000.000000,,-18185685000.000000,,,,,,,-400000000.000000,,,,430747322000.000000,18552550000.000000,71942498000.000000,90495048000.000000
