Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.12,151.07,1.12,151.07,161 B,52 B,213 B,176 B,239 B
12M 2009,0.66,150.93,0.66,150.93,218 B,50 B,268 B,235 B,215 B
12M 2010,0.66,162.43,0.66,162.43,379 B,47 B,426 B,397 B,181 B
12M 2011,1.25,183.65,1.25,183.65,463 B,68 B,531 B,500 B,226 B
12M 2012,1.15,199.77,1.15,199.77,580 B,187 B,767 B,701 B,163 B
12M 2013,0.81,221.99,0.81,221.99,774 B,168 B,941 B,884 B,155 B
12M 2014,2.27,253.26,2.27,253.26,704 B,105 B,808 B,757 B,290 B
12M 2015,1.50,264.65,1.50,264.65,821 B,181 B,"1,001 B",938 B,209 B
12M 2016,1.61,325.19,1.61,325.19,756 B,168 B,924 B,852 B,642 B
12M 2017,1.32,342.89,1.32,342.89,"1,083 B",267 B,"1,349 B","1,259 B",503 B
12M 2018,1.35,402.29,1.35,402.29,"1,146 B",348 B,"1,494 B","1,427 B",784 B
12M 2019,1.10,408.55,1.10,408.55,"1,332 B",420 B,"1,752 B","1,683 B",546 B
12M 2020,0.90,426.83,0.90,426.83,"1,276 B",626 B,"1,902 B","1,792 B",359 B
12M 2021,1.04,472.26,1.04,472.26,"1,627 B",709 B,"2,336 B","2,269 B",423 B
12M 2022,1.57,518.25,1.57,518.25,"2,074 B",697 B,"2,771 B","2,627 B",263 B
12M 2023,1.04,581.97,1.04,581.97,"2,159 B",733 B,"2,892 B","2,726 B",314 B
12M 2024,0.80,608.88,0.80,608.88,"2,763 B",838 B,"3,601 B","3,447 B",82 B
