Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Usaha,Others,Total Beban Usaha,Adjustment,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2711646084000.000000,,2711646084000.000000,-2346667542000.000000,,-2346667542000.000000,364978542000.000000,-256109106000.000000,-161220876000.000000,-94888230000.000000,,,-256109106000.000000,,108869436000.000000,-17370528000.000000,2943873000.000000,-4552275000.000000,2434037000.000000,-22650993000.000000,4454830000.000000,-17370528000.000000,91498908000.000000,-29475132000.000000,-29518891000.000000,43759000.000000,-29475132000.000000,62023776000.000000,-5796923000.000000,56226853000.000000,,,56226853000.000000,62023776000.000000,-5796923000.000000,56226853000.000000,,,,
12M 2009,2874247528000.000000,,2874247528000.000000,-2520170889000.000000,,-2520170889000.000000,354076639000.000000,-304816279000.000000,-207609546000.000000,-97206733000.000000,,,-304816279000.000000,,49260360000.000000,-27083757000.000000,1491878000.000000,4090851000.000000,1600409000.000000,-34326910000.000000,60015000.000000,-27083757000.000000,22176603000.000000,-7877590000.000000,-18287995000.000000,10410405000.000000,-7877590000.000000,14299013000.000000,-3045262000.000000,11253751000.000000,,,11253751000.000000,14299013000.000000,-3045262000.000000,11253751000.000000,,,,
12M 2010,3345986618000.000000,,3345986618000.000000,-2935145766000.000000,,-2935145766000.000000,410840852000.000000,-329026966000.000000,-223284810000.000000,-105742156000.000000,,,-329026966000.000000,,81813886000.000000,-32818351000.000000,1819699000.000000,968275000.000000,693051000.000000,-37711671000.000000,1412295000.000000,-32818351000.000000,48995535000.000000,-11577431000.000000,-14101769000.000000,2524338000.000000,-11577431000.000000,37418104000.000000,-4391076000.000000,33027028000.000000,,,33027028000.000000,37418104000.000000,-4391076000.000000,33027028000.000000,,,,
12M 2011,4165927403000.000000,,4165927403000.000000,-3636357815000.000000,,-3636357815000.000000,529569588000.000000,-403893241000.000000,-275485140000.000000,-128408101000.000000,,,-403893241000.000000,,125676347000.000000,-27952881000.000000,,,849712000.000000,-46502069000.000000,17699476000.000000,-27952881000.000000,97723466000.000000,-22419642000.000000,-22841148000.000000,421506000.000000,-22419642000.000000,75303824000.000000,,75303824000.000000,152000000.000000,75455824000.000000,75303824000.000000,67044790000.000000,8259034000.000000,75303824000.000000,75455824000.000000,67196790000.000000,8259034000.000000,75455824000.000000
12M 2012,4931705085000.000000,4931705085000.000000,4931705085000.000000,-4299383131000.000000,-4299383131000.000000,-4299383131000.000000,632321954000.000000,-482244064000.000000,-345153696000.000000,-160663963000.000000,,23573595000.000000,-482244064000.000000,,150077890000.000000,-64026120000.000000,,,713612000.000000,-64739732000.000000,,-64026120000.000000,86051770000.000000,-22979590000.000000,,,-22979590000.000000,63072180000.000000,,63072180000.000000,2604268000.000000,65676448000.000000,63072180000.000000,57364698000.000000,5707482000.000000,63072180000.000000,65676448000.000000,59968966000.000000,5707482000.000000,65676448000.000000
12M 2013,6321157245000.000000,6321157245000.000000,6321157245000.000000,-5485821810000.000000,-5485821810000.000000,-5485821810000.000000,835335435000.000000,-657162913000.000000,-470895146000.000000,-211089188000.000000,,24821421000.000000,-657162913000.000000,,178172522000.000000,-80810596000.000000,,,1166867000.000000,-81977463000.000000,,-80810596000.000000,97361926000.000000,-21481735000.000000,,,-21481735000.000000,75880191000.000000,,75880191000.000000,3303468000.000000,79183659000.000000,75880191000.000000,71146890000.000000,4733301000.000000,75880191000.000000,79183659000.000000,74450358000.000000,4733301000.000000,79183659000.000000
12M 2014,6997923351000.000000,6997923351000.000000,6997923351000.000000,-6066184784000.000000,-6066184784000.000000,-6066184784000.000000,931738567000.000000,-690013597000.000000,-563294978000.000000,-239661371000.000000,,112942752000.000000,-690013597000.000000,,241724970000.000000,-100633822000.000000,,,1419170000.000000,-102052992000.000000,,-100633822000.000000,141091148000.000000,-26401743000.000000,,,-26401743000.000000,114689405000.000000,,114689405000.000000,405334000.000000,115094739000.000000,114689405000.000000,104616805000.000000,10072600000.000000,114689405000.000000,115094739000.000000,105022139000.000000,10072600000.000000,115094739000.000000
12M 2015,7117833073000.000000,7117833073000.000000,7117833073000.000000,-6138677234000.000000,-6138677234000.000000,-6138677234000.000000,979155839000.000000,-824096117000.000000,-631754042000.000000,-260375865000.000000,,68033790000.000000,-824096117000.000000,,155059722000.000000,-102569146000.000000,,,1261400000.000000,-103830546000.000000,,-102569146000.000000,52490576000.000000,-9468661000.000000,,,-9468661000.000000,43021915000.000000,,43021915000.000000,6040506000.000000,49062421000.000000,43021915000.000000,40618322000.000000,2403593000.000000,43021915000.000000,49062421000.000000,46321692000.000000,2740729000.000000,49062421000.000000
12M 2016,7764888625000.000000,7764888625000.000000,7764888625000.000000,-6665558581000.000000,-6665558581000.000000,-6665558581000.000000,1099330044000.000000,-899227498000.000000,-698386110000.000000,-274143376000.000000,,73301988000.000000,-899227498000.000000,,200102546000.000000,-99205605000.000000,,,1663217000.000000,-100868822000.000000,,-99205605000.000000,100896941000.000000,-26260017000.000000,,,-26260017000.000000,74636924000.000000,,74636924000.000000,-3685599000.000000,70951325000.000000,74636924000.000000,72313034000.000000,2323890000.000000,74636924000.000000,70951325000.000000,68742066000.000000,2209259000.000000,70951325000.000000
12M 2017,9342144498000.000000,9342144498000.000000,9342144498000.000000,-8009147562000.000000,-8009147562000.000000,-8009147562000.000000,1332996936000.000000,-1109330308000.000000,-849444711000.000000,-334503446000.000000,,74617849000.000000,-1109330308000.000000,,223666628000.000000,-108536199000.000000,,,870954000.000000,-109407153000.000000,,-108536199000.000000,115130429000.000000,-26108238000.000000,,,-26108238000.000000,89022191000.000000,,89022191000.000000,8775008000.000000,97797199000.000000,89022191000.000000,77871453000.000000,11150738000.000000,89022191000.000000,97797199000.000000,85952048000.000000,11845151000.000000,97797199000.000000
