Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,504660642107.000000,-452996434742.000000,51664207365.000000,-16047606819.000000,-3715784952.000000,-12331821867.000000,,-16047606819.000000,35616600546.000000,-11348337804.000000,-5777085462.000000,,83167405.000000,-5920051324.000000,265631577.000000,-11348337804.000000,24268262742.000000,-7211940511.000000,-7433766524.000000,221826013.000000,-7211940511.000000,17056322231.000000,,17056322231.000000,3051976844.000000,3051976844.000000,3051976844.000000,,17056322231.000000,17056322231.000000,,17056322231.000000,,,,
12M 2009,447956185580.000000,-379802516235.000000,68153669345.000000,-22573414970.000000,-5589295960.000000,-16984119010.000000,,-22573414970.000000,45580254375.000000,-1591260203.000000,4482226974.000000,,180606143.000000,-4228145341.000000,-2025947979.000000,-1591260203.000000,43988994172.000000,-13079587181.000000,-13111238280.000000,31651099.000000,-13079587181.000000,30909406991.000000,,30909406991.000000,,,,,30909406991.000000,30909406991.000000,,30909406991.000000,,,,
12M 2010,516581827788.000000,-454572061193.000000,62009766595.000000,-22714902049.000000,-5352073903.000000,-17362828146.000000,,-22714902049.000000,39294864546.000000,-1375749011.000000,893910479.000000,130000000.000000,28946322.000000,-2286470984.000000,-142134828.000000,-1375749011.000000,37919115535.000000,-9475575762.000000,-10020572250.000000,544996488.000000,-9475575762.000000,28443539773.000000,-1946053.000000,28441593720.000000,,,,,28441593720.000000,28443539773.000000,-1946053.000000,28441593720.000000,,,,
12M 2011,624700540606.000000,-545655949382.000000,79044591224.000000,-34494589186.000000,-6126505221.000000,-22598324268.000000,-5769759697.000000,-34494589186.000000,44550002038.000000,-6472030960.000000,,,29606100.000000,-6501637060.000000,,-6472030960.000000,38077971078.000000,-10328171226.000000,-10901319500.000000,573148274.000000,-10328171226.000000,27749799852.000000,,27749799852.000000,,,,27749799852.000000,27749799852.000000,27746156444.000000,3643408.000000,27749799852.000000,27749799852.000000,27746156444.000000,3643408.000000,27749799852.000000
12M 2012,67603654.000000,-57127956.000000,10475698.000000,-4853868.000000,-630901.000000,-2430868.000000,-1792099.000000,-4853868.000000,5621830.000000,-561938.000000,,,140183.000000,-702121.000000,,-561938.000000,5059892.000000,-1579863.000000,,,-1579863.000000,3480029.000000,,3480029.000000,,,,3480029.000000,3480029.000000,3480036.000000,-7.000000,3480029.000000,3480029.000000,3480036.000000,-7.000000,3480029.000000
12M 2013,71404527.000000,-62073005.000000,9331522.000000,-5070101.000000,-653769.000000,-2614472.000000,-1801860.000000,-5070101.000000,4261421.000000,-314785.000000,,,274029.000000,-588814.000000,,-314785.000000,3946636.000000,-2035134.000000,,,-2035134.000000,1911502.000000,,1911502.000000,,,,1911502.000000,1911502.000000,1912265.000000,-763.000000,1911502.000000,1911502.000000,1912265.000000,-763.000000,1911502.000000
12M 2014,63858277.000000,-53531694.000000,10326583.000000,-4009621.000000,-1022397.000000,-2783292.000000,-203932.000000,-4009621.000000,6316962.000000,-480034.000000,,,19727.000000,-499761.000000,,-480034.000000,5836928.000000,-1010651.000000,,,-1010651.000000,4826277.000000,,4826277.000000,,,,4826277.000000,4826277.000000,4826441.000000,-164.000000,4826277.000000,4826277.000000,4826441.000000,-164.000000,4826277.000000
12M 2015,47368314.000000,-39131095.000000,8237219.000000,-3621110.000000,-898362.000000,-2471764.000000,-250984.000000,-3621110.000000,4616109.000000,-288755.000000,,,7560.000000,-296315.000000,,-288755.000000,4327354.000000,-1309749.000000,,,-1309749.000000,3017605.000000,,3017605.000000,16271.000000,16271.000000,16271.000000,3033876.000000,3017605.000000,3017966.000000,-361.000000,3017605.000000,3033876.000000,3034237.000000,-361.000000,3033876.000000
12M 2016,649070715297.000000,-516754276876.000000,132316438421.000000,-45005815339.000000,-11921511110.000000,-33645411084.000000,561106855.000000,-45005815339.000000,87310623082.000000,-2110661067.000000,,,2866433591.000000,-4403807940.000000,-573286718.000000,-2110661067.000000,85199962015.000000,-21896596474.000000,,,-21896596474.000000,63303365541.000000,,63303365541.000000,-391343089.000000,,-391343089.000000,62912022452.000000,63303365541.000000,63292164034.000000,11201507.000000,63303365541.000000,62912022452.000000,62900846331.000000,11176121.000000,62912022452.000000
12M 2017,592902019972.000000,-496914534481.000000,95987485491.000000,-47574010998.000000,-9925219826.000000,-37136133662.000000,-512657510.000000,-47574010998.000000,48413474493.000000,3125936535.000000,,,6177038623.000000,-1815694363.000000,-1235407725.000000,3125936535.000000,51539411028.000000,-11410643656.000000,,,-11410643656.000000,40128767372.000000,,40128767372.000000,-991336198.000000,,-991336198.000000,39137431174.000000,40128767372.000000,40127321719.000000,1445653.000000,40128767372.000000,39137431174.000000,39135974376.000000,1456798.000000,39137431174.000000
