Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Usaha,Penerimaan Dari Klaim Asuransi,Penerimaan Bunga,Penerimaan Dari Tagihan Pajak Penghasilan,Pembayaran Pajak,Pembayaran Bunga,Penerimaan/(Pembayaran) Dari Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Pembelian Gedung,Perolehan Aset Tetap,Penambahan Investasi Pada Surat Berharga,Penerimaan Atas Pencairan Surat Berharga,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Lancar Lainnya,Penerimaan Dari Klaim Asuransi Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank Jangka Pendek Dan Cerukan,Penerimaan Dari Utang Bank Jangka Panjang,Perolehan Saham Treasuri,Penjualan Saham Treasuri,Pembayaran Atas Utang Pembiayaan Konsumen,Pembayaran Atas Utang Jangka Pendek,Pembayaran Dividen Tunai,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek Dan Cerukan,Pembayaran Liabilitas Sewa,Pemberian Pinjaman Karyawan Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-61470538594.000000,454565319069.000000,-485406719333.000000,-5340270639.000000,-13838746514.000000,5958800000.000000,83167405.000000,,-7217239024.000000,,,-10274849558.000000,-61470538594.000000,-10180333806.000000,,-10356333806.000000,,,,,,176000000.000000,-10180333806.000000,66520883321.000000,,,,,,,69431099071.000000,-2910215750.000000,,,,66520883321.000000,-5129989079.000000,9170946790.000000,,4040957711.000000
12M 2009,80038380190.000000,485212986374.000000,-388693540572.000000,-4161190419.000000,-8539002971.000000,7863367385.000000,180606143.000000,,-11934888199.000000,,,110042449.000000,80038380190.000000,-11177162013.000000,,-11222162013.000000,,,,,,45000000.000000,-11177162013.000000,-67503417410.000000,,,,,,,-61499182811.000000,-6004234599.000000,,,,-67503417410.000000,1357800767.000000,4040957711.000000,,5398758478.000000
12M 2010,6397215186.000000,497961675070.000000,-454867566282.000000,-7353904657.000000,-15641330094.000000,,28946322.000000,,-14452881230.000000,,,722276057.000000,6397215186.000000,-17659130224.000000,-12423500000.000000,-5365630224.000000,,,,,,130000000.000000,-17659130224.000000,15298787864.000000,,,,,,,-9251422700.000000,24550210564.000000,,,,15298787864.000000,4036872826.000000,5398758478.000000,,9435631304.000000
12M 2011,-35820351180.000000,592676561389.000000,-585447008751.000000,-13416439820.000000,-4376118538.000000,,29606100.000000,,-16066806272.000000,-6501637060.000000,,-2718508228.000000,-35820351180.000000,-23277805349.000000,,-23603259894.000000,,,,,,325454545.000000,-23277805349.000000,65729196710.000000,65559634768.000000,17000000000.000000,,,,,-8516210300.000000,-4379410408.000000,-3934817350.000000,,,65729196710.000000,6631040181.000000,5500813954.000000,35204875.000000,12167059010.000000
12M 2012,2719594.000000,64593036.000000,-53554815.000000,-2309698.000000,-1054864.000000,,3993.000000,,-1694696.000000,-702121.000000,-708201.000000,-1853040.000000,2719594.000000,-581647.000000,,-586002.000000,,,,,,4355.000000,-581647.000000,-1693910.000000,,,,,,,-874791.000000,-779098.000000,,,-40021.000000,-1693910.000000,444037.000000,1341758.000000,-72361.000000,1713434.000000
12M 2013,1094491.000000,71125257.000000,-60094175.000000,-2149379.000000,-1901840.000000,,5094.000000,345223.000000,-1967916.000000,-588814.000000,,-3678959.000000,1094491.000000,-1540909.000000,,-1279811.000000,,,,-277987.000000,,16889.000000,-1540909.000000,240888.000000,1960356.000000,,-101923.000000,,,,-1044008.000000,-580469.000000,,,6932.000000,240888.000000,-205530.000000,1713434.000000,-225257.000000,1282647.000000
12M 2014,7467135.000000,67795327.000000,-54662002.000000,-2500322.000000,-2051421.000000,,2253.000000,307553.000000,-2035758.000000,-499761.000000,,1111266.000000,7467135.000000,-2718206.000000,,-2511538.000000,,,,-239275.000000,,32607.000000,-2718206.000000,-5182744.000000,5800000.000000,191194.000000,-17266.000000,,,,-573450.000000,-516831.000000,-10085356.000000,,18965.000000,-5182744.000000,-433815.000000,1282647.000000,-15616.000000,833216.000000
12M 2015,4995305.000000,47719741.000000,-37992782.000000,-1894902.000000,-2036816.000000,1512439.000000,2744.000000,395198.000000,-1848851.000000,-296315.000000,,-565151.000000,4995305.000000,-1133891.000000,,-919571.000000,,,-97166.000000,-140036.000000,,22882.000000,-1133891.000000,-2929585.000000,9076529.000000,613424.000000,,,,,-1447883.000000,-435977.000000,-10749038.000000,,13360.000000,-2929585.000000,931829.000000,833216.000000,-31380.000000,1733665.000000
12M 2016,140216652801.000000,687498119154.000000,-478753781175.000000,-27726776476.000000,-22991264847.000000,3432978262.000000,2293146873.000000,3732100941.000000,-23680721033.000000,-4403807940.000000,,816659042.000000,140216652801.000000,-31125769916.000000,,-27956393446.000000,,,,-3169376470.000000,,,-31125769916.000000,-26688552310.000000,2200000000.000000,-2719888490.000000,,,,,-12068663820.000000,,-14100000000.000000,,,-26688552310.000000,82402330575.000000,23915919941.000000,-405354080.000000,105912896436.000000
12M 2017,52537193055.000000,586611464896.000000,-450184182067.000000,-34719720563.000000,-29069132092.000000,,4941630898.000000,3185747648.000000,-28560297163.000000,-1815694363.000000,,2147375861.000000,52537193055.000000,-5477372814.000000,,-5821918268.000000,,,,,,344545454.000000,-5477372814.000000,-49636035235.000000,,-6694680546.000000,,2571986319.000000,,,-31513341008.000000,,-14000000000.000000,,,-49636035235.000000,-2576214994.000000,105912896436.000000,81759713.000000,103418441155.000000
