Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Investasi Jangka Pendek,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,4040957711.000000,147840038553.000000,146073698853.000000,1766339700.000000,147840038553.000000,8213869137.000000,66397211768.000000,,6477322614.000000,232969399783.000000,,23925099442.000000,2003222932.000000,,25928322374.000000,258897722157.000000,,,163034773796.000000,127022130501.000000,,,32120635976.000000,32120635976.000000,14800000.000000,867453864.000000,3009753455.000000,,,,,,163034773796.000000,5459208044.000000,,,,,,5459208044.000000,5459208044.000000,168493981840.000000,,30633850000.000000,3879230599.000000,55890659718.000000,2245530168.000000,53645129550.000000,55890659718.000000,,,,90403740317.000000,258897722157.000000,306338500.000000
12M 2009,,,5398758478.000000,110583237759.000000,108030633661.000000,2552604098.000000,110583237759.000000,258611751.000000,68458457208.000000,,737579966.000000,185436645162.000000,,31727361176.000000,2034874031.000000,,33762235207.000000,219198880369.000000,,,96911386652.000000,65522947690.000000,,,25287157079.000000,25287157079.000000,18500000.000000,1896678347.000000,4186103536.000000,,,,,,96911386652.000000,6978581008.000000,,,,,,6978581008.000000,6978581008.000000,103889967660.000000,,30633850000.000000,3879230599.000000,80795832110.000000,3250944956.000000,77544887154.000000,80795832110.000000,,,,115308912709.000000,219198880369.000000,306338500.000000
12M 2010,,,9435631304.000000,129203390475.000000,125269022115.000000,3934368360.000000,129203390475.000000,128868751.000000,82424270814.000000,,6627007117.000000,227819168461.000000,,32568191469.000000,2579870519.000000,12423500000.000000,47571561988.000000,275390730449.000000,,,123450557939.000000,80073158254.000000,,38957465596.000000,18500000.000000,38975965596.000000,,767948786.000000,1966818636.000000,,1666666667.000000,,1666666667.000000,,123450557939.000000,17429142728.000000,,8333333333.000000,,8333333333.000000,,9095809395.000000,17429142728.000000,140879700667.000000,,30633850000.000000,3879230599.000000,99986003130.000000,4796415306.000000,95189587824.000000,99986003130.000000,,11946053.000000,,134511029782.000000,275390730449.000000,306338500.000000
12M 2011,,,12167059010.000000,161227369692.000000,2528509993.000000,158698859699.000000,161227369692.000000,,129654158577.000000,,2029013670.000000,305077600949.000000,,60650052200.000000,3153018793.000000,5088613292.000000,68891684285.000000,373969285234.000000,,,192752979696.000000,137763158322.000000,,46117344822.000000,297449168.000000,46414793990.000000,235277000.000000,725860906.000000,1581732177.000000,,6032157301.000000,,6032157301.000000,,192752979696.000000,27471686204.000000,,16588432291.000000,,16588432291.000000,,10883253913.000000,27471686204.000000,220224665900.000000,,30633850000.000000,3879230599.000000,119215949274.000000,6218494992.000000,112997454282.000000,119215949274.000000,,15589461.000000,,153744619334.000000,373969285234.000000,306338500.000000
12M 2012,,,1713434.000000,20790434.000000,20567110.000000,223324.000000,20790434.000000,16674.000000,13698172.000000,,250513.000000,36469227.000000,,7668458.000000,759597.000000,521659.000000,8949714.000000,45418941.000000,,,22726939.000000,14484031.000000,,6709713.000000,79664.000000,6789377.000000,114868.000000,460324.000000,146958.000000,,623801.000000,,623801.000000,107580.000000,22726939.000000,2151498.000000,,1091652.000000,,1091652.000000,87919.000000,971927.000000,2151498.000000,24878437.000000,,2939052.000000,374937.000000,17224802.000000,932707.000000,16292095.000000,17224802.000000,,1713.000000,,20540504.000000,45418941.000000,306338500.000000
12M 2013,,,1282647.000000,21098646.000000,20939021.000000,159625.000000,21098646.000000,2228362.000000,14776043.000000,,398628.000000,39784326.000000,,7529762.000000,160711.000000,1508240.000000,9198713.000000,48983039.000000,,,25994016.000000,17606416.000000,,6985299.000000,76467.000000,7061766.000000,84000.000000,72542.000000,548934.000000,,494885.000000,,494885.000000,125473.000000,25994016.000000,1682948.000000,,371164.000000,,371164.000000,513419.000000,798365.000000,1682948.000000,27676964.000000,,2939052.000000,374937.000000,18093059.000000,1106707.000000,16986352.000000,18093059.000000,,950.000000,-101923.000000,21306075.000000,48983039.000000,306338500.000000
12M 2014,,,918156.000000,17161596.000000,16803973.000000,357623.000000,17161596.000000,1392638.000000,12286055.000000,,240150.000000,31998595.000000,,8888608.000000,719890.000000,1182201.000000,10790699.000000,42789294.000000,,,16408498.000000,8871277.000000,,5965116.000000,86053.000000,6051169.000000,42000.000000,262422.000000,788179.000000,,375987.000000,17464.000000,393451.000000,,16408498.000000,839160.000000,,98497.000000,30990.000000,129487.000000,,709673.000000,839160.000000,17247658.000000,,2939052.000000,374937.000000,22346050.000000,1202282.000000,21143768.000000,22346050.000000,,786.000000,-119189.000000,25541636.000000,42789294.000000,306338500.000000
12M 2015,,,3082596.000000,16796623.000000,16486051.000000,310572.000000,16796623.000000,274458.000000,8809573.000000,,257110.000000,29220360.000000,,8477154.000000,238732.000000,1489417.000000,10205303.000000,39425663.000000,,,11147875.000000,6060842.000000,,4311130.000000,21894.000000,4333024.000000,68369.000000,229128.000000,272401.000000,,167197.000000,16914.000000,184111.000000,,11147875.000000,882447.000000,,501591.000000,9867.000000,511458.000000,,370989.000000,882447.000000,12030322.000000,,2939052.000000,374937.000000,24200118.000000,1443596.000000,22756522.000000,24200118.000000,,423.000000,-119189.000000,27395341.000000,39425663.000000,306338500.000000
12M 2016,,,105912896436.000000,193282008309.000000,188917372671.000000,4364635638.000000,193282008309.000000,1038904557.000000,112970688631.000000,,1089516005.000000,414294013938.000000,,133416643853.000000,3662530024.000000,16186983615.000000,153266157492.000000,567560171430.000000,,,127377268299.000000,45798468294.000000,,70135361288.000000,515011038.000000,70650372326.000000,358668645.000000,2811735930.000000,5375451717.000000,,2246460276.000000,136111111.000000,2382571387.000000,,127377268299.000000,11420827491.000000,,4492920553.000000,,4492920553.000000,,6927906938.000000,11420827491.000000,138798095790.000000,,30633850000.000000,3879230599.000000,395665098885.000000,19537391721.000000,376127707164.000000,395665098885.000000,,17010008.000000,-1433113852.000000,428762075640.000000,567560171430.000000,306338500.000000
12M 2017,,,103510048915.000000,199716892253.000000,196935190253.000000,2781702000.000000,199716892253.000000,637823214.000000,126405599530.000000,,4440892749.000000,434711256661.000000,,127351551594.000000,5711882944.000000,19924324442.000000,152987758980.000000,587699015641.000000,,,139118916055.000000,76615843648.000000,,56317845906.000000,38109092.000000,56355954998.000000,120883114.000000,2351324261.000000,3674910034.000000,,,,,,139118916055.000000,9621947461.000000,,,,,,9621947461.000000,9621947461.000000,148740863516.000000,,30633850000.000000,5018103066.000000,403287732253.000000,22682991843.000000,380604740410.000000,403287732253.000000,,18466806.000000,,438958152125.000000,587699015641.000000,306338500.000000
12M 2018,,,63602700504.000000,299614428629.000000,296019672629.000000,3594756000.000000,299614428629.000000,152386726.000000,165159742674.000000,,4434444333.000000,532963702866.000000,,129698487972.000000,33325977287.000000,12600117495.000000,175624582754.000000,708588285620.000000,,,247339069096.000000,148627944380.000000,,92870953111.000000,,92870953111.000000,592860973.000000,3257770258.000000,1989540374.000000,,,,,,247339069096.000000,8104602407.000000,,,,,,8104602407.000000,8104602407.000000,255443671503.000000,,30633850000.000000,5018103066.000000,417472690395.000000,24639863401.000000,392832826994.000000,417472690395.000000,,19970656.000000,,453144614117.000000,708588285620.000000,306338500.000000
12M 2019,,,74786692709.000000,298940335507.000000,296165028907.000000,2775306600.000000,298940335507.000000,188818891.000000,147462984310.000000,,2154193415.000000,523533024832.000000,,132399812760.000000,23800832172.000000,11778561539.000000,167979206471.000000,691512231303.000000,,,208394575715.000000,118998827164.000000,,77051843240.000000,251443092.000000,77303286332.000000,402263233.000000,8998464466.000000,2691734520.000000,,,,,,208394575715.000000,12200002320.000000,,,,,,12200002320.000000,12200002320.000000,220594578035.000000,,30633850000.000000,5018103066.000000,435240027981.000000,26327622279.000000,408912405702.000000,435240027981.000000,,25672221.000000,,470917653268.000000,691512231303.000000,306338500.000000
12M 2020,,,110559020021.000000,264081176373.000000,261930935973.000000,2150240400.000000,264081176373.000000,255628919.000000,123132723780.000000,,1501084200.000000,499529633293.000000,,131969300623.000000,6986369250.000000,9718195118.000000,148673864991.000000,648203498284.000000,,,143567813066.000000,49911594322.000000,,83867858549.000000,,83867858549.000000,685036452.000000,6646789940.000000,2456533803.000000,,,,,,143567813066.000000,14529602401.000000,,,,,,14529602401.000000,14529602401.000000,158097415467.000000,,30633850000.000000,5018103066.000000,454439398271.000000,28060153676.000000,426379244595.000000,454439398271.000000,,14731480.000000,,490106082817.000000,648203498284.000000,306338500.000000
