Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,1.50 B,0.65,0.00,0.00,26.09 B,0.44%,1.22%,30.56%,1.74
12M 2020,2.16 B,0.55,90.91,0.21,20.70 B,0.44%,0.81%,9.28%,1.13
12M 2021,2.16 B,4.70,10.64,0.10,29.00 B,3.45%,6.46%,12.98%,1.95
12M 2022,2.16 B,0.99,66.67,0.28,17.31 B,0.68%,1.34%,5.80%,1.21
12M 2023,2.16 B,-1.82,-27.47,0.21,13.65 B,-1.11%,-2.53%,3.17%,0.45
12M 2024,2.16 B,3.10,11.29,0.14,27.92 B,1.68%,4.01%,12.46%,1.21
