Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,(22 B),(6 B),(28 B),-18.83
12M 2020,(35 B),(7 B),(42 B),-19.54
12M 2021,43 B,(5 B),38 B,17.66
12M 2022,(32 B),(2 B),(34 B),-15.65
12M 2023,(40 B),(9 B),(49 B),-22.58
12M 2024,(41 B),(1 B),(42 B),-19.25
