Period,Arus Kas Dari Aktivitas Operasi,Penjualan/(Pembelian) Portofolio Efek - Neto,Penerimaan Dari Pelanggan,Pembayaran Kepada Karyawan Dan Pemasok,Pembayaran Pajak Final,Penerimaan Pendapatan Bunga Dan Dividen,Penerimaan Dividen,Penerimaan Kas Dari Bunga,Total Penerimaan Pendapatan Bunga Dan Dividen,Penerimaan (Pembayaran) Lainnya - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pendapatan Bunga Bank,Penambahan Investasi,Pembelian Aset,Investasi Pada Entitas Asosiasi,Penerimaan Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Uang Muka Setoran Modal,Investasi,Tambahan Modal Disetor,Penerimaan Dari Penawaran Umum Perdana Saham,Aktivitas Lainnya,Agio Saham,Pembayaran Beban Bunga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-6377242920.000000,-8041503860.000000,2346378000.000000,-416414930.000000,-276087174.000000,,,10881142.000000,10881142.000000,-496098.000000,-6377242920.000000,3370000000.000000,,,,,3370000000.000000,3370000000.000000,20000000000.000000,20000000000.000000,,,,,,,20000000000.000000,16992757080.000000,,129291206.000000,17122048286.000000
12M 2018,-11115030670.000000,-13452024214.000000,3370500000.000000,-1280307387.000000,-483475942.000000,,,747472228.000000,747472228.000000,-17195355.000000,-11115030670.000000,-20000000000.000000,,,,-20000000000.000000,,-20000000000.000000,37808775999.000000,,,,37808775999.000000,,,,37808775999.000000,6693745329.000000,197702744.000000,17122048286.000000,24013496359.000000
12M 2019,644012473.000000,-2867582119.000000,4011268000.000000,-1014879334.000000,-647681309.000000,,,1338246249.000000,1338246249.000000,-175359014.000000,644012473.000000,-10104865300.000000,,,,-10104865300.000000,,-10104865300.000000,,,,,,,,,,-9460852827.000000,-131144887.000000,24013496359.000000,14421498645.000000
12M 2020,6358076244.000000,5746719981.000000,1282881271.000000,-985717941.000000,-482950766.000000,,,797143699.000000,797143699.000000,,6358076244.000000,-10842264600.000000,,,,-10842264600.000000,,-10842264600.000000,,,,,,,,,,-4484188356.000000,41580977.000000,14421498645.000000,9978891266.000000
12M 2021,1535236579.000000,334725186.000000,1868057064.000000,-772012506.000000,-280411333.000000,,,458939266.000000,458939266.000000,-74061098.000000,1535236579.000000,,,,,,,,,,,,,,,,,1535236579.000000,1006206.000000,9978891266.000000,11515134051.000000
12M 2022,53605634383.000000,49735123277.000000,2931033000.000000,-1311369014.000000,-424648437.000000,,,1310872463.000000,1310872463.000000,1364623094.000000,53605634383.000000,,,,,,,,-15000000000.000000,,-15000000000.000000,,,,,,-15000000000.000000,38605634383.000000,69914131.000000,11515134051.000000,50190682565.000000
12M 2023,4134258569.000000,-460039656.000000,3020056109.000000,-1456879340.000000,-579619894.000000,,,3250244839.000000,3250244839.000000,360496511.000000,4134258569.000000,-10640526000.000000,,,-10516526000.000000,-124000000.000000,,-10640526000.000000,15000000000.000000,,15000000000.000000,,,,,,15000000000.000000,8493732569.000000,-736167584.000000,50315682565.000000,58073247550.000000
12M 2024,32147008820.000000,25335376679.000000,2832594510.000000,-2356817284.000000,-177844444.000000,,,5516616770.000000,5516616770.000000,997082589.000000,32147008820.000000,,,,,,,,,,,,,,,,,32147008820.000000,1686989256.000000,58073247550.000000,91907245626.000000
