Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Usaha,Beban Penyusutan,Beban Umum Dan Administrasi,Beban Karyawan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,5366409300.000000,5366409300.000000,5366409300.000000,-1723833359.000000,-803368268.000000,,-617363000.000000,-303102091.000000,-1723833359.000000,3642575941.000000,7837531.000000,,,9733642.000000,-496098.000000,-1400013.000000,7837531.000000,3650413472.000000,,3650413472.000000,,3650413472.000000,3650413472.000000,3650413472.000000,,3650413472.000000,3650413472.000000,3650413472.000000,,3650413472.000000
12M 2018,8156455812.000000,8156455812.000000,8156455812.000000,-2381215474.000000,-803368268.000000,,-901710399.000000,-676136807.000000,-2381215474.000000,5775240338.000000,1503015472.000000,,530980864.000000,787443702.000000,-17195355.000000,201786261.000000,1503015472.000000,7278255810.000000,,7278255810.000000,25199000.000000,7303454810.000000,7278255810.000000,7278255810.000000,,7278255810.000000,7303454810.000000,7303454810.000000,,7303454810.000000
12M 2019,9969038934.000000,9969038934.000000,9969038934.000000,-2670528917.000000,-803368268.000000,,-805229582.000000,-1061931067.000000,-2670528917.000000,7298510017.000000,2417763456.000000,,1745389020.000000,791256331.000000,-3321640.000000,-115560255.000000,2417763456.000000,9716273473.000000,,9716273473.000000,-906000.000000,9715367473.000000,9716273473.000000,9716273473.000000,,9716273473.000000,9715367473.000000,9715367473.000000,,9715367473.000000
12M 2020,-2205222119.000000,-2205222119.000000,-2205222119.000000,-2367028645.000000,-803368268.000000,,-678543798.000000,-885116579.000000,-2367028645.000000,-4572250764.000000,1767440142.000000,,1378329338.000000,432637499.000000,-3164130.000000,-40362565.000000,1767440142.000000,-2804810622.000000,,-2804810622.000000,-10184000.000000,-2814994622.000000,-2804810622.000000,-2804810622.000000,,-2804810622.000000,-2814994622.000000,-2814994622.000000,,-2814994622.000000
12M 2021,218407927988.000000,218407927988.000000,218407927988.000000,-2170779608.000000,-798368268.000000,,-610041290.000000,-762370050.000000,-2170779608.000000,216237148380.000000,66156217.000000,,,69988582.000000,-2149220.000000,-1683145.000000,66156217.000000,216303304597.000000,,216303304597.000000,61118000.000000,216364422597.000000,216303304597.000000,216303304597.000000,,216303304597.000000,216364422597.000000,216364422597.000000,,216364422597.000000
12M 2022,-50235590241.000000,-50235590241.000000,-50235590241.000000,-2403489335.000000,-798368268.000000,,-668329400.000000,-936791667.000000,-2403489335.000000,-52639079576.000000,1743285804.000000,,,380589213.000000,-3756503.000000,1366453094.000000,1743285804.000000,-50895793772.000000,,-50895793772.000000,94827000.000000,-50800966772.000000,-50895793772.000000,-50895793772.000000,,-50895793772.000000,-50800966772.000000,-50800966772.000000,,-50800966772.000000
12M 2023,-66339949444.000000,-66339949444.000000,-66339949444.000000,-3266527180.000000,-1137698210.000000,,-764885750.000000,-1363943220.000000,-3266527180.000000,-69606476624.000000,1292183415.000000,,,1611160602.000000,-6914087.000000,-312063100.000000,1292183415.000000,-68314293209.000000,-128284200.000000,-68442577409.000000,-27765000.000000,-68470342409.000000,-68442577409.000000,-68442528738.000000,-48671.000000,-68442577409.000000,-68470342409.000000,-68470342409.000000,,-68470342409.000000
12M 2024,6436780052.000000,6436780052.000000,6436780052.000000,-3829487054.000000,-1221069568.000000,,-1260428691.000000,-1347988795.000000,-3829487054.000000,2607292998.000000,5753254860.000000,,,3000659583.000000,-4705610.000000,2757300887.000000,5753254860.000000,8360547858.000000,,8360547858.000000,135836597.000000,8496384455.000000,8360547858.000000,8360560730.000000,-12872.000000,8360547858.000000,8496384455.000000,8496397327.000000,-12872.000000,8496384455.000000
