Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Portofolio Efek,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Investasi Pada Entitas Asosiasi,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Lain-Lain,Utang Usaha,Beban Akrual,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,17122048286.000000,739500000.000000,,,15465427000.000000,,33326975286.000000,,607968750.000000,13566542264.000000,,14174511014.000000,47501486300.000000,,,1531432140.000000,137902140.000000,,160000000.000000,2030000.000000,1231500000.000000,1531432140.000000,67333000.000000,67333000.000000,67333000.000000,1598765140.000000,,25115000000.000000,20000000.000000,767721160.000000,,20000000000.000000,45902721160.000000,47501486300.000000,251150000.000000
12M 2018,,,24013496359.000000,,101444279.000000,,34054434221.000000,,58169374859.000000,,499843750.000000,12871298996.000000,20530980864.000000,33902123610.000000,92071498469.000000,,,960182500.000000,,,54500000.000000,1182500.000000,904500000.000000,960182500.000000,96364000.000000,96364000.000000,96364000.000000,1056546500.000000,,65115000000.000000,17828775999.000000,8045976970.000000,,25199000.000000,91014951969.000000,92071498469.000000,651150000.000000
12M 2019,,,14421498645.000000,,43260335.000000,,43936849300.000000,212730000.000000,58614338280.000000,,391718750.000000,12176055728.000000,32381235184.000000,44949009662.000000,103563347942.000000,,,2673129500.000000,,5886000.000000,2413000.000000,1732500.000000,2663098000.000000,2673129500.000000,159899000.000000,159899000.000000,159899000.000000,2833028500.000000,,65115000000.000000,17828775999.000000,17762250443.000000,,24293000.000000,100730319442.000000,103563347942.000000,651150000.000000
12M 2020,,,9978891266.000000,327760729.000000,43260335.000000,,32826951000.000000,94290000.000000,43271153330.000000,,283593750.000000,11480812460.000000,44601829122.000000,56366235332.000000,99637388662.000000,,,1477532842.000000,,111865442.000000,,3817400.000000,1361850000.000000,1477532842.000000,244531000.000000,244531000.000000,244531000.000000,1722063842.000000,,65115000000.000000,17828775999.000000,14957439821.000000,,14109000.000000,97915324820.000000,99637388662.000000,651150000.000000
12M 2021,,,11515134051.000000,,,,292806018240.000000,16350000.000000,304337502291.000000,,180468750.000000,10785569192.000000,,10966037942.000000,315303540233.000000,,,825784816.000000,60604000.000000,348485066.000000,,3367750.000000,413328000.000000,825784816.000000,198008000.000000,198008000.000000,198008000.000000,1023792816.000000,,65115000000.000000,17828775999.000000,231260744418.000000,,75227000.000000,314279747417.000000,315303540233.000000,651150000.000000
12M 2022,,,50190682565.000000,930684265.000000,5000000.000000,,188213260600.000000,56351000.000000,239395978430.000000,,77343750.000000,10090325924.000000,15000000000.000000,25167669674.000000,264563648104.000000,,,981185459.000000,,83032459.000000,,4415000.000000,893738000.000000,981185459.000000,103682000.000000,103682000.000000,103682000.000000,1084867459.000000,,65115000000.000000,17828775999.000000,180364950646.000000,,170054000.000000,263478780645.000000,264563648104.000000,651150000.000000
12M 2023,,,58073247550.000000,1196423979.000000,,,117413000790.000000,55572222.000000,176738244541.000000,,,19546497464.000000,,19546497464.000000,196284742005.000000,,,1117050669.000000,,39127500.000000,,136528950.000000,941394219.000000,1117050669.000000,169387000.000000,169387000.000000,169387000.000000,1286437669.000000,,65115000000.000000,17817731170.000000,111922421908.000000,862258.000000,142289000.000000,194998304336.000000,196284742005.000000,651150000.000000
12M 2024,,,91907245626.000000,,,,95377299010.000000,,187284544636.000000,,,18325427896.000000,,18325427896.000000,205609972532.000000,,,1965160917.000000,1182928062.000000,,,25188855.000000,757044000.000000,1965160917.000000,150122824.000000,150122824.000000,150122824.000000,2115283741.000000,,65115000000.000000,17817731170.000000,120282982638.000000,849386.000000,278125597.000000,203494688791.000000,205609972532.000000,651150000.000000
