Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Pra Akuisisi,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,79794357961.000000,-58372516755.000000,21421841206.000000,-10395874349.000000,-10395874349.000000,-10395874349.000000,11025966857.000000,-9535484657.000000,-4418318336.000000,,-5117166321.000000,-9535484657.000000,1490482200.000000,1743213608.000000,3233695808.000000,,-3247275808.000000,-13580000.000000,,-13580000.000000,-13580000.000000,-13580000.000000,,-13580000.000000,-13580000.000000,-13580000.000000,,-13580000.000000
12M 2014,137617015544.000000,-110228984176.000000,27388031368.000000,-26237883994.000000,-26237883994.000000,-26237883994.000000,1150147374.000000,4587624719.000000,673049314.000000,,3914575405.000000,4587624719.000000,5737772093.000000,7289749067.000000,13027521160.000000,-6061958982.000000,,6965562178.000000,,6965562178.000000,6965562178.000000,9326862312.000000,-2361300134.000000,6965562178.000000,6965562178.000000,9326862312.000000,-2361300134.000000,6965562178.000000
12M 2015,128703398359.000000,-100390640500.000000,28312757859.000000,-32552570600.000000,-32552570600.000000,-32552570600.000000,-4239812741.000000,-16234067806.000000,3567393841.000000,,-19801461647.000000,-16234067806.000000,-20473880547.000000,4097826369.000000,-16376054178.000000,,,-16376054178.000000,1076846572.000000,-15299207606.000000,-16376054178.000000,-13356620956.000000,-3019433222.000000,-16376054178.000000,-15299207606.000000,-12657209105.000000,-2641998501.000000,-15299207606.000000
12M 2016,177239079750.000000,-134823678759.000000,42415400991.000000,-48119434330.000000,-48119434330.000000,-48119434330.000000,-5704033339.000000,20712419180.000000,-6646246350.000000,,27358665530.000000,20712419180.000000,15008385841.000000,-7010951781.000000,7997434060.000000,,,7997434060.000000,-322591159.000000,7674842901.000000,7997434060.000000,801731427.000000,7195702633.000000,7997434060.000000,7674842901.000000,332428148.000000,7342414753.000000,7674842901.000000
12M 2017,214860495031.000000,-188113205660.000000,26747289371.000000,-43170310409.000000,-43170310409.000000,-43170310409.000000,-16423021038.000000,-6986710631.000000,-6500246936.000000,,-486463695.000000,-6986710631.000000,-23409731669.000000,-11533384100.000000,-34943115769.000000,,,-34943115769.000000,-1146536245.000000,-36089652014.000000,-34943115769.000000,-26301451062.000000,-8641664707.000000,-34943115769.000000,-36089652014.000000,-27978352056.000000,-8111299958.000000,-36089652014.000000
12M 2018,98391684290.000000,-142279700504.000000,-43888016214.000000,-35084931011.000000,-35084931011.000000,-35084931011.000000,-78972947225.000000,-75709286648.000000,-37276813880.000000,,-38432472768.000000,-75709286648.000000,-154682233873.000000,23558711885.000000,-131123521988.000000,,,-131123521988.000000,-28084342.000000,-131151606330.000000,-131123521988.000000,-100844034938.000000,-30279487050.000000,-131123521988.000000,-131151606330.000000,-100815646411.000000,-30335959919.000000,-131151606330.000000
12M 2019,19183691878.000000,-61668434352.000000,-42484742474.000000,-8068178285.000000,-8068178285.000000,-8068178285.000000,-50552920759.000000,-17702898934.000000,-36881963173.000000,,19179064239.000000,-17702898934.000000,-68255819693.000000,,-68255819693.000000,,,-68255819693.000000,-9397378.000000,-68265217071.000000,-68255819693.000000,-53355574254.000000,-14900245439.000000,-68255819693.000000,-68265217071.000000,-53362920184.000000,-14902296887.000000,-68265217071.000000
12M 2020,3720962679.000000,-8560359916.000000,-4839397237.000000,-3766836680.000000,-3766836680.000000,-3766836680.000000,-8606233917.000000,-374622653386.000000,-4238946885.000000,,-370383706501.000000,-374622653386.000000,-383228887303.000000,,-383228887303.000000,,,-383228887303.000000,-8787824.000000,-383237675127.000000,-383228887303.000000,-302025577140.000000,-81203310163.000000,-383228887303.000000,-383237675127.000000,-302032446582.000000,-81205228545.000000,-383237675127.000000
