Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,(Pembayaran) Penerimaan Dari Kegiatan Operasional Lainnya,Pembayaran Untuk Beban Pengiriman Dan Asuransi,Pembayaran Beban Gaji,Pembayaran Untuk Beban Perjalanan Dinas,Penerimaan Lainnya,Pembayaran Untuk Pajak Penghasilan,Pembayaran Beban Bunga,Pembayaran Pajak,Penerimaan Pendapatan Bunga,Penerimaan (Pembayaran) Pajak Penghasilan,Penerimaan Tagihan Pajak,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Uang Muka Untuk Perolehan Aset Tetap,Penjualan Investasi Dalam Saham,Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Penambahan Properti Investasi,Penerimaan Dari Penjualan Aset Tetap,Pembayaran Uang Muka Pembelian Tanah,Penerimaan (Penyertaan) Investasi Dalam Saham,Uang Muka Properti Investasi,Pencairan Dana Yang Dibatasi Penggunaanya,Penambahan Ekuitas Dari Entitas Anak Yang Dikonsolidasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana Saham-Bersih,Penerimaan (Pembayaran) Pinjaman Bank,Penambahan (Pembayaran) Pinjaman Bank Jangka Pendek,Penambahan Utang Bank Jangka Pendek,Penambahan Utang Bank Jangka Panjang,Pembayaran Kas Dividen,Penambahan Modal Dari Penawaran Perdana Saham Publik,Penambahan Penyertaan Oleh Non Pengendali,Pembayaran Utang Pembiayaan Konsumen Dan Utang Sewa,Penambahan Utang Sewa,Pembayaran Utang Sewa,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Saldo Awal Kas Dan Setara Kas Entitas Anak Yang Dikonsolidasi,Penurunan (Peningkatan) Dana Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,14312213.000000,147052175.000000,-111889487.000000,-3985445.000000,-8446323.000000,-3257171.000000,,-849545.000000,,-4057548.000000,-391416.000000,,136973.000000,,,,14312213.000000,-5959515.000000,-2631202.000000,,,,,-305300.000000,-4724642.000000,128606.000000,-398230.000000,2233645.000000,-262392.000000,,,,-5959515.000000,-3595430.000000,,-916500.000000,,,,-1943365.000000,,2850.000000,,,,-738415.000000,-3595430.000000,4757268.000000,,-3248616.000000,4105694.000000,5614346.000000
12M 2012,-56341669.000000,122231495.000000,-156046520.000000,-7156807.000000,-7813672.000000,-2357366.000000,,-830570.000000,,-3343744.000000,-1275414.000000,,250929.000000,,,,-56341669.000000,-8527883.000000,-2742009.000000,,,,,-55754.000000,,157412.000000,-371202.000000,-844327.000000,-4672003.000000,,,,-8527883.000000,63360013.000000,,54537767.000000,,,,,10652098.000000,1041.000000,,,,-1830893.000000,63360013.000000,-1509539.000000,,173600.000000,5614346.000000,4278407.000000
12M 2013,23576778.000000,90873232.000000,-51863854.000000,-6941455.000000,-2174384.000000,-1014888.000000,,-921504.000000,,-1394946.000000,-3145450.000000,,160027.000000,,,,23576778.000000,-1480979.000000,-2049931.000000,,,,,-5567.000000,,101394.000000,-371202.000000,844327.000000,,,,,-1480979.000000,-29465041.000000,,-40543183.000000,,,13000000.000000,-1154373.000000,,,,,,-767485.000000,-29465041.000000,-7369242.000000,,4072587.000000,4278407.000000,981752.000000
12M 2014,1708254.000000,63755699.000000,-50171082.000000,-6739356.000000,-1690240.000000,-635834.000000,,-614476.000000,,-1560796.000000,-1897881.000000,,8504.000000,,1253716.000000,,1708254.000000,16529.000000,-820481.000000,,,,,,,837010.000000,,,,,,,16529.000000,557815.000000,,-2600000.000000,,,3448128.000000,,,4211.000000,,,,-294524.000000,557815.000000,2282598.000000,,180464.000000,981752.000000,3444814.000000
12M 2015,-8309810.000000,51469678.000000,-47358834.000000,-5487198.000000,-3857877.000000,-366981.000000,,-481948.000000,,-1203896.000000,-1890261.000000,,14160.000000,,853347.000000,,-8309810.000000,-239073.000000,-376123.000000,,,,,-19047.000000,,156097.000000,,,,,,,-239073.000000,6707768.000000,,-2600004.000000,,,9495185.000000,,,,,,,-187413.000000,6707768.000000,-1841115.000000,,-654517.000000,3444814.000000,949182.000000
12M 2016,-1397807.000000,44817156.000000,-38947770.000000,-4544795.000000,,,,,,,-2654455.000000,-88244.000000,20301.000000,,,,-1397807.000000,33468.000000,-88912.000000,,,,,,,122380.000000,,,,,,,33468.000000,1024605.000000,,13655603.000000,,,-12983010.000000,,,,,442304.000000,,-90292.000000,1024605.000000,-339734.000000,,40719.000000,949182.000000,650167.000000
12M 2017,26567257.000000,68086714.000000,-34999703.000000,-4471486.000000,,,,,,,-1806998.000000,-256927.000000,15657.000000,,,,26567257.000000,-23755.000000,-99441.000000,,,,,,,75686.000000,,,,,,,-23755.000000,-21603882.000000,,-7698243.000000,,,-15721554.000000,,,,,1897179.000000,,-81264.000000,-21603882.000000,4939620.000000,,195776.000000,650167.000000,5785563.000000
12M 2018,16083051.000000,104372762.000000,-83576784.000000,,,,,,,,-791385.000000,-4305776.000000,384234.000000,,,,16083051.000000,604727.000000,-619750.000000,,-122314.000000,,,,,1568393.000000,,,,,-221602.000000,,604727.000000,-14189006.000000,,-12240689.000000,,,-500000.000000,,,36107.000000,,-1146139.000000,,-338285.000000,-14189006.000000,2498772.000000,713362.000000,-1366048.000000,5785563.000000,7631649.000000
12M 2019,-41324408.000000,69464801.000000,-107289799.000000,,,,,,,,-1557305.000000,-1989387.000000,47282.000000,,,,-41324408.000000,3312647.000000,-804409.000000,,5439.000000,,,,,4111617.000000,,,,,,,3312647.000000,32516636.000000,,863247.000000,,33835622.000000,,,,6428.000000,,-1666947.000000,,-521714.000000,32516636.000000,-5495125.000000,,433878.000000,7631649.000000,2570402.000000
12M 2020,-14761644.000000,48895832.000000,-59704978.000000,,,,,,,,-3695844.000000,,16085.000000,-272739.000000,,,-14761644.000000,1117341.000000,-1032537.000000,,-16722.000000,,,,,2166600.000000,,,,,,,1117341.000000,11451013.000000,,-67627.000000,14389183.000000,,,,,-176426.000000,,-2266112.000000,,-428005.000000,11451013.000000,-2193290.000000,,1339644.000000,2570402.000000,1716756.000000
