Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Cicilan,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Cicilan,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,4105694.000000,16232938.000000,16201913.000000,31025.000000,16232938.000000,1676522.000000,457912.000000,1218610.000000,1676522.000000,28718314.000000,2436778.000000,53170246.000000,,173868.000000,8061546.000000,,,,2334757.000000,10570171.000000,63740417.000000,,,46314400.000000,6166500.000000,,32072732.000000,32072732.000000,,457539.000000,1240675.000000,1698214.000000,1840402.000000,257502.000000,,,,,,,4279050.000000,46314400.000000,1267411.000000,,,571937.000000,,,571937.000000,,,695474.000000,1267411.000000,47581811.000000,,10998253.000000,,5106956.000000,,5106956.000000,5106956.000000,6672.000000,46725.000000,16158606.000000,63740417.000000,100000.000000
12M 2011,,,50910891396.000000,185875121058.000000,184403429703.000000,1471691355.000000,185875121058.000000,12932752982.000000,12932752982.000000,,12932752982.000000,588169517165.000000,95783771330.000000,933672053931.000000,,2941263673.000000,95365152600.000000,85031409230.000000,2630334505.000000,,799944439.000000,186768104447.000000,1120440158378.000000,,,889780229858.000000,47607000000.000000,,701403916603.000000,701403916603.000000,,43456158116.000000,,43456158116.000000,34530291627.000000,2477219784.000000,,4170816666.000000,,,,4170816666.000000,56134827062.000000,889780229858.000000,22908877991.000000,,,3701762806.000000,,,3701762806.000000,,8853439998.000000,10353675187.000000,22908877991.000000,912689107849.000000,,200000000000.000000,,7640417323.000000,,7640417323.000000,7640417323.000000,110633206.000000,,207751050529.000000,1120440158378.000000,2000000000.000000
12M 2012,,,4278407.000000,25599278.000000,24530867.000000,1068411.000000,25599278.000000,2147735.000000,2007375.000000,140360.000000,2147735.000000,78620672.000000,9192594.000000,119838686.000000,,522558.000000,12549296.000000,9693982.000000,283099.000000,,2236093.000000,25285028.000000,145123714.000000,,,102559111.000000,59787767.000000,,37727933.000000,37727933.000000,,71220.000000,,71220.000000,2359106.000000,69670.000000,,615684.000000,,,,615684.000000,1927731.000000,102559111.000000,2291900.000000,,,585181.000000,,,585181.000000,,,1706719.000000,2291900.000000,104851011.000000,,24942328.000000,7812965.000000,7610559.000000,,7610559.000000,7610559.000000,17290.000000,-110439.000000,40272703.000000,145123714.000000,2272500000.000000
12M 2013,,,981752.000000,18143096.000000,18038815.000000,104281.000000,18143096.000000,977480.000000,704453.000000,273027.000000,977480.000000,73320470.000000,1915708.000000,95338506.000000,,686770.000000,12492347.000000,9532678.000000,206039.000000,,2365847.000000,25283681.000000,120622187.000000,,,69822263.000000,20761251.000000,,42138371.000000,42138371.000000,,81951.000000,,81951.000000,1055883.000000,256151.000000,,375278.000000,2600000.000000,,,2975278.000000,2553378.000000,69822263.000000,11500282.000000,,8883333.000000,2510436.000000,,,11393769.000000,,,106513.000000,11500282.000000,81322545.000000,,24942328.000000,7812965.000000,6958593.000000,51799.000000,6906794.000000,6958593.000000,19294.000000,-433538.000000,39299642.000000,120622187.000000,2272500000.000000
12M 2014,,,3444814.000000,28489088.000000,24837250.000000,3651838.000000,28489088.000000,958256.000000,956970.000000,1286.000000,958256.000000,66212300.000000,1004273.000000,100108731.000000,,743090.000000,11230126.000000,9371373.000000,122926.000000,,1882586.000000,23350101.000000,123458832.000000,,,74786492.000000,24209379.000000,,42968500.000000,42968500.000000,,1704303.000000,,1704303.000000,757637.000000,363379.000000,,161223.000000,2600000.000000,,,2761223.000000,2022071.000000,74786492.000000,8920582.000000,,6283333.000000,86149.000000,,,6369482.000000,,,2551100.000000,8920582.000000,83707074.000000,,24942328.000000,7812965.000000,7472987.000000,61847.000000,7411140.000000,7472987.000000,31661.000000,-508183.000000,39751758.000000,123458832.000000,2272500000.000000
12M 2015,,,949182.000000,24023001.000000,23195207.000000,827794.000000,24023001.000000,635664.000000,631378.000000,4286.000000,635664.000000,50692175.000000,1554351.000000,77854373.000000,,556592.000000,10218642.000000,9210068.000000,55051.000000,,1348639.000000,21388992.000000,99243365.000000,,,60037186.000000,33704564.000000,,21197430.000000,21197430.000000,,143410.000000,,143410.000000,523275.000000,324326.000000,,69746.000000,2600000.000000,,,2669746.000000,1474435.000000,60037186.000000,5539418.000000,,3683329.000000,53379.000000,,,3736708.000000,,,1802710.000000,5539418.000000,65576604.000000,,24942328.000000,7812965.000000,894727.000000,72135.000000,822592.000000,894727.000000,29298.000000,-12557.000000,33666761.000000,99243365.000000,2272500000.000000
12M 2016,,,650167.000000,22772254.000000,21435536.000000,1336718.000000,22772254.000000,354448.000000,338901.000000,15547.000000,354448.000000,37584549.000000,1729435.000000,63090853.000000,,697964.000000,11670649.000000,9048763.000000,17338.000000,,1323054.000000,22757768.000000,85848621.000000,,,39525028.000000,20721554.000000,,10812027.000000,10812027.000000,,105377.000000,,105377.000000,694684.000000,237763.000000,,,4040000.000000,148861.000000,47025.000000,4235886.000000,2717737.000000,39525028.000000,18522460.000000,,15898932.000000,,293443.000000,18509.000000,16210884.000000,,,2311576.000000,18522460.000000,58047488.000000,,24942328.000000,7812965.000000,-4957548.000000,72135.000000,-5029683.000000,-4957548.000000,23946.000000,-20558.000000,27801133.000000,85848621.000000,2272500000.000000
12M 2017,,,5785563.000000,31498350.000000,29018233.000000,2480117.000000,31498350.000000,328953.000000,324997.000000,3956.000000,328953.000000,26134252.000000,1941395.000000,65688513.000000,,702399.000000,13184341.000000,8887459.000000,7758.000000,,637471.000000,23419428.000000,89107941.000000,,,46140137.000000,5000000.000000,,32497788.000000,32497788.000000,,84096.000000,,84096.000000,1125886.000000,698473.000000,,,2973333.000000,866637.000000,38153.000000,3878123.000000,2855771.000000,46140137.000000,13843287.000000,,9267356.000000,,1472846.000000,41706.000000,10781908.000000,,,3061379.000000,13843287.000000,59983424.000000,,24942328.000000,7812965.000000,-3421915.000000,72135.000000,-3494050.000000,-3421915.000000,23277.000000,-232138.000000,29124517.000000,89107941.000000,2272500000.000000
12M 2018,,,7631649.000000,26831937.000000,26177229.000000,654708.000000,26831937.000000,734746.000000,731632.000000,3114.000000,734746.000000,43019838.000000,5353192.000000,83571362.000000,,743005.000000,16525372.000000,8726155.000000,5101.000000,,2350694.000000,28350327.000000,111921689.000000,,,74906893.000000,4500000.000000,,65533516.000000,65533516.000000,,143916.000000,,143916.000000,2342216.000000,211481.000000,,,,1167404.000000,210506.000000,1377910.000000,797854.000000,74906893.000000,4985603.000000,,,,1149915.000000,288468.000000,1438383.000000,80127.000000,,3467093.000000,4985603.000000,79892496.000000,,24942328.000000,7812965.000000,-458795.000000,72135.000000,-530930.000000,-458795.000000,243148.000000,-510453.000000,32029193.000000,111921689.000000,2272500000.000000
12M 2019,,,2570402.000000,27230127.000000,26868334.000000,361793.000000,27230127.000000,706261.000000,625575.000000,80686.000000,706261.000000,55759189.000000,3148236.000000,89414215.000000,,1085967.000000,20791600.000000,8564850.000000,1022.000000,,3586007.000000,34029446.000000,123443661.000000,,,82678723.000000,38335622.000000,,39396103.000000,39396103.000000,,210329.000000,,210329.000000,1085221.000000,189104.000000,,,55951.000000,1908716.000000,360624.000000,2325291.000000,1137053.000000,82678723.000000,8669507.000000,,807296.000000,,2724870.000000,302931.000000,3835097.000000,263785.000000,,4570625.000000,8669507.000000,91348230.000000,,24942328.000000,7812965.000000,-366250.000000,72135.000000,-438385.000000,-366250.000000,304611.000000,-598223.000000,32095431.000000,123443661.000000,2272500000.000000
