Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,149459969.000000,-116831946.000000,32628023.000000,-18347620.000000,,-6978235.000000,-9875382.000000,,-1494003.000000,-18347620.000000,14280403.000000,-254443.000000,136973.000000,-391416.000000,-254443.000000,14025960.000000,-3649537.000000,-59781.000000,-3740685.000000,150929.000000,-3649537.000000,10376423.000000,-21352.000000,,-21352.000000,10355071.000000,10376423.000000,10373981.000000,2442.000000,10376423.000000,10355071.000000,10352629.000000,2442.000000,10355071.000000
12M 2012,131774450.000000,-104439742.000000,27334708.000000,-19584941.000000,,-6148556.000000,-11468338.000000,,-1968047.000000,-19584941.000000,7749767.000000,-1024485.000000,250929.000000,-1275414.000000,-1024485.000000,6725282.000000,-1543068.000000,-61545.000000,-1681451.000000,199928.000000,-1543068.000000,5182214.000000,-135812.000000,,-135812.000000,5046402.000000,5182214.000000,5177929.000000,4285.000000,5182214.000000,5046402.000000,5042117.000000,4285.000000,5046402.000000
12M 2013,82888105.000000,-63853227.000000,19034878.000000,-15358063.000000,,-5030520.000000,-9844042.000000,,-483501.000000,-15358063.000000,3676815.000000,-2985423.000000,160027.000000,-3145450.000000,-2985423.000000,691392.000000,-186981.000000,-62882.000000,-299213.000000,175114.000000,-186981.000000,504411.000000,-433538.000000,,-433538.000000,70873.000000,504411.000000,502407.000000,2004.000000,504411.000000,70873.000000,68869.000000,2004.000000,70873.000000
12M 2014,74788374.000000,-58687080.000000,16101294.000000,-13211497.000000,,-4692649.000000,-9108499.000000,,589651.000000,-13211497.000000,2889797.000000,-1889377.000000,8504.000000,-1897881.000000,-1889377.000000,1000420.000000,-477870.000000,-51439.000000,-484438.000000,58007.000000,-477870.000000,522550.000000,-508183.000000,,-508183.000000,14367.000000,522550.000000,514394.000000,8156.000000,522550.000000,14367.000000,6211.000000,8156.000000,14367.000000
12M 2015,47770052.000000,-40988696.000000,6781356.000000,-10619097.000000,,-3643897.000000,-6780524.000000,,-194676.000000,-10619097.000000,-3837741.000000,-1876101.000000,14160.000000,-1890261.000000,-1876101.000000,-5713842.000000,-553922.000000,,-553922.000000,,-553922.000000,-6267764.000000,70875.000000,70875.000000,70875.000000,-6196889.000000,-6267764.000000,-6264891.000000,-2873.000000,-6267764.000000,-6196889.000000,-6194016.000000,-2873.000000,-6196889.000000
12M 2016,42323109.000000,-35978073.000000,6345036.000000,-9484847.000000,,-3406533.000000,-6379499.000000,,301185.000000,-9484847.000000,-3139811.000000,-2634154.000000,20301.000000,-2654455.000000,-2634154.000000,-5773965.000000,-76056.000000,,-76056.000000,,-76056.000000,-5850021.000000,-15607.000000,-15607.000000,-15607.000000,-5865628.000000,-5850021.000000,-5852275.000000,2254.000000,-5850021.000000,-5865628.000000,-5871087.000000,5459.000000,-5865628.000000
12M 2017,74867571.000000,-59939374.000000,14928197.000000,-10566541.000000,,-3493169.000000,-6184196.000000,,-889176.000000,-10566541.000000,4361656.000000,-1791341.000000,15657.000000,-1806998.000000,-1791341.000000,2570315.000000,-1034619.000000,,-1034619.000000,,-1034619.000000,1535696.000000,-212305.000000,-212305.000000,-212305.000000,1323391.000000,1535696.000000,1535633.000000,63.000000,1535696.000000,1323391.000000,1402490.000000,-79099.000000,1323391.000000
12M 2018,101498594.000000,-81484791.000000,20013803.000000,-14369157.000000,,-4788699.000000,-8513093.000000,,-1067365.000000,-14369157.000000,5644646.000000,-407151.000000,384234.000000,-791385.000000,-407151.000000,5237495.000000,-2108051.000000,,-2108051.000000,,-2108051.000000,3129444.000000,-249496.000000,-249496.000000,-249496.000000,2879948.000000,3129444.000000,2963120.000000,166324.000000,3129444.000000,2879948.000000,2885395.000000,-5447.000000,2879948.000000
12M 2019,71466257.000000,-57011126.000000,14455131.000000,-12259724.000000,,-4502106.000000,-9394231.000000,,1636613.000000,-12259724.000000,2195407.000000,-1510023.000000,47282.000000,-1557305.000000,-1510023.000000,685384.000000,-546522.000000,,-546522.000000,,-546522.000000,138862.000000,-86089.000000,-86089.000000,-86089.000000,52773.000000,138862.000000,92545.000000,46317.000000,138862.000000,52773.000000,39207.000000,13566.000000,52773.000000
12M 2020,50968714.000000,-42588723.000000,8379991.000000,-14352058.000000,,-3659386.000000,-10567441.000000,,-125231.000000,-14352058.000000,-5972067.000000,-3679759.000000,16085.000000,-3695844.000000,-3679759.000000,-9651826.000000,-784756.000000,,-784756.000000,,-784756.000000,-10436582.000000,382924.000000,382924.000000,382924.000000,-10053658.000000,-10436582.000000,-10465601.000000,29019.000000,-10436582.000000,-10053658.000000,-10146249.000000,92591.000000,-10053658.000000
12M 2021,119322152.000000,-96941465.000000,22380687.000000,-5972859.000000,,-5483782.000000,-9014177.000000,,8525100.000000,-5972859.000000,16407828.000000,-2631794.000000,24205.000000,-2655999.000000,-2631794.000000,13776034.000000,-230732.000000,,-230732.000000,,-230732.000000,13545302.000000,28109.000000,28109.000000,28109.000000,13573411.000000,13545302.000000,13523364.000000,21938.000000,13545302.000000,13573411.000000,13547375.000000,26036.000000,13573411.000000
12M 2022,2506023138911.000000,-2051711747657.000000,454311391254.000000,-370007100547.000000,-302358687308.000000,,,,-67648413239.000000,-370007100547.000000,84304290707.000000,-6839631554.000000,6475465262.000000,-13315096816.000000,-6839631554.000000,77464659153.000000,-14940225808.000000,-972368831.000000,-9718099837.000000,-4249757140.000000,-14940225808.000000,62524433345.000000,33588190729.000000,,33588190729.000000,96112624074.000000,62524433345.000000,61921920965.000000,602512380.000000,62524433345.000000,96112624074.000000,95690596250.000000,422027824.000000,96112624074.000000
12M 2023,1962284352932.000000,-1638160725578.000000,324123627354.000000,-375136276665.000000,-401271892179.000000,,,,26135615514.000000,-375136276665.000000,-51012649311.000000,-43306847951.000000,1978798361.000000,-45285646312.000000,-43306847951.000000,-94319497262.000000,9486400109.000000,-902893727.000000,-5550771024.000000,15940064860.000000,9486400109.000000,-84833097153.000000,6346618200.000000,6346618200.000000,6346618200.000000,-78486478953.000000,-84833097153.000000,-84759865531.000000,-73231622.000000,-84833097153.000000,-78486478953.000000,-78416113107.000000,-70365846.000000,-78486478953.000000
12M 2024,2101582212772.000000,-1717958683625.000000,383623529147.000000,-281923065976.000000,-269878836721.000000,,,,-12044229255.000000,-281923065976.000000,101700463171.000000,-213422146897.000000,398240587.000000,-213820387484.000000,-213422146897.000000,-111721683726.000000,56199208076.000000,-1110607373.000000,-4078254400.000000,61388069849.000000,56199208076.000000,-55522475650.000000,-31183380690.000000,-31183380690.000000,-31183380690.000000,-86705856340.000000,-55522475650.000000,-56627515275.000000,1105039625.000000,-55522475650.000000,-86705856340.000000,-87819674081.000000,1113817741.000000,-86705856340.000000
