Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Usaha,Beban Infrastruktur,Beban Penyusutan,Beban Interkoneksi,Beban Penjualan,Beban Karyawan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2006,5777657000000.000000,6466057000000.000000,-688400000000.000000,5777657000000.000000,-4405002000000.000000,-1508020000000.000000,-613351000000.000000,-1095982000000.000000,-661538000000.000000,-494408000000.000000,-358851000000.000000,344794000000.000000,-17646000000.000000,-4405002000000.000000,1372655000000.000000,-370233000000.000000,-416203000000.000000,51668000000.000000,,,,-5698000000.000000,-370233000000.000000,1002422000000.000000,-350539000000.000000,-2031000000.000000,-348508000000.000000,-350539000000.000000,651883000000.000000,,,651883000000.000000,651883000000.000000,,651883000000.000000,,,,
12M 2007,7989519000000.000000,8364711000000.000000,-375192000000.000000,7989519000000.000000,-6434099000000.000000,-1076676000000.000000,-1705410000000.000000,-1529749000000.000000,-913837000000.000000,-573907000000.000000,-386127000000.000000,-204362000000.000000,-44031000000.000000,-6434099000000.000000,1555420000000.000000,-1037388000000.000000,-694388000000.000000,50749000000.000000,,,,-393749000000.000000,-1037388000000.000000,518032000000.000000,-267251000000.000000,-675000000.000000,-266576000000.000000,-267251000000.000000,250781000000.000000,,,250781000000.000000,250781000000.000000,,250781000000.000000,,,,
12M 2008,12061207000000.000000,12155991000000.000000,-94784000000.000000,12061207000000.000000,-10640369000000.000000,-1988575000000.000000,-3335287000000.000000,-2296381000000.000000,-1374475000000.000000,-722515000000.000000,-547741000000.000000,-332151000000.000000,-43244000000.000000,-10640369000000.000000,1420838000000.000000,-1496047000000.000000,-1122294000000.000000,27649000000.000000,,,,-401402000000.000000,-1496047000000.000000,-75209000000.000000,60100000000.000000,,60100000000.000000,60100000000.000000,-15109000000.000000,,,-15109000000.000000,-15109000000.000000,,-15109000000.000000,,,,
12M 2009,13706051000000.000000,13879513000000.000000,-173462000000.000000,13706051000000.000000,-10497590000000.000000,-3089094000000.000000,-3701880000000.000000,-2027777000000.000000,-1030368000000.000000,-777833000000.000000,-575676000000.000000,744617000000.000000,-39579000000.000000,-10497590000000.000000,3208461000000.000000,-858195000000.000000,-1274077000000.000000,55825000000.000000,,,,360057000000.000000,-858195000000.000000,2350266000000.000000,-653575000000.000000,-23527000000.000000,-630048000000.000000,-653575000000.000000,1696691000000.000000,,,1696691000000.000000,1696691000000.000000,,1696691000000.000000,,,,
12M 2010,17458639000000.000000,17636895000000.000000,-178256000000.000000,17458639000000.000000,-12461580000000.000000,-3120982000000.000000,-4071998000000.000000,-2303762000000.000000,-1291324000000.000000,-904408000000.000000,-551178000000.000000,-167428000000.000000,-50500000000.000000,-12461580000000.000000,4997059000000.000000,-1129078000000.000000,-842604000000.000000,62367000000.000000,,,,-348841000000.000000,-1129078000000.000000,3867981000000.000000,-976720000000.000000,-877050000000.000000,-99670000000.000000,-976720000000.000000,2891261000000.000000,,,2891261000000.000000,2891261000000.000000,,2891261000000.000000,,,,
12M 2011,18712778000000.000000,18921070000000.000000,-208292000000.000000,18712778000000.000000,-14210511000000.000000,,-4610551000000.000000,-2463303000000.000000,,-1199206000000.000000,,-84995000000.000000,-5852456000000.000000,-14210511000000.000000,4502267000000.000000,-637624000000.000000,-754786000000.000000,117162000000.000000,,,,,-637624000000.000000,3864643000000.000000,-1034542000000.000000,-961368000000.000000,-73174000000.000000,-1034542000000.000000,2830101000000.000000,,2830101000000.000000,2830101000000.000000,2830101000000.000000,,2830101000000.000000,2830101000000.000000,2830101000000.000000,,2830101000000.000000
12M 2012,20969806000000.000000,20969806000000.000000,,20969806000000.000000,-16617343000000.000000,-5206335000000.000000,-4993976000000.000000,-3097391000000.000000,-1306482000000.000000,-941119000000.000000,-673153000000.000000,-72342000000.000000,-326545000000.000000,-16617343000000.000000,4352463000000.000000,-601042000000.000000,-782334000000.000000,181292000000.000000,,,,,-601042000000.000000,3751421000000.000000,-986774000000.000000,,,-986774000000.000000,2764647000000.000000,-20732000000.000000,2743915000000.000000,2764647000000.000000,2764647000000.000000,,2764647000000.000000,2743915000000.000000,2743915000000.000000,,2743915000000.000000
12M 2013,21265060000000.000000,21265060000000.000000,,21265060000000.000000,-19606772000000.000000,-6026861000000.000000,-5643404000000.000000,-3725898000000.000000,-1354517000000.000000,-937497000000.000000,-560827000000.000000,-115109000000.000000,-1242659000000.000000,-19606772000000.000000,1658288000000.000000,-268621000000.000000,-998211000000.000000,705605000000.000000,23985000000.000000,,,,-268621000000.000000,1389667000000.000000,-356850000000.000000,,,-356850000000.000000,1032817000000.000000,23148000000.000000,1055965000000.000000,1032817000000.000000,1032817000000.000000,,1032817000000.000000,1055965000000.000000,1055965000000.000000,,1055965000000.000000
12M 2014,23460015000000.000000,23460015000000.000000,,23460015000000.000000,-23031603000000.000000,-8229219000000.000000,-6338264000000.000000,-3356261000000.000000,-1424475000000.000000,-1159942000000.000000,-666679000000.000000,-619544000000.000000,-1237219000000.000000,-23031603000000.000000,428412000000.000000,-1498198000000.000000,-1597626000000.000000,201120000000.000000,-101692000000.000000,,,,-1498198000000.000000,-1069786000000.000000,178723000000.000000,,,178723000000.000000,-891063000000.000000,-26252000000.000000,-917315000000.000000,-891063000000.000000,-891063000000.000000,,-891063000000.000000,-917315000000.000000,-917315000000.000000,,-917315000000.000000
12M 2015,22876182000000.000000,22876182000000.000000,,22876182000000.000000,-19736905000000.000000,-9286366000000.000000,-6889429000000.000000,-2320957000000.000000,-1127023000000.000000,-1089065000000.000000,-659727000000.000000,21813000000.000000,1613849000000.000000,-19736905000000.000000,3139277000000.000000,-3769803000000.000000,-1807768000000.000000,727526000000.000000,-147016000000.000000,,-2542545000000.000000,,-3769803000000.000000,-630526000000.000000,605188000000.000000,,,605188000000.000000,-25338000000.000000,33209000000.000000,7871000000.000000,-25338000000.000000,-25338000000.000000,,-25338000000.000000,7871000000.000000,7871000000.000000,,7871000000.000000
