Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan Dan Operator Lain,Pembayaran Kepada Pemasok Dan Beban Lain,Pembayaran Kepada Karyawan,Penghasilan Keuangan Yang Diterima,Pembayaran Pajak Lainnya,Penerimaan Pengembalian Pajak Lainnya,Penerimaan Pajak Penghasilan Badan,Penerimaan (Pembayaran) Pajak Pertambahan Nilai,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Penjualan Aset Tetap,Penerimaan Dari Penjualan Menara,Penerimaan Dari Penjualan Aset Tertentu,Realisasi/(Penambahan) Aset Lain-Lain-Tidak Lancar,Penerimaan Kas Bersih Dari Aset Lain-Lain,Akuisisi Entitas Asosiasi Baru,Akuisisi Bisnis Kombinasi,Akuisisi Entitas Anak,Pembayaran Berkaitan Dengan Akuisisi Entitas Anak,Investasi Pada Pengendalian Bersama Entitas,Investasi Pada Ventura Bersama,Investasi Pada Entitas Asosiasi,Pembayaran Ijin Pita Spektrum 3G,Penerimaan Dari Transaksi Jual Dan Sewa-Balik,Pembelian Lisensi,Penerimaan Dari Aset Tetap Yang Dijual Dan Penggantian Klaim Asuransi,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Dari Klaim Asuransi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Obligasi,Pembayaran Bunga Obligasi,Hasil Penerbitan Obligasi,Pembayaran Biaya Penerbitan Obligasi,Penerimaan Dari Utang Obligasi,Pembayaran Pinjaman Jangka Pendek,Pembayaran Bunga Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Pembayaran Bunga Pinjaman Jangka Panjang,Penerimaan Dari Transaksi Jual Dan Sewa-Balik,Pembayaran Liabilitas Sewa Dan Biaya Transaksi Jual Dan Sewa-Balik,Pembayaran Bunga Liabilitas Sewa,Biaya Penerbitan Saham,Penerimaan Dari Penerbitan Saham,Pembayaran Dividen,Pembayaran Dividen Kepada Kepentingan Nonpengendali,Penerimaan Pinjaman Dari Pemegang Saham,Pembayaran Pinjaman Kepada Pemegang Saham,Saham Treasuri,Penerimaan Dari Penjualan Saham Treasuri,Penerimaan Dari Penawaran Umum Terbatas,Biaya Penerbitan Sukuk Ijarah,Pembayaran Imbal Hasil Ijarah,Pembayaran Sukuk Ijarah,Penerimaan Dari Sukuk Ijarah,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2006,2860573000000.000000,5902480000000.000000,-2710191000000.000000,-389621000000.000000,51589000000.000000,,,,,6316000000.000000,2860573000000.000000,-4517902000000.000000,-4027420000000.000000,,,,-493098000000.000000,,,,,,,,,,,,2616000000.000000,,,-4517902000000.000000,1366798000000.000000,,-351180000000.000000,2440863000000.000000,-30598000000.000000,,-688100000000.000000,-4187000000.000000,,,,,,,,,,,,,,,,,,,,,1366798000000.000000,-290531000000.000000,880485000000.000000,-2778000000.000000,587176000000.000000
12M 2007,3986073000000.000000,8039046000000.000000,-3602846000000.000000,-460158000000.000000,51180000000.000000,,,,,-41149000000.000000,3986073000000.000000,-7153988000000.000000,-6868396000000.000000,,,,-290686000000.000000,,,,,,,,,,,,5094000000.000000,,,-7153988000000.000000,3382880000000.000000,,-494116000000.000000,1500000000000.000000,-7865000000.000000,,,,,2503455000000.000000,,-51425000000.000000,,,,,,-67169000000.000000,,,,,,,,,,,3382880000000.000000,214965000000.000000,587176000000.000000,3628000000.000000,805769000000.000000
12M 2008,4709501000000.000000,12165611000000.000000,-6619752000000.000000,-650825000000.000000,26304000000.000000,,,,,-211837000000.000000,4709501000000.000000,-11514031000000.000000,-11381712000000.000000,,,,-233217000000.000000,,,,,,,,,,,,100898000000.000000,,,-11514031000000.000000,7263277000000.000000,-4459970000000.000000,-444513000000.000000,,,,-1000000000000.000000,-65461000000.000000,1470950000000.000000,12953122000000.000000,-400000000000.000000,-649051000000.000000,,,,,,-141800000000.000000,,,,,,,,,,,7263277000000.000000,458747000000.000000,805769000000.000000,-94313000000.000000,1170203000000.000000
12M 2009,7718289000000.000000,13765228000000.000000,-5412328000000.000000,-682545000000.000000,57207000000.000000,,,,,-9273000000.000000,7718289000000.000000,-5123428000000.000000,-5282741000000.000000,,,,135583000000.000000,,,,,,,,,,,,23730000000.000000,,,-5123428000000.000000,-3010888000000.000000,-761254000000.000000,-267853000000.000000,,,,-547500000000.000000,-11957000000.000000,,2026133000000.000000,-5216675000000.000000,-1017530000000.000000,,,,,,,,,,,,2785748000000.000000,,,,,-3010888000000.000000,-416027000000.000000,1170203000000.000000,-6211000000.000000,747965000000.000000
12M 2010,8794891000000.000000,17322790000000.000000,-7412054000000.000000,-786700000000.000000,63151000000.000000,,,,,-392296000000.000000,8794891000000.000000,-5057077000000.000000,-4847922000000.000000,,,,93772000000.000000,,,,,,,,,-327627000000.000000,,,24700000000.000000,,,-5057077000000.000000,-4118644000000.000000,-578566000000.000000,-175152000000.000000,,,,,,,3972875000000.000000,-6622767000000.000000,-715034000000.000000,,,,,,,,,,,,,,,,,-4118644000000.000000,-380830000000.000000,747965000000.000000,-974000000.000000,366161000000.000000
12M 2011,8432997000000.000000,18735541000000.000000,-8208553000000.000000,-974531000000.000000,115602000000.000000,,,,,-1235062000000.000000,8432997000000.000000,-6683125000000.000000,-6521544000000.000000,,,,-216351000000.000000,,,,,,,,,,,,54770000000.000000,,,-6683125000000.000000,-1117555000000.000000,,-155250000000.000000,,,,,,,4980654000000.000000,-4558590000000.000000,-471478000000.000000,,,,-1404000000.000000,,-911487000000.000000,,,,,,,,,,,-1117555000000.000000,632317000000.000000,366161000000.000000,-365000000.000000,998113000000.000000
12M 2012,8985420000000.000000,21214831000000.000000,-10413421000000.000000,-1145308000000.000000,130446000000.000000,,,,,-801128000000.000000,8985420000000.000000,-10000557000000.000000,-10175925000000.000000,,,,96067000000.000000,,,,,,,,,,,,79301000000.000000,,,-10000557000000.000000,806428000000.000000,-1500000000000.000000,-77625000000.000000,,,,,,,6474910000000.000000,-2370754000000.000000,-612658000000.000000,,,,-43000000.000000,,-1107402000000.000000,,,,,,,,,,,806428000000.000000,-208709000000.000000,998114000000.000000,2400000000.000000,791805000000.000000
12M 2013,7166911000000.000000,20249671000000.000000,-11926416000000.000000,-906918000000.000000,105032000000.000000,,,49863000000.000000,,-404321000000.000000,7166911000000.000000,-7981192000000.000000,-7393694000000.000000,,,,74170000000.000000,,,,,,-181700000000.000000,,,-513222000000.000000,,,33254000000.000000,,,-7981192000000.000000,1323716000000.000000,,,,,,,,,7701527000000.000000,-4365838000000.000000,-859765000000.000000,,,,-52000000.000000,,-1152156000000.000000,,,,,,,,,,,1323716000000.000000,509435000000.000000,791805000000.000000,16756000000.000000,1317996000000.000000
12M 2014,8540116000000.000000,24148706000000.000000,-14376557000000.000000,-1043181000000.000000,200226000000.000000,,,128686000000.000000,,-517764000000.000000,8540116000000.000000,-16677612000000.000000,-7094671000000.000000,,,,80441000000.000000,,,,22144000000.000000,-10079344000000.000000,,,,,300800000000.000000,,93018000000.000000,,,-16677612000000.000000,13769335000000.000000,,,,,,,,,8080900000000.000000,-3119765000000.000000,-1390029000000.000000,5299200000000.000000,-466045000000.000000,,,,-539719000000.000000,,5810000000000.000000,,-1222734000000.000000,1317527000000.000000,,,,,,13769335000000.000000,5631839000000.000000,1317996000000.000000,1481000000.000000,6951316000000.000000
12M 2015,7506407000000.000000,22940398000000.000000,-15050549000000.000000,-994193000000.000000,398509000000.000000,,,392631000000.000000,,-180389000000.000000,7506407000000.000000,-4605487000000.000000,-4145839000000.000000,,,,,81403000000.000000,,,,,,-152037000000.000000,,,,-412787000000.000000,23773000000.000000,,,-4605487000000.000000,-6556205000000.000000,,,,,,,,,5635350000000.000000,-12422832000000.000000,-1260183000000.000000,,,,-33000000.000000,,,,,,,,,-8507000000.000000,,,1500000000000.000000,-6556205000000.000000,-3655285000000.000000,6951316000000.000000,15836000000.000000,3311867000000.000000
