Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Sukuk Ijarah,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Sukuk Ijarah,Utang Obligasi,Utang Sewa Pembiayaan,Utang Usaha,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2006,,,587176000000.000000,204298000000.000000,187396000000.000000,16902000000.000000,204298000000.000000,3773000000.000000,3767000000.000000,6000000.000000,3773000000.000000,35378000000.000000,352778000000.000000,1183403000000.000000,,,,,,10462010000000.000000,,,,,991162000000.000000,11453172000000.000000,12636575000000.000000,,,2300207000000.000000,,,1664884000000.000000,6621000000.000000,1671505000000.000000,46220000000.000000,,46220000000.000000,,325695000000.000000,,325695000000.000000,,,,,,,,,256787000000.000000,2300207000000.000000,6055174000000.000000,,,5345185000000.000000,,282170000000.000000,347153000000.000000,42155000000.000000,38511000000.000000,6055174000000.000000,8355381000000.000000,,709000000000.000000,2691684000000.000000,880510000000.000000,,880510000000.000000,880510000000.000000,,,4281194000000.000000,12636575000000.000000,7090000000.000000
12M 2007,,,805769000000.000000,308401000000.000000,256997000000.000000,51404000000.000000,308401000000.000000,2153000000.000000,2153000000.000000,,2153000000.000000,58961000000.000000,504026000000.000000,1679310000000.000000,,,,,,15810223000000.000000,,,,,1311022000000.000000,17121245000000.000000,18800555000000.000000,,,7019537000000.000000,,,2674050000000.000000,3628000000.000000,2677678000000.000000,96035000000.000000,,96035000000.000000,,511968000000.000000,4000000.000000,511972000000.000000,,,,40000000000.000000,,3283434000000.000000,,3323434000000.000000,410418000000.000000,7019537000000.000000,7316212000000.000000,2526370000000.000000,,3814082000000.000000,,295803000000.000000,613729000000.000000,,66228000000.000000,7316212000000.000000,14335749000000.000000,,709000000000.000000,2691684000000.000000,1064122000000.000000,100000000.000000,1064022000000.000000,1064122000000.000000,,,4464806000000.000000,18800555000000.000000,7090000000.000000
12M 2008,,,1170203000000.000000,903760000000.000000,835468000000.000000,68292000000.000000,903760000000.000000,34818000000.000000,13450000000.000000,21368000000.000000,34818000000.000000,127633000000.000000,1483149000000.000000,3719563000000.000000,,,,,,23179767000000.000000,,,,,2012383000000.000000,25192150000000.000000,28911713000000.000000,,,6196579000000.000000,547500000000.000000,,3250610000000.000000,28253000000.000000,3278863000000.000000,100887000000.000000,,100887000000.000000,,428601000000.000000,,428601000000.000000,,,,730548000000.000000,,,,730548000000.000000,1110180000000.000000,6196579000000.000000,18407237000000.000000,14563676000000.000000,,2879248000000.000000,,296944000000.000000,553629000000.000000,36828000000.000000,76912000000.000000,18407237000000.000000,24603816000000.000000,,709000000000.000000,2691684000000.000000,907213000000.000000,200000000.000000,907013000000.000000,907213000000.000000,,,4307897000000.000000,28911713000000.000000,7090000000.000000
12M 2009,,,747965000000.000000,332306000000.000000,271887000000.000000,60419000000.000000,332306000000.000000,9501000000.000000,1043000000.000000,8458000000.000000,9501000000.000000,19886000000.000000,897631000000.000000,2007289000000.000000,,,,,,23616394000000.000000,,,,,1756412000000.000000,25372806000000.000000,27380095000000.000000,,,6008894000000.000000,,,2072648000000.000000,26854000000.000000,2099502000000.000000,120304000000.000000,,120304000000.000000,,549333000000.000000,153000000.000000,549486000000.000000,166272000000.000000,,,1921604000000.000000,,553822000000.000000,,2475426000000.000000,597904000000.000000,6008894000000.000000,12568088000000.000000,9491908000000.000000,,1496329000000.000000,,32745000000.000000,1183677000000.000000,64479000000.000000,298950000000.000000,12568088000000.000000,18576982000000.000000,,850800000000.000000,5335632000000.000000,2616681000000.000000,200000000.000000,2616481000000.000000,2616681000000.000000,,,8803113000000.000000,27380095000000.000000,7090000000.000000
12M 2010,,,366161000000.000000,456965000000.000000,430338000000.000000,26627000000.000000,456965000000.000000,77752000000.000000,76628000000.000000,1124000000.000000,77752000000.000000,61044000000.000000,1266095000000.000000,2228017000000.000000,,,,,,23197199000000.000000,,,,,1826065000000.000000,25023264000000.000000,27251281000000.000000,,,4563033000000.000000,,,1637856000000.000000,22195000000.000000,1660051000000.000000,396603000000.000000,,396603000000.000000,,942799000000.000000,,942799000000.000000,,,,976866000000.000000,,,,976866000000.000000,586714000000.000000,4563033000000.000000,10973174000000.000000,7704157000000.000000,,1497794000000.000000,,,1283347000000.000000,142828000000.000000,345048000000.000000,10973174000000.000000,15536207000000.000000,,850800000000.000000,5356332000000.000000,5507942000000.000000,300000000.000000,5507642000000.000000,5507942000000.000000,,,11715074000000.000000,27251281000000.000000,8508000000.000000
12M 2011,,,998113000000.000000,644404000000.000000,611896000000.000000,32508000000.000000,644404000000.000000,25574000000.000000,25383000000.000000,191000000.000000,25574000000.000000,66595000000.000000,1652551000000.000000,3387237000000.000000,,,,,,25614830000000.000000,,,,,2168587000000.000000,27783417000000.000000,31170654000000.000000,,,8728212000000.000000,,,2804871000000.000000,10198000000.000000,2815069000000.000000,129195000000.000000,,129195000000.000000,886388000000.000000,,,886388000000.000000,,,,2320821000000.000000,,1499419000000.000000,,3820240000000.000000,1077320000000.000000,8728212000000.000000,8749930000000.000000,6906014000000.000000,,,,,1356521000000.000000,105695000000.000000,381700000000.000000,8749930000000.000000,17478142000000.000000,,851857000000.000000,5414099000000.000000,7426556000000.000000,400000000.000000,7426156000000.000000,7426556000000.000000,,,13692512000000.000000,31170654000000.000000,8518566332.000000
12M 2012,,,791805000000.000000,505687000000.000000,468152000000.000000,37535000000.000000,505687000000.000000,21934000000.000000,21674000000.000000,260000000.000000,21934000000.000000,49807000000.000000,2289752000000.000000,3658985000000.000000,,,,,,29643274000000.000000,376513000000.000000,,,,1776933000000.000000,31796720000000.000000,35455705000000.000000,,,8739996000000.000000,,,2648827000000.000000,4794000000.000000,2653621000000.000000,,102570000000.000000,102570000000.000000,576371000000.000000,,,576371000000.000000,,,,4306572000000.000000,,,8247000000.000000,4314819000000.000000,1092615000000.000000,8739996000000.000000,11345673000000.000000,9213417000000.000000,,,,,1589908000000.000000,58820000000.000000,483528000000.000000,11345673000000.000000,20085669000000.000000,,852628000000.000000,5454351000000.000000,9063057000000.000000,500000000.000000,9062557000000.000000,9063057000000.000000,,,15370036000000.000000,35455705000000.000000,8526276611.000000
12M 2013,,,1317996000000.000000,1314200000000.000000,1300252000000.000000,13948000000.000000,1314200000000.000000,18244000000.000000,18113000000.000000,131000000.000000,18244000000.000000,49218000000.000000,3144456000000.000000,5844114000000.000000,,,,,,30928452000000.000000,774626000000.000000,,,,2730434000000.000000,34433512000000.000000,40277626000000.000000,,,7931046000000.000000,,,3221902000000.000000,3729000000.000000,3225631000000.000000,,69012000000.000000,69012000000.000000,635522000000.000000,,,635522000000.000000,,,,3124652000000.000000,,,,3124652000000.000000,876229000000.000000,7931046000000.000000,17046433000000.000000,14696950000000.000000,,,,,1690189000000.000000,52322000000.000000,606972000000.000000,17046433000000.000000,24977479000000.000000,,853449000000.000000,5479832000000.000000,8966866000000.000000,600000000.000000,8966266000000.000000,8966866000000.000000,,,15300147000000.000000,40277626000000.000000,8534490667.000000
12M 2014,,,6951316000000.000000,1130286000000.000000,1116370000000.000000,13916000000.000000,1130286000000.000000,57379000000.000000,56946000000.000000,433000000.000000,57379000000.000000,77237000000.000000,5093544000000.000000,13309762000000.000000,,,,,,35859030000000.000000,6159394000000.000000,,,6105148000000.000000,2273154000000.000000,50396726000000.000000,63706488000000.000000,,,15398292000000.000000,,,4435237000000.000000,9227000000.000000,4444464000000.000000,,620652000000.000000,620652000000.000000,817207000000.000000,,,817207000000.000000,12637000000.000000,,155088000000.000000,3921513000000.000000,,,,4076601000000.000000,5426731000000.000000,15398292000000.000000,34347571000000.000000,19486902000000.000000,,,1921033000000.000000,,1894563000000.000000,31851000000.000000,11013222000000.000000,34347571000000.000000,49745863000000.000000,,853449000000.000000,5597344000000.000000,7509832000000.000000,700000000.000000,7509132000000.000000,7509832000000.000000,,,13960625000000.000000,63706488000000.000000,8534490667.000000
12M 2015,,,3311867000000.000000,898027000000.000000,848529000000.000000,49498000000.000000,898027000000.000000,23015000000.000000,22409000000.000000,606000000.000000,23015000000.000000,78979000000.000000,5839698000000.000000,10151586000000.000000,,,,,,33426750000000.000000,6326308000000.000000,,,6681357000000.000000,2258319000000.000000,48692734000000.000000,58844320000000.000000,,,15748214000000.000000,,,5257397000000.000000,25617000000.000000,5283014000000.000000,,256181000000.000000,256181000000.000000,1128143000000.000000,,,1128143000000.000000,,,367704000000.000000,3430720000000.000000,491417000000.000000,,,4289841000000.000000,4791035000000.000000,15748214000000.000000,29004471000000.000000,15133391000000.000000,1000394000000.000000,,2023085000000.000000,,1137491000000.000000,,9710110000000.000000,29004471000000.000000,44752685000000.000000,,854138000000.000000,5632445000000.000000,7605052000000.000000,700000000.000000,7604352000000.000000,7605052000000.000000,,,14091635000000.000000,58844320000000.000000,8541381670.000000
