Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2021,0.00,4535984.66,0.00,4535984.66,,,,(2 B),3 B
12M 2022,0.00,10.41,0.00,10.41,,,,(1 B),6 B
12M 2023,2.96,28.03,2.96,28.03,,,,(21 B),165 B
12M 2024,2.05,28.25,2.05,28.25,,,,(2 B),150 B
