Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2022,6.19 B,0.06,0.00,0.00,7.62 B,0.48%,0.60%,1.87%,19.93
12M 2023,7.74 B,0.06,1383.33,3.72,19.38 B,0.18%,0.20%,0.80%,115.33
12M 2024,7.74 B,0.24,241.67,2.92,21.67 B,0.67%,0.84%,0.99%,35.55
