Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,2440973581.000000,14654683333.000000,5454683333.000000,9200000000.000000,14654683333.000000,,,,,1710254078.000000,18805910992.000000,,40501167.000000,134371148.000000,,174872315.000000,18980783307.000000,,,15648414569.000000,,8967826514.000000,8967826514.000000,,,5000000000.000000,5000000000.000000,12213950.000000,1106746450.000000,,561627655.000000,15648414569.000000,610777944.000000,,,,,610777944.000000,610777944.000000,16259192513.000000,,600000000.000000,,2121590794.000000,,,2121590794.000000,,,2721590794.000000,18980783307.000000,600.000000
12M 2022,,,1236429581.000000,10601709216.000000,10601709216.000000,,10601709216.000000,,,,,9526219513.000000,21364358310.000000,,58811315844.000000,112827690.000000,353659171.000000,59277802705.000000,80642161015.000000,,,15845495933.000000,,12210289813.000000,12210289813.000000,,,463759270.000000,463759270.000000,1624591343.000000,1136468279.000000,,410387228.000000,15845495933.000000,371824588.000000,,,,,371824588.000000,371824588.000000,16217320521.000000,,61900000000.000000,,2504893247.000000,2384893247.000000,120000000.000000,2504893247.000000,5406882.000000,14540365.000000,64424840494.000000,80642161015.000000,6190000000.000000
12M 2023,,,21451387685.000000,89631570857.000000,89631570857.000000,,89631570857.000000,230000000.000000,230000000.000000,,230000000.000000,69827439940.000000,181140398482.000000,,52839569631.000000,485108346.000000,11145405.000000,53335823382.000000,234476221864.000000,,,16437571970.000000,,2704213481.000000,2704213481.000000,,,2000780505.000000,2000780505.000000,130054869.000000,718107986.000000,8244027901.000000,2640387228.000000,16437571970.000000,1154638534.000000,,,,,1154638534.000000,1154638534.000000,17592210504.000000,,77375516320.000000,137067865400.000000,2932689348.000000,2812689348.000000,120000000.000000,2932689348.000000,14265389.000000,-506325096.000000,216884011361.000000,234476221865.000000,7737551632.000000
12M 2024,,,2207267431.000000,107635222619.000000,107635222619.000000,,107635222619.000000,2373467145.000000,2373467145.000000,,2373467145.000000,88871761127.000000,201087718322.000000,,40641565632.000000,680472959.000000,31048862290.000000,72370900881.000000,273458619203.000000,,,51200884698.000000,,23300307064.000000,23300307064.000000,,,2000000000.000000,2000000000.000000,5129222939.000000,2421407596.000000,18349947099.000000,,51200884698.000000,2784900827.000000,,,,,2784900827.000000,2784900827.000000,53985785525.000000,,77375632110.000000,137069312775.000000,4771961049.000000,4651961049.000000,120000000.000000,4771961049.000000,875415915.000000,-619488171.000000,219472833678.000000,273458619203.000000,7737563211.000000
