Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2022,41251584891.000000,-31926136295.000000,9325448596.000000,-8689012566.000000,-8689012566.000000,-8689012566.000000,636436030.000000,127249634.000000,159186012.000000,-31936378.000000,,127249634.000000,763685664.000000,-380976329.000000,,,,-380976329.000000,382709335.000000,14540365.000000,14540365.000000,14540365.000000,397249700.000000,382709335.000000,383302453.000000,-593118.000000,382709335.000000,397249700.000000,397842818.000000,-593118.000000,397249700.000000
12M 2023,172560390232.000000,-159724276638.000000,12836113594.000000,-11702075086.000000,-11702075086.000000,-11702075086.000000,1134038508.000000,-771631705.000000,-761798414.000000,-9833291.000000,,-771631705.000000,362406803.000000,73247805.000000,,,,73247805.000000,435654608.000000,-520865462.000000,-520865462.000000,-520865462.000000,-85210854.000000,435654608.000000,427796101.000000,7858507.000000,435654608.000000,-85210854.000000,-93069361.000000,7858507.000000,-85210854.000000
12M 2024,153558876216.000000,-129983597333.000000,23575278883.000000,-21393661674.000000,-21393661674.000000,-21393661674.000000,2181617209.000000,1139766545.000000,1201138246.000000,-61371701.000000,,1139766545.000000,3321383754.000000,-1402510510.000000,,,,-1402510510.000000,1918873244.000000,-113163074.000000,-113163074.000000,-113163074.000000,1805710170.000000,1918873244.000000,1839271701.000000,79601543.000000,1918873244.000000,1805710170.000000,1726108627.000000,79601543.000000,1805710170.000000
