Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kas Kepada Karyawan,Pembayaran Untuk Aktivitas Operasi Lainnya,Penerimaan Bunga,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Pembayaran Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak-Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Lain-Lain - Pihak Berelasi,Penerimaan,Pembayaran,Total Utang Lain-Lain - Pihak Berelasi,Setoran Modal Saham Melalui Pelaksanaan Waran,Penerimaan Dari Pihak Berelasi,Pembayaran (Penerimaan) Kepada Pihak Berelasi,Setoran Modal Saham,Penerbitan Modal Saham Melalui Pelaksanaan Waran,Pembayaran Kepada Pihak Ketiga,Setoran Modal Dari Ipo,Setoran Modal Dari Kepentingan Non-Pengendali,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2022,7750867936.000000,44658630868.000000,-22559772493.000000,-10695217138.000000,-3557621624.000000,,5677056.000000,,-98926311.000000,-1902422.000000,7750867936.000000,-65575171206.000000,-65575171206.000000,,-65575171206.000000,56619759270.000000,,,,,,62282283713.000000,-5518524443.000000,,,,,6000000.000000,-150000000.000000,56619759270.000000,-1204544000.000000,2440973581.000000,1236429581.000000
12M 2023,-129903648569.000000,93530528591.000000,-172199655006.000000,-45008577162.000000,-5453266356.000000,,253032417.000000,,-1025711053.000000,,-129903648569.000000,-11935824183.000000,-11935824183.000000,,-11935824183.000000,162054430856.000000,,,,,,8244027901.000000,1537021235.000000,137067865400.000000,,,15475516320.000000,,-270000000.000000,162054430856.000000,20214958104.000000,1236429581.000000,21451387685.000000
12M 2024,-16423063398.000000,135555224453.000000,-122130940323.000000,-16009801101.000000,-12577040412.000000,,500098724.000000,,-1760604739.000000,,-16423063398.000000,-7577758714.000000,-7207758714.000000,-370000000.000000,-7577758714.000000,4756701858.000000,,,-780505.000000,-780505.000000,,4755919198.000000,,,1563165.000000,,,,,4756701858.000000,-19244120254.000000,21451387685.000000,2207267431.000000
