Period,Total Pendapatan,Total Beban Pokok Penjualan,Adjustment,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan (Rugi) Atas Transaksi Derivatif,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,14836019000000.000000,-13063417000000.000000,,1772602000000.000000,-895713000000.000000,-241586000000.000000,-738283000000.000000,,84156000000.000000,-895713000000.000000,876889000000.000000,-379526000000.000000,,26772000000.000000,-120578000000.000000,,-285720000000.000000,,,-379526000000.000000,497363000000.000000,-180843000000.000000,,,-180843000000.000000,316520000000.000000,,-3079000000.000000,313441000000.000000,,,,,313441000000.000000,316520000000.000000,-3079000000.000000,,313441000000.000000,,,,,
12M 2008,20631431000000.000000,-17915367000000.000000,,2716064000000.000000,-1179461000000.000000,-340931000000.000000,-1014745000000.000000,,176215000000.000000,-1179461000000.000000,1536603000000.000000,-795780000000.000000,,45987000000.000000,-474778000000.000000,,-366989000000.000000,,,-795780000000.000000,740823000000.000000,-277214000000.000000,,,-277214000000.000000,463609000000.000000,,-4038000000.000000,459571000000.000000,,,,,459571000000.000000,463609000000.000000,-4038000000.000000,,459571000000.000000,,,,,
12M 2009,16913535000000.000000,-15728146000000.000000,,1185389000000.000000,-873253000000.000000,-267408000000.000000,-892041000000.000000,,286196000000.000000,-873253000000.000000,312136000000.000000,156523000000.000000,,41348000000.000000,71568000000.000000,,-458339000000.000000,,501946000000.000000,156523000000.000000,468659000000.000000,27545000000.000000,,,27545000000.000000,496204000000.000000,,-1532000000.000000,494672000000.000000,,,,,494672000000.000000,496204000000.000000,-1532000000.000000,,494672000000.000000,,,,,
12M 2010,14856156000000.000000,-12621376000000.000000,,2234780000000.000000,-788412000000.000000,-264414000000.000000,-977437000000.000000,,453439000000.000000,-788412000000.000000,1446368000000.000000,-59220000000.000000,,81463000000.000000,114875000000.000000,,-255558000000.000000,,,-59220000000.000000,1387148000000.000000,-326281000000.000000,,,-326281000000.000000,1060867000000.000000,,1816000000.000000,1062683000000.000000,,,,,1062683000000.000000,1060867000000.000000,1816000000.000000,,1062683000000.000000,,,,,
12M 2011,17915382000000.000000,-16316571000000.000000,,1598811000000.000000,-356155000000.000000,-280198000000.000000,-960042000000.000000,,884085000000.000000,-356155000000.000000,1242656000000.000000,-121789000000.000000,,129356000000.000000,53757000000.000000,,-304902000000.000000,,,-121789000000.000000,1120867000000.000000,-98024000000.000000,,,-98024000000.000000,1022843000000.000000,,,1022843000000.000000,,,,1022843000000.000000,1022843000000.000000,1025018000000.000000,-2175000000.000000,,1022843000000.000000,1022843000000.000000,1025018000000.000000,-2175000000.000000,,1022843000000.000000
12M 2012,2287445000.000000,-2165025000.000000,,122420000.000000,-106490000.000000,-42463000.000000,-105413000.000000,,41386000.000000,-106490000.000000,15930000.000000,-31401000.000000,-5433000.000000,9418000.000000,5237000.000000,,-40623000.000000,,,-31401000.000000,-15471000.000000,-4089000.000000,,,-4089000.000000,-19560000.000000,,,-19560000.000000,-10220000.000000,,-10220000.000000,-29780000.000000,-19560000.000000,-20435000.000000,875000.000000,,-19560000.000000,-29780000.000000,-30640000.000000,860000.000000,,-29780000.000000
12M 2013,2084448000.000000,-1988828000.000000,,95620000.000000,-96687000.000000,-40287000.000000,-95218000.000000,,38818000.000000,-96687000.000000,-1067000.000000,-13680000.000000,-12290000.000000,6902000.000000,37360000.000000,,-45652000.000000,,,-13680000.000000,-14747000.000000,1147000.000000,,,1147000.000000,-13600000.000000,,,-13600000.000000,-50318000.000000,,-50318000.000000,-63918000.000000,-13600000.000000,-13986000.000000,386000.000000,,-13600000.000000,-63918000.000000,-64247000.000000,329000.000000,,-63918000.000000
12M 2014,1868845000.000000,-1827703000.000000,,41142000.000000,-111586000.000000,-31686000.000000,-117618000.000000,,37718000.000000,-111586000.000000,-70444000.000000,-112409000.000000,-70439000.000000,5013000.000000,4487000.000000,,-51470000.000000,,,-112409000.000000,-182853000.000000,25961000.000000,,,25961000.000000,-156892000.000000,,,-156892000.000000,-2551000.000000,,-2551000.000000,-159443000.000000,-156892000.000000,-149815000.000000,-7077000.000000,,-156892000.000000,-159443000.000000,-152361000.000000,-7082000.000000,,-159443000.000000
12M 2015,1321823000.000000,-1358255000.000000,,-36432000.000000,-147117000.000000,-29751000.000000,-117883000.000000,,517000.000000,-147117000.000000,-183549000.000000,-143909000.000000,-112366000.000000,5759000.000000,52182000.000000,,-88332000.000000,,-1152000.000000,-143909000.000000,-327458000.000000,944000.000000,,,944000.000000,-326514000.000000,,,-326514000.000000,1228685000.000000,,1228685000.000000,902171000.000000,-326514000.000000,-320029000.000000,-6485000.000000,,-326514000.000000,902171000.000000,908066000.000000,-5895000.000000,,902171000.000000
12M 2016,1344715000.000000,-1189489000.000000,,155226000.000000,-150836000.000000,-30376000.000000,-146365000.000000,,25905000.000000,-150836000.000000,4390000.000000,-196090000.000000,-60617000.000000,10992000.000000,-17251000.000000,,-127651000.000000,,-1563000.000000,-196090000.000000,-191700000.000000,10976000.000000,,,10976000.000000,-180724000.000000,,,-180724000.000000,94893000.000000,,94893000.000000,-85831000.000000,-180724000.000000,-171693000.000000,-9031000.000000,,-180724000.000000,-85831000.000000,-76879000.000000,-8952000.000000,,-85831000.000000
