Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi Dan Entitas Pengendalian Bersama,Aset Pajak Tangguhan,Aset Tetap,Aset Real Estat,Properti Investasi,Aset Tak Berwujud,Adjustment,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Derivatif,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Liabilitas Keuangan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Adjustment,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Obligasi Konversi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Liabilitas Keuangan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,636600000000.000000,44938000000.000000,,2338904000000.000000,2116820000000.000000,222084000000.000000,2338904000000.000000,62204000000.000000,57882000000.000000,4322000000.000000,62204000000.000000,4258611000000.000000,,86715000000.000000,7427972000000.000000,,,23306000000.000000,3183847000000.000000,57410000000.000000,,,,424489000000.000000,3689052000000.000000,,11117024000000.000000,,,4451868000000.000000,2789100000000.000000,,817050000000.000000,17893000000.000000,834943000000.000000,,23767000000.000000,6428000000.000000,30195000000.000000,,93493000000.000000,216362000000.000000,,268955000000.000000,,,268955000000.000000,218820000000.000000,4451868000000.000000,,1576173000000.000000,209315000000.000000,,,898133000000.000000,,,898133000000.000000,,468725000000.000000,1576173000000.000000,6028041000000.000000,,2000000000000.000000,,1770486000000.000000,2534786000000.000000,-764300000000.000000,1770486000000.000000,,14651000000.000000,1303846000000.000000,5088983000000.000000,,11117024000000.000000,2000000.000000
12M 2008,,,1100493000000.000000,5341000000.000000,,1994458000000.000000,1843295000000.000000,151163000000.000000,1994458000000.000000,64861000000.000000,61844000000.000000,3017000000.000000,64861000000.000000,8159937000000.000000,,232612000000.000000,11557702000000.000000,,,91418000000.000000,3162273000000.000000,50417000000.000000,,,,512617000000.000000,3816725000000.000000,,15374427000000.000000,,,8592324000000.000000,6701510000000.000000,,801037000000.000000,32950000000.000000,833987000000.000000,,27856000000.000000,5809000000.000000,33665000000.000000,,181769000000.000000,285153000000.000000,,252405000000.000000,,,252405000000.000000,303835000000.000000,8592324000000.000000,,1304999000000.000000,1978000000.000000,,,728859000000.000000,,,728859000000.000000,,574162000000.000000,1304999000000.000000,9897323000000.000000,,2000000000000.000000,,2136296000000.000000,2754450000000.000000,-618154000000.000000,2136296000000.000000,,37343000000.000000,1303465000000.000000,5477104000000.000000,,15374427000000.000000,2000000.000000
12M 2009,,,1759964000000.000000,142550000000.000000,,1642212000000.000000,1572725000000.000000,69487000000.000000,1642212000000.000000,57516000000.000000,54858000000.000000,2658000000.000000,57516000000.000000,4871981000000.000000,,156939000000.000000,8631162000000.000000,,,202468000000.000000,3378928000000.000000,52246000000.000000,,,,530999000000.000000,4164641000000.000000,,12795803000000.000000,,,6130353000000.000000,4209254000000.000000,,699875000000.000000,38944000000.000000,738819000000.000000,,27645000000.000000,246541000000.000000,274186000000.000000,,101031000000.000000,271879000000.000000,,225280000000.000000,,,225280000000.000000,309904000000.000000,6130353000000.000000,,818660000000.000000,5768000000.000000,,,589257000000.000000,,,589257000000.000000,,223635000000.000000,818660000000.000000,6949013000000.000000,,2000000000000.000000,,2483905000000.000000,3066959000000.000000,-583054000000.000000,2483905000000.000000,,40952000000.000000,1321933000000.000000,5846790000000.000000,,12795803000000.000000,2000000.000000
12M 2010,,,4193598000000.000000,,27000000000.000000,1184338000000.000000,1170922000000.000000,13416000000.000000,1184338000000.000000,82073000000.000000,73584000000.000000,8489000000.000000,82073000000.000000,6549776000000.000000,,250939000000.000000,12287724000000.000000,,,26644000000.000000,4389320000000.000000,74437000000.000000,,,,805934000000.000000,5296335000000.000000,,17584059000000.000000,,,6930713000000.000000,5136629000000.000000,,862851000000.000000,39019000000.000000,901870000000.000000,,81956000000.000000,1824000000.000000,83780000000.000000,,85653000000.000000,266459000000.000000,,233543000000.000000,4157000000.000000,,237700000000.000000,218622000000.000000,6930713000000.000000,,1227801000000.000000,64639000000.000000,,,862063000000.000000,46865000000.000000,,908928000000.000000,,254234000000.000000,1227801000000.000000,8158514000000.000000,,7887500000000.000000,1015514000000.000000,372433000000.000000,1343401000000.000000,-970968000000.000000,372433000000.000000,,131630000000.000000,18468000000.000000,9425545000000.000000,,17584059000000.000000,15775000000.000000
12M 2011,,,3593515000000.000000,161891000000.000000,,2233735000000.000000,1639770000000.000000,593965000000.000000,2233735000000.000000,142331000000.000000,40370000000.000000,101961000000.000000,142331000000.000000,6804242000000.000000,,277678000000.000000,13213392000000.000000,,,29661000000.000000,5644107000000.000000,83406000000.000000,,,,2540996000000.000000,8298170000000.000000,,21511562000000.000000,,,9204702000000.000000,5811908000000.000000,,1720604000000.000000,288632000000.000000,2009236000000.000000,,344802000000.000000,26000000.000000,344828000000.000000,,126299000000.000000,254930000000.000000,,186582000000.000000,4422000000.000000,,191004000000.000000,466497000000.000000,9204702000000.000000,,1951867000000.000000,47026000000.000000,,,1313189000000.000000,54734000000.000000,,1367923000000.000000,,536918000000.000000,1951867000000.000000,11156569000000.000000,,7887500000000.000000,1015514000000.000000,1292174000000.000000,1344314000000.000000,-52140000000.000000,1292174000000.000000,,174005000000.000000,-14200000000.000000,10354993000000.000000,,21511562000000.000000,15775000000.000000
12M 2012,,,270267000.000000,7842000.000000,4136000.000000,391591000.000000,158260000.000000,233331000.000000,391591000.000000,20904000.000000,16976000.000000,3928000.000000,20904000.000000,652368000.000000,,52546000.000000,1399654000.000000,,,20087000.000000,748936000.000000,12749000.000000,,,,380521000.000000,1162293000.000000,,2561947000.000000,,,1244435000.000000,807434000.000000,,241339000.000000,23126000.000000,264465000.000000,,14597000.000000,99000.000000,14696000.000000,,29493000.000000,24642000.000000,,21099000.000000,433000.000000,,21532000.000000,82173000.000000,1244435000.000000,,201526000.000000,2139000.000000,,,154794000.000000,6885000.000000,,161679000.000000,,37708000.000000,201526000.000000,1445961000.000000,,855968000.000000,116956000.000000,128476000.000000,146834000.000000,-18358000.000000,128476000.000000,,19920000.000000,-5334000.000000,1115986000.000000,,2561947000.000000,15775000000.000000
12M 2013,,,190232000.000000,7810000.000000,26000.000000,276169000.000000,159101000.000000,117068000.000000,276169000.000000,56990000.000000,18158000.000000,38832000.000000,56990000.000000,519086000.000000,,44906000.000000,1095219000.000000,,,38012000.000000,857738000.000000,13987000.000000,,,,374548000.000000,1284285000.000000,,2379504000.000000,,,1138147000.000000,800476000.000000,,152220000.000000,27679000.000000,179899000.000000,,17060000.000000,2721000.000000,19781000.000000,,12886000.000000,24200000.000000,,59826000.000000,747000.000000,,60573000.000000,40332000.000000,1138147000.000000,,189304000.000000,4345000.000000,,,146026000.000000,7692000.000000,,153718000.000000,,31241000.000000,189304000.000000,1327451000.000000,,855968000.000000,117217000.000000,114490000.000000,146834000.000000,-32344000.000000,114490000.000000,,19973000.000000,-55595000.000000,1052053000.000000,,2379504000.000000,15775000000.000000
12M 2014,,,236689000.000000,,20172000.000000,248826000.000000,140303000.000000,108523000.000000,248826000.000000,31164000.000000,2789000.000000,28375000.000000,31164000.000000,480871000.000000,,40901000.000000,1058623000.000000,,,78800000.000000,1097410000.000000,14446000.000000,,,,349144000.000000,1539800000.000000,,2598423000.000000,,,1413295000.000000,1037148000.000000,,164370000.000000,38513000.000000,202883000.000000,,34358000.000000,3157000.000000,37515000.000000,,14675000.000000,33809000.000000,,55400000.000000,17000.000000,,55417000.000000,31848000.000000,1413295000.000000,,293260000.000000,336000.000000,,,247829000.000000,6366000.000000,,254195000.000000,,38729000.000000,293260000.000000,1706555000.000000,,855968000.000000,116263000.000000,-35325000.000000,146834000.000000,-182159000.000000,-35325000.000000,,13103000.000000,-58141000.000000,891868000.000000,,2598423000.000000,15775000000.000000
12M 2015,,,132589000.000000,,40099000.000000,211251000.000000,115574000.000000,95677000.000000,211251000.000000,20810000.000000,2744000.000000,18066000.000000,20810000.000000,408870000.000000,,78921000.000000,892540000.000000,,,97983000.000000,2359077000.000000,13944000.000000,,,,338600000.000000,2809604000.000000,,3702144000.000000,,,1457187000.000000,1143888000.000000,,97904000.000000,54153000.000000,152057000.000000,,19734000.000000,2690000.000000,22424000.000000,,10013000.000000,29887000.000000,,65372000.000000,7000.000000,,65379000.000000,33539000.000000,1457187000.000000,,456853000.000000,14000.000000,,,405489000.000000,13158000.000000,,418647000.000000,,38192000.000000,456853000.000000,1914040000.000000,,855968000.000000,116263000.000000,-357871000.000000,146834000.000000,-504705000.000000,-357871000.000000,,7104000.000000,1166640000.000000,1788104000.000000,,3702144000.000000,15775000000.000000
12M 2016,,,264954000.000000,1005000.000000,82000.000000,182536000.000000,110006000.000000,72530000.000000,182536000.000000,15025000.000000,5582000.000000,9443000.000000,15025000.000000,473956000.000000,,59766000.000000,997324000.000000,,,123021000.000000,2454393000.000000,14843000.000000,31632000.000000,37451000.000000,,278049000.000000,2939389000.000000,,3936713000.000000,,,1224501000.000000,894129000.000000,,149981000.000000,34878000.000000,184859000.000000,,8039000.000000,6519000.000000,14558000.000000,,10723000.000000,38404000.000000,,48647000.000000,319000.000000,,48966000.000000,32862000.000000,1224501000.000000,,872535000.000000,1056000.000000,,,802287000.000000,35395000.000000,,837682000.000000,,33797000.000000,872535000.000000,2097036000.000000,,987573000.000000,122137000.000000,-511797000.000000,146834000.000000,-658631000.000000,-511797000.000000,,-1923000.000000,1243687000.000000,1839677000.000000,,3936713000.000000,19346396900.000000
12M 2017,,,280870000.000000,1734000.000000,5758000.000000,204690000.000000,147976000.000000,56714000.000000,204690000.000000,16850000.000000,6252000.000000,10598000.000000,16850000.000000,488502000.000000,,23293000.000000,1021697000.000000,,,135280000.000000,2624457000.000000,15345000.000000,38692000.000000,31330000.000000,,247585000.000000,3092689000.000000,,4114386000.000000,,,1361905000.000000,923127000.000000,,148824000.000000,102191000.000000,251015000.000000,,10777000.000000,5643000.000000,16420000.000000,,13522000.000000,28236000.000000,,70444000.000000,645000.000000,,71089000.000000,58496000.000000,1361905000.000000,,899672000.000000,326000.000000,,,797864000.000000,48805000.000000,,846669000.000000,,52677000.000000,899672000.000000,2261577000.000000,,987573000.000000,122137000.000000,-603355000.000000,146834000.000000,-750189000.000000,-603355000.000000,,-6182000.000000,1352636000.000000,1852809000.000000,,4114386000.000000,19346396900.000000
12M 2018,,,173287000.000000,,4473000.000000,219643000.000000,145164000.000000,74479000.000000,219643000.000000,9854000.000000,4544000.000000,5310000.000000,9854000.000000,534527000.000000,,47936000.000000,989720000.000000,,,149636000.000000,2851173000.000000,16071000.000000,40345000.000000,30968000.000000,,220405000.000000,3308598000.000000,,4298318000.000000,,,1598675000.000000,1131192000.000000,,134021000.000000,87516000.000000,221537000.000000,,20603000.000000,6007000.000000,26610000.000000,,6732000.000000,36211000.000000,,123363000.000000,628000.000000,,123991000.000000,52402000.000000,1598675000.000000,,899430000.000000,3192000.000000,,,811707000.000000,46849000.000000,,858556000.000000,,37682000.000000,899430000.000000,2498105000.000000,,987573000.000000,122137000.000000,-674573000.000000,146834000.000000,-821407000.000000,-674573000.000000,,-8498000.000000,1373574000.000000,1800213000.000000,,4298318000.000000,19346396900.000000
12M 2019,,,130249000.000000,,50118000.000000,201843000.000000,,,201843000.000000,20226000.000000,,,20226000.000000,260147000.000000,,51921000.000000,714504000.000000,,94620000.000000,203099000.000000,2124197000.000000,16994000.000000,67210000.000000,1307000.000000,,64792000.000000,2572219000.000000,,3286723000.000000,,,2493429000.000000,168255000.000000,232086000.000000,,,232086000.000000,26796000.000000,,,26796000.000000,166993000.000000,15010000.000000,67277000.000000,,1705561000.000000,25204000.000000,,1730765000.000000,86247000.000000,2493429000.000000,,437286000.000000,3621000.000000,,,185250000.000000,66625000.000000,,251875000.000000,,181790000.000000,437286000.000000,2930715000.000000,,987573000.000000,122137000.000000,-2164207000.000000,146834000.000000,-2311041000.000000,-2164207000.000000,,-42563000.000000,1453068000.000000,356008000.000000,,3286723000.000000,19346396900.000000
12M 2020,,,112826000.000000,,237636000.000000,230153000.000000,,,230153000.000000,11181000.000000,,,11181000.000000,216074000.000000,,27472000.000000,835342000.000000,,55241000.000000,232499000.000000,1801434000.000000,16470000.000000,72601000.000000,2785000.000000,,469977000.000000,2651007000.000000,,3486349000.000000,,,827496000.000000,259016000.000000,161137000.000000,,,161137000.000000,16287000.000000,,,16287000.000000,170161000.000000,14862000.000000,56224000.000000,,63632000.000000,1412000.000000,4379000.000000,69423000.000000,80386000.000000,827496000.000000,,2210130000.000000,4272000.000000,107583000.000000,,1828758000.000000,,156377000.000000,1985135000.000000,,113140000.000000,2210130000.000000,3037626000.000000,,987573000.000000,175020000.000000,-2193228000.000000,146834000.000000,-2340062000.000000,-2193228000.000000,,-44155000.000000,1523513000.000000,448723000.000000,,3486349000.000000,19346396900.000000
12M 2021,,,85014000.000000,,209457000.000000,239394000.000000,,,239394000.000000,40078000.000000,,,40078000.000000,366623000.000000,,32516000.000000,973082000.000000,,172423000.000000,231652000.000000,1772431000.000000,12872000.000000,85692000.000000,3326000.000000,,522198000.000000,2800594000.000000,,3773676000.000000,,,1486779000.000000,235513000.000000,242558000.000000,,,242558000.000000,29113000.000000,,,29113000.000000,174375000.000000,23912000.000000,70983000.000000,,564825000.000000,9327000.000000,5066000.000000,579218000.000000,131107000.000000,1486779000.000000,,1764798000.000000,3505000.000000,114966000.000000,,1140396000.000000,,389006000.000000,1529402000.000000,,116925000.000000,1764798000.000000,3251577000.000000,,987573000.000000,175020000.000000,-2123886000.000000,146834000.000000,-2270720000.000000,-2123886000.000000,,-44683000.000000,1528075000.000000,522099000.000000,,3773676000.000000,19346396900.000000
